,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Jeremy Jackson,RW,LET/VAN,19.813,136,82,58,53,140,193,0.61,0.43,0.39,1.035,1.425
1,Joffrey Lupul,C,M.H,18.48,122,97,54,33,151,184,0.8,0.45,0.27,1.245,1.515
2,Mike Wirll,C,P.G/P.A/LET,20.046,141,69,70,33,139,172,0.49,0.5,0.235,0.985,1.22
3,Brooks Laich,C,SEA/M.J,18.731,135,69,67,36,136,172,0.525,0.5,0.28,1.025,1.305
4,Jesse Schultz,RW,KEL/P.A,19.465,145,81,60,27,141,168,0.56,0.415,0.19,0.975,1.16
5,Erik Christensen,C,KAM,18.246,137,76,68,22,144,166,0.56,0.5,0.16,1.055,1.22
6,Duncan Milroy,RW,KTN/S.C,19.101,125,79,49,37,128,165,0.63,0.395,0.3,1.02,1.32
7,Chris St. Jacques,C,M.H,19.148,115,61,66,37,127,164,0.555,0.565,0.32,1.12,1.44
8,Tomas Plihal,C,KTN,18.97,139,67,52,44,119,163,0.48,0.375,0.315,0.855,1.17
9,Blake Robson,C,P.G,19.96,138,57,69,36,126,162,0.415,0.5,0.26,0.915,1.175
10,Dustin Johner,C,SEA,19.03,142,69,58,31,127,158,0.485,0.41,0.22,0.895,1.11
11,David Bararuk,C,M.J,18.808,138,62,52,41,114,155,0.45,0.385,0.3,0.835,1.135
12,Ben Thomson,RW,M.H,19.712,137,72,52,29,124,153,0.53,0.375,0.215,0.905,1.12
13,Ben Kilgour,RW,TRI,19.956,131,57,57,34,114,148,0.425,0.43,0.265,0.865,1.125
14,Ian White,D,S.C,17.782,134,56,45,46,101,147,0.42,0.335,0.345,0.75,1.095
15,Jordin Tootoo,RW,BRN,19.118,115,67,51,27,118,145,0.595,0.455,0.235,1.05,1.28
16,Dylan Stanley,C,TRI,18.142,136,55,60,29,115,144,0.4,0.435,0.21,0.84,1.045
17,Darren Lynch,RW,VAN,18.693,142,59,57,27,116,143,0.415,0.405,0.19,0.82,1.01
18,Brandon Segal,RW,CGY,18.68,142,74,40,27,114,141,0.525,0.28,0.19,0.805,0.995
19,Owen Fussey,LW,CGY/M.J,18.956,138,84,35,22,119,141,0.61,0.25,0.16,0.86,1.025
20,Dan Baum,LW,P.G,18.784,144,64,45,31,109,140,0.44,0.315,0.215,0.755,0.97
21,Ben Ondrus,RW,S.C,19.726,134,63,45,32,108,140,0.47,0.335,0.24,0.805,1.045
22,Ryan Kinasewich,LW,TRI,18.572,127,58,54,26,112,138,0.45,0.42,0.205,0.87,1.075
23,Kiel McLeod,C,KEL,19.21,109,56,50,32,106,138,0.49,0.475,0.28,0.97,1.245
24,Ryan Craig,C,BRN,20.164,112,71,37,30,108,138,0.63,0.33,0.275,0.955,1.23
25,Mason Wallin,C,SPO,19.827,142,55,56,27,111,138,0.39,0.395,0.19,0.785,0.97
26,Warren Peters,C,SAS,19.684,143,65,47,23,112,135,0.455,0.33,0.16,0.785,0.945
27,Carsen Germyn,RW,KEL/RDR,20.062,123,59,43,33,102,135,0.48,0.35,0.27,0.835,1.105
28,Joff Kehler,LW,SPO,18.756,130,49,47,37,96,133,0.375,0.36,0.285,0.74,1.02
29,Cam Paddock,C,KEL,18.986,143,71,38,23,109,132,0.495,0.265,0.16,0.76,0.92
30,Boyd Gordon,RW,RDR,18.409,122,55,36,41,91,132,0.46,0.3,0.35,0.76,1.11
31,James Hiebert,RW,S.C,19.78,131,50,56,25,106,131,0.385,0.425,0.195,0.81,1.0
32,Tyler Metcalfe,LW,SEA,17.76,143,45,48,37,93,130,0.315,0.335,0.26,0.65,0.91
