,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Justin Mapletoft,C,RDR,19.677,70,43,46,31,89,120,0.61,0.66,0.44,1.27,1.71
1,Layne Ulmer,C,S.C,20.003,68,63,42,14,105,119,0.93,0.62,0.21,1.54,1.75
2,Jared Aulin,C,KAM,18.506,70,31,54,23,85,108,0.44,0.77,0.33,1.21,1.54
3,Jarret Stoll,RW,KTN,18.229,62,40,39,27,79,106,0.65,0.63,0.44,1.27,1.71
4,Blake Evans,C,REG/TRI,20.206,67,52,33,17,85,102,0.78,0.49,0.25,1.27,1.52
5,Kyle Wanvig,RW,RDR,19.628,69,55,25,21,80,101,0.8,0.36,0.3,1.16,1.46
6,Jordan Krestanovich,LW,CGY,19.28,70,40,41,19,81,100,0.57,0.59,0.27,1.16,1.43
7,Konstantin Panov,RW,KAM,20.214,69,44,29,27,73,100,0.64,0.42,0.39,1.06,1.45
8,Nathan Barrett,C,LET,19.119,70,46,37,16,83,99,0.66,0.53,0.23,1.19,1.41
9,Rory McDade,C,KEL,19.053,72,28,47,23,75,98,0.39,0.65,0.32,1.04,1.36
10,Duncan Milroy,RW,S.C,17.602,68,38,29,25,67,92,0.56,0.43,0.37,0.99,1.35
11,Marcel Hossa,C,POR,18.927,58,34,36,20,70,90,0.59,0.62,0.34,1.21,1.55
12,Nathan Smith,C,S.C,18.599,67,28,39,23,67,90,0.42,0.58,0.34,1.0,1.34
13,Tim Smith,LW,S.C/SPO,19.154,68,31,36,23,67,90,0.46,0.53,0.34,0.99,1.32
14,Scott Upshall,C,KAM,16.942,70,42,24,21,66,87,0.6,0.34,0.3,0.94,1.24
15,Carsen Germyn,RW,KEL,18.563,71,35,30,22,65,87,0.49,0.42,0.31,0.92,1.23
16,Zdenek Blatny,LW,KTN,19.669,58,37,28,20,65,85,0.64,0.48,0.34,1.12,1.47
17,Garrett Prosofsky,C,POR/P.A,20.326,68,37,32,16,69,85,0.54,0.47,0.24,1.01,1.25
18,Matt Kinch,D,CGY,20.578,70,18,33,33,51,84,0.26,0.47,0.47,0.73,1.2
19,Brett Lysak,C,REG,19.759,64,35,26,22,61,83,0.55,0.41,0.34,0.95,1.3
20,Martin Erat,RW,RDR/SAS,19.05,48,23,43,16,66,82,0.48,0.9,0.33,1.38,1.71
21,Eric Johansson,C,TRI,18.689,72,36,26,18,62,80,0.5,0.36,0.25,0.86,1.11
22,Jan Fadrny,LW,KEL/BRN,20.255,58,33,27,19,60,79,0.57,0.47,0.33,1.03,1.36
23,Shane Endicott,C,SEA,18.735,72,36,27,16,63,79,0.5,0.38,0.22,0.88,1.1
24,Mike Comrie,C,KTN,20.011,37,39,28,12,67,79,1.05,0.76,0.32,1.81,2.14
