,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Blainville-Boisbriand Armada,68,47,60.13,273,181,92,54.61,2073,1723,350,12.58,0.897,102.28,55.58,220.39,176.17,44.22,10.7,0.898,100.46,38.611,0.563,-0.829,-0.014,62,54,8,53.45,246,168,78,59.42,24.59,0.683,56,43,13,56.57,275,245,30,52.88,19.78,0.824,155,84,71,64.85,1552,1310,242,54.23,9.4,0.938
1,Acadie-Bathurst Titan,68,42,59.78,269,181,88,56.51,2418,1861,557,10.83,0.904,101.25,56.84,279.31,212.11,67.2,11.59,0.886,100.17,-18.308,-0.228,34.105,0.551,82,56,26,59.42,329,285,44,53.58,24.7,0.804,57,37,20,60.64,296,222,74,57.14,19.26,0.837,130,88,42,59.63,1793,1354,439,56.97,6.89,0.936
2,Drummondville Voltigeurs,68,41,58.67,274,193,81,56.76,2301,1753,548,11.6,0.893,100.9,56.53,240.39,184.84,55.55,10.48,0.894,99.9,25.611,0.335,-2.159,-0.037,63,54,9,53.85,239,206,33,53.71,26.36,0.745,76,44,32,63.33,358,256,102,58.31,21.23,0.831,135,95,40,58.7,1704,1291,413,56.89,7.49,0.929
3,Halifax Mooseheads,68,41,54.69,268,222,46,51.54,2244,2110,134,11.55,0.895,101.07,54.89,283.28,232.82,50.46,12.68,0.89,101.64,-25.28,-0.339,11.817,0.168,85,63,22,57.43,333,250,83,57.12,24.62,0.748,45,47,-2,48.91,282,281,1,50.09,15.96,0.833,138,112,26,55.2,1629,1579,50,50.78,8.13,0.93
4,Rimouski Oceanic,68,40,57.25,229,171,58,55.2,2244,1821,423,9.8,0.907,100.51,52.37,213.05,193.75,19.29,9.54,0.893,98.88,5.955,0.08,24.751,0.408,48,41,7,53.93,228,198,30,53.52,20.0,0.793,58,36,22,61.7,278,229,49,54.83,20.86,0.843,123,94,29,56.68,1738,1394,344,55.49,6.7,0.934
5,Victoriaville Tigres,68,39,58.04,267,193,74,50.47,2127,2087,40,12.35,0.911,103.45,54.21,234.23,197.83,36.4,11.04,0.905,101.52,27.768,0.393,12.829,0.185,57,52,5,52.29,209,200,9,51.1,26.92,0.74,55,36,19,60.44,259,242,17,51.7,21.24,0.851,155,105,50,59.62,1659,1645,14,50.21,9.12,0.941
6,Quebec Remparts,68,38,53.07,225,199,26,53.58,2138,1852,286,10.1,0.896,99.75,58.56,222.83,157.68,65.14,10.47,0.914,101.92,-7.827,-0.11,-33.317,-0.542,65,35,30,65.0,259,165,94,61.08,24.51,0.798,56,34,22,62.22,289,156,133,64.94,19.38,0.782,104,130,-26,44.44,1590,1531,59,50.95,6.07,0.919
7,Rouyn-Noranda Huskies,68,37,57.38,237,176,61,51.17,2189,2089,100,10.34,0.918,102.17,53.37,230.97,201.8,29.17,10.61,0.903,100.92,-5.967,-0.082,31.8,0.458,57,43,14,57.0,217,210,7,50.82,24.88,0.799,56,39,17,58.95,278,253,25,52.35,20.14,0.846,124,94,30,56.88,1694,1626,68,51.02,6.88,0.945
8,Sherbrooke Phoenix,68,34,49.78,228,230,-2,54.94,2357,1933,424,9.44,0.886,98.0,52.93,241.28,214.56,26.72,10.26,0.888,99.11,-19.275,-0.246,-5.442,-0.085,62,52,10,54.39,265,202,63,56.75,23.11,0.746,40,46,-6,46.51,330,322,8,50.61,11.59,0.86,126,132,-6,48.84,1762,1409,353,55.57,6.99,0.911
9,Charlottetown Islanders,68,33,48.35,205,219,-14,52.17,2262,2074,188,8.66,0.9,98.62,52.79,244.84,218.92,25.92,10.87,0.894,100.26,-49.841,-0.664,11.922,0.173,69,66,3,51.11,327,251,76,56.57,20.62,0.737,45,37,8,54.88,318,243,75,56.68,13.88,0.851,91,116,-25,43.96,1617,1580,37,50.58,5.22,0.933
10,Gatineau Olympiques,68,31,50.12,212,211,1,47.32,1842,2051,-209,10.73,0.901,100.84,45.05,180.12,219.74,-39.61,9.86,0.892,99.1,15.876,0.261,17.735,0.261,43,79,-36,35.25,127,273,-146,31.75,33.86,0.716,42,23,19,64.62,244,255,-11,48.9,16.87,0.91,127,109,18,53.81,1471,1523,-52,49.13,7.69,0.933
