,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
206,Alec Regula,D,LDN,17.109,67,7,6,12,13,25,82,8.54,0.1,0.09,0.18,0.19,0.37,1.22,5.29,0.08,1,6,16.67,2,7,28.57,4,69,5.8,4,5,80.0
207,Brendan Harrogate,RW,MISS/OSH,19.587,54,10,9,6,19,25,108,9.26,0.19,0.17,0.11,0.35,0.46,2.0,11.53,0.21,4,15,26.67,3,14,21.43,3,79,3.8,9,15,60.0
208,Christian Girhiny,LW,ER,19.07,56,10,9,6,19,25,119,8.4,0.18,0.16,0.11,0.34,0.45,2.12,14.54,0.26,3,14,21.43,4,22,18.18,3,83,3.61,2,12,16.67
209,Matt Hotchkiss,LW,GUE/KGN,19.606,68,14,5,5,19,24,112,12.5,0.21,0.07,0.07,0.28,0.35,1.65,14.05,0.21,4,18,22.22,4,24,16.67,6,70,8.57,35,75,46.67
210,Sergey Popov,LW,LDN/KGN,17.471,63,10,9,5,19,24,114,8.77,0.16,0.14,0.08,0.3,0.38,1.81,10.05,0.16,2,8,25.0,1,15,6.67,7,91,7.69,2,5,40.0
211,Jesse Saban,D,NB,20.668,68,3,11,10,14,24,106,2.83,0.04,0.16,0.15,0.21,0.35,1.56,3.39,0.05,0,1,0.0,1,6,16.67,2,99,2.02,0,0,0.0
212,Kyle Rhodes,D,SBY,19.724,57,10,10,4,20,24,125,8.0,0.18,0.18,0.07,0.35,0.42,2.19,7.25,0.13,1,6,16.67,1,2,50.0,8,117,6.84,0,1,0.0
213,Cade Robinson,RW,OS/ER,17.9,65,8,14,2,22,24,88,9.09,0.12,0.22,0.03,0.34,0.37,1.35,10.43,0.16,2,14,14.29,3,14,21.43,3,60,5.0,15,45,33.33
214,Bobby Dow,RW,PBO,18.861,63,12,5,7,17,24,93,12.9,0.19,0.08,0.11,0.27,0.38,1.48,11.1,0.18,4,21,19.05,2,13,15.38,6,59,10.17,17,54,31.48
215,Max Jones,LW,LDN/KGN,19.576,31,19,3,2,22,24,122,15.57,0.61,0.1,0.06,0.71,0.77,3.94,16.38,0.53,5,20,25.0,4,22,18.18,10,80,12.5,4,10,40.0
216,Keaton Middleton,D,SAG,19.595,64,4,8,12,12,24,126,3.17,0.06,0.12,0.19,0.19,0.38,1.97,4.36,0.07,0,0,0.0,0,0,0.0,4,126,3.17,0,0,0.0
217,Connor Corcoran,D,WSR,17.106,63,3,9,12,12,24,94,3.19,0.05,0.14,0.19,0.19,0.38,1.49,6.3,0.1,1,2,50.0,0,6,0.0,2,86,2.33,0,0,0.0
218,Philip Tomasino,RW,NIAG,16.134,61,5,13,6,18,24,73,6.85,0.08,0.21,0.1,0.3,0.39,1.2,8.76,0.14,3,14,21.43,0,12,0.0,2,47,4.26,147,318,46.23
219,Luke Moncada,LW,NB,17.298,67,9,9,6,18,24,81,11.11,0.13,0.13,0.09,0.27,0.36,1.21,7.73,0.12,0,8,0.0,5,9,55.56,4,64,6.25,152,350,43.43
220,Andy Baker,RW,NB,18.339,63,10,7,6,17,23,79,12.66,0.16,0.11,0.1,0.27,0.37,1.25,10.03,0.16,2,12,16.67,4,17,23.53,4,50,8.0,8,18,44.44
221,Merrick Rippon,D,MISS/OTT,17.386,68,4,13,6,17,23,95,4.21,0.06,0.19,0.09,0.25,0.34,1.4,4.63,0.07,1,4,25.0,0,0,0.0,3,91,3.3,0,0,0.0
222,Tyler Tucker,D,BAR,17.542,59,3,7,13,10,23,103,2.91,0.05,0.12,0.22,0.17,0.39,1.75,5.09,0.09,0,3,0.0,0,4,0.0,3,96,3.12,0,1,0.0
223,Theo Calvas,D,SAR,19.111,68,3,10,10,13,23,79,3.8,0.04,0.15,0.15,0.19,0.34,1.16,2.89,0.04,1,1,100.0,1,2,50.0,1,76,1.32,0,0,0.0
224,Brandon Coe,RW,NB,15.79,63,10,8,5,18,23,74,13.51,0.16,0.13,0.08,0.29,0.37,1.17,8.19,0.13,1,14,7.14,5,14,35.71,4,46,8.7,4,14,28.57
225,Igor Larionov,RW,WSR,19.061,32,6,11,6,17,23,39,15.38,0.19,0.34,0.19,0.53,0.72,1.22,5.27,0.16,2,8,25.0,1,6,16.67,3,25,12.0,33,68,48.53
226,Owen Lalonde,D,GUE,17.621,67,1,10,11,11,22,59,1.69,0.01,0.15,0.16,0.16,0.33,0.88,3.23,0.05,0,2,0.0,0,3,0.0,1,54,1.85,0,0,0.0
227,Riley McCourt,D,HAM/FLNT,17.221,56,5,6,11,11,22,59,8.47,0.09,0.11,0.2,0.2,0.39,1.05,3.0,0.05,1,1,100.0,1,3,33.33,3,55,5.45,0,1,0.0
228,Eric Henderson,LW,OSH,19.398,66,7,11,4,18,22,111,6.31,0.11,0.17,0.06,0.27,0.33,1.68,12.73,0.19,4,18,22.22,0,13,0.0,3,80,3.75,48,108,44.44
229,Luke Kutkevicius,C,WSR,19.477,40,13,5,4,18,22,59,22.03,0.33,0.12,0.1,0.45,0.55,1.48,8.71,0.22,3,11,27.27,5,14,35.71,5,34,14.71,140,289,48.44
230,Jacob Moverare,D,MISS,19.042,32,3,8,10,11,21,54,5.56,0.09,0.25,0.31,0.34,0.66,1.69,3.07,0.1,0,3,0.0,0,1,0.0,3,50,6.0,0,1,0.0
231,Cody Morgan,C,WSR/KGN,16.619,63,10,7,4,17,21,78,12.82,0.16,0.11,0.06,0.27,0.33,1.24,7.63,0.12,2,3,66.67,4,19,21.05,4,56,7.14,182,405,44.94
232,Sam Bitten,C,OTT,17.487,68,7,9,5,16,21,70,10.0,0.1,0.13,0.07,0.24,0.31,1.03,9.13,0.13,2,13,15.38,0,19,0.0,5,38,13.16,262,626,41.85
233,Jake Goldowski,RW,SAG,17.358,40,11,8,2,19,21,76,14.47,0.28,0.2,0.05,0.47,0.53,1.9,9.46,0.24,3,14,21.43,3,10,30.0,5,52,9.62,67,124,54.03
234,Chase Campbell,RW,OS,19.228,57,3,11,6,14,20,73,4.11,0.05,0.19,0.11,0.25,0.35,1.28,7.24,0.13,1,7,14.29,0,8,0.0,2,58,3.45,7,23,30.43
235,Caleb Everett,D,SAG,17.654,58,6,10,4,16,20,85,7.06,0.1,0.17,0.07,0.28,0.34,1.47,3.1,0.05,0,2,0.0,0,1,0.0,6,82,7.32,0,1,0.0
236,Riley Bruce,D,NB,20.167,67,5,6,9,11,20,122,4.1,0.07,0.09,0.13,0.16,0.3,1.82,4.28,0.06,0,2,0.0,0,0,0.0,5,120,4.17,1,2,50.0
237,Jamieson Rees,C,SAR,16.551,46,5,11,4,16,20,63,7.94,0.11,0.24,0.09,0.35,0.43,1.37,8.37,0.18,0,10,0.0,1,13,7.69,4,40,10.0,107,251,42.63
238,Declan Chisholm,D,PBO,17.676,47,3,9,8,12,20,46,6.52,0.06,0.19,0.17,0.26,0.43,0.98,2.73,0.06,0,2,0.0,0,3,0.0,3,41,7.32,0,0,0.0
239,Hunter Holmes,C,FLNT,17.64,40,11,7,2,18,20,73,15.07,0.28,0.17,0.05,0.45,0.5,1.82,8.15,0.2,4,14,28.57,3,11,27.27,4,48,8.33,209,472,44.28
240,Daniel D'Amico,C,WSR,16.638,59,12,6,1,18,19,63,19.05,0.2,0.1,0.02,0.31,0.32,1.07,6.53,0.11,3,15,20.0,3,8,37.5,6,40,15.0,5,11,45.45
241,Reagan O'Grady,D,MISS/SBY,18.752,55,6,5,8,11,19,85,7.06,0.11,0.09,0.15,0.2,0.35,1.55,4.74,0.09,0,1,0.0,1,6,16.67,5,78,6.41,0,0,0.0
242,Daylon Groulx,RW,OS,17.273,56,13,3,3,16,19,86,15.12,0.23,0.05,0.05,0.29,0.34,1.54,9.78,0.17,3,17,17.65,3,11,27.27,7,58,12.07,36,73,49.32
243,William Sirman,C,WSR,17.868,66,6,9,4,15,19,73,8.22,0.09,0.14,0.06,0.23,0.29,1.11,6.28,0.1,0,7,0.0,2,9,22.22,4,57,7.02,224,465,48.17
244,Kyle Bollers,LW,SAG,18.514,56,8,4,6,12,18,84,9.52,0.14,0.07,0.11,0.21,0.32,1.5,10.44,0.19,2,11,18.18,4,24,16.67,2,49,4.08,6,20,30.0
245,Joe Carroll,LW,SSM,16.619,53,9,6,3,15,18,58,15.52,0.17,0.11,0.06,0.28,0.34,1.09,5.62,0.11,1,5,20.0,3,11,27.27,5,42,11.9,64,118,54.24
246,Carter Robertson,D,OTT,17.668,57,5,6,7,11,18,68,7.35,0.09,0.11,0.12,0.19,0.32,1.19,3.66,0.06,0,0,0.0,1,6,16.67,4,62,6.45,0,1,0.0
247,Nick King,D,OS/NB,18.673,60,3,8,7,11,18,80,3.75,0.05,0.13,0.12,0.18,0.3,1.33,2.58,0.04,0,0,0.0,0,1,0.0,3,79,3.8,2,2,100.0
248,Anthony DeMeo,D,SSM,18.251,67,1,5,12,6,18,49,2.04,0.01,0.07,0.18,0.09,0.27,0.73,2.07,0.03,0,1,0.0,0,1,0.0,1,47,2.13,0,1,0.0
249,Kevin Bahl,D,OTT,17.219,58,1,8,9,9,18,58,1.72,0.02,0.14,0.16,0.16,0.31,1.0,3.21,0.06,0,2,0.0,0,1,0.0,1,55,1.82,1,1,100.0
250,Austin Osmanski,D,MISS/PBO,19.379,65,1,5,12,6,18,93,1.08,0.02,0.08,0.18,0.09,0.28,1.43,3.77,0.06,0,0,0.0,0,7,0.0,1,86,1.16,0,0,0.0
251,Ethan Keppen,LW,FLNT,16.49,63,10,4,4,14,18,112,8.93,0.16,0.06,0.06,0.22,0.29,1.78,10.24,0.16,3,10,30.0,5,23,21.74,2,79,2.53,10,26,38.46
252,Cole Schwindt,RW,MISS,16.392,66,8,5,5,13,18,77,10.39,0.12,0.08,0.08,0.2,0.27,1.17,6.61,0.1,2,10,20.0,2,13,15.38,4,54,7.41,24,65,36.92
253,Zach Shankar,D,WSR/NIAG,20.63,53,2,7,8,9,17,60,3.33,0.04,0.13,0.15,0.17,0.32,1.13,2.31,0.04,0,0,0.0,0,0,0.0,2,60,3.33,0,1,0.0
254,Justin MacPherson,D,NIAG,17.23,66,0,7,10,7,17,63,0.0,0.0,0.11,0.15,0.11,0.26,0.95,2.52,0.04,0,1,0.0,0,3,0.0,0,59,0.0,0,2,0.0
255,Trenton Bourque,D,OS,19.264,62,0,5,12,5,17,62,0.0,0.0,0.08,0.19,0.08,0.27,1.0,2.59,0.04,0,0,0.0,0,2,0.0,0,60,0.0,0,3,0.0
256,Zach Poirier,RW,GUE,19.346,54,8,4,5,12,17,88,9.09,0.15,0.07,0.09,0.22,0.31,1.63,9.58,0.18,2,16,12.5,2,11,18.18,4,61,6.56,5,10,50.0
257,Tyler Angle,C,WSR,16.959,67,10,4,3,14,17,113,8.85,0.15,0.06,0.04,0.21,0.25,1.69,10.24,0.15,4,21,19.05,3,12,25.0,3,80,3.75,345,727,47.46
258,Nolan Hutcheson,LW,SBY,17.221,62,8,4,5,12,17,110,7.27,0.13,0.06,0.08,0.19,0.27,1.77,13.17,0.21,2,19,10.53,1,23,4.35,5,68,7.35,3,14,21.43
259,Bradey Johnson,C,NIAG,17.728,55,11,3,3,14,17,82,13.41,0.2,0.05,0.05,0.25,0.31,1.49,8.37,0.15,4,8,50.0,1,14,7.14,6,60,10.0,34,96,35.42
260,Jack Wismer,RW,FLNT,17.558,67,8,7,2,15,17,102,7.84,0.12,0.1,0.03,0.22,0.25,1.52,14.36,0.21,2,19,10.53,4,23,17.39,2,60,3.33,92,253,36.36
261,Chris Playfair,LW,WSR,17.293,66,5,7,5,12,17,64,7.81,0.08,0.11,0.08,0.18,0.26,0.97,6.09,0.09,1,12,8.33,0,9,0.0,4,43,9.3,270,525,51.43
262,Aidan Brown,RW,BAR,17.98,57,7,6,4,13,17,82,8.54,0.12,0.11,0.07,0.23,0.3,1.44,7.4,0.13,3,10,30.0,1,10,10.0,3,62,4.84,4,13,30.77
263,Max Kislinger,LW,FLNT,19.592,58,8,4,5,12,17,85,9.41,0.14,0.07,0.09,0.21,0.29,1.47,8.46,0.15,2,14,14.29,2,12,16.67,4,59,6.78,4,13,30.77
264,Shaw Boomhower,C,MISS/OTT,18.875,39,9,4,3,13,16,59,15.25,0.23,0.1,0.08,0.33,0.41,1.51,6.62,0.17,3,9,33.33,1,5,20.0,5,45,11.11,35,69,50.72
265,Connor McMichael,C,HAM/LDN,16.666,60,8,8,0,16,16,94,8.51,0.13,0.13,0.0,0.27,0.27,1.57,11.78,0.2,3,14,21.43,2,29,6.9,3,51,5.88,132,301,43.85
266,Ryan Stepien,RW,SAG,15.989,50,10,4,2,14,16,55,18.18,0.2,0.08,0.04,0.28,0.32,1.1,5.89,0.12,1,9,11.11,2,7,28.57,7,39,17.95,8,14,57.14
267,Chad Yetman,RW,ER,17.575,56,9,5,2,14,16,63,14.29,0.16,0.09,0.04,0.25,0.29,1.12,7.71,0.14,4,16,25.0,1,6,16.67,4,41,9.76,14,44,31.82
268,Josh Wainman,D,ER,18.568,67,4,2,10,6,16,75,5.33,0.06,0.03,0.15,0.09,0.24,1.12,4.02,0.06,0,2,0.0,0,3,0.0,4,70,5.71,0,1,0.0
269,Nick Grima,D,SAR,18.527,65,1,5,10,6,16,65,1.54,0.02,0.08,0.15,0.09,0.25,1.0,2.69,0.04,0,1,0.0,1,2,50.0,0,62,0.0,0,1,0.0
270,Nathan Allensen,D,BAR,16.37,55,2,5,8,7,15,38,5.26,0.04,0.09,0.15,0.13,0.27,0.69,1.27,0.02,0,0,0.0,1,2,50.0,1,36,2.78,0,1,0.0
271,Doug Blaisdell,D,KIT/SBY,20.567,66,1,5,9,6,15,82,1.22,0.02,0.08,0.14,0.09,0.23,1.24,4.46,0.07,0,7,0.0,0,3,0.0,1,72,1.39,0,3,0.0
272,Josh Nelson,C,LDN,18.306,65,8,5,2,13,15,56,14.29,0.12,0.08,0.03,0.2,0.23,0.86,7.41,0.11,3,11,27.27,0,7,0.0,5,38,13.16,146,319,45.77
273,Oliver True,RW,OTT,17.367,58,6,6,3,12,15,68,8.82,0.1,0.1,0.05,0.21,0.26,1.17,7.97,0.14,3,16,18.75,0,10,0.0,3,42,7.14,10,31,32.26
274,Jacob Paquette,D,KGN,18.308,63,4,7,4,11,15,59,6.78,0.06,0.11,0.06,0.17,0.24,0.94,2.78,0.04,0,2,0.0,0,2,0.0,4,55,7.27,0,1,0.0
275,Thomas Harley,D,MISS,16.074,62,1,6,8,7,15,60,1.67,0.02,0.1,0.13,0.11,0.24,0.97,2.43,0.04,0,0,0.0,0,2,0.0,1,58,1.72,0,0,0.0
276,Danny Katic,LW,SAG,17.115,55,4,8,3,12,15,50,8.0,0.07,0.15,0.05,0.22,0.27,0.91,4.02,0.07,3,8,37.5,0,3,0.0,1,39,2.56,5,13,38.46
277,Keean Washkurak,C,MISS,16.082,61,6,5,4,11,15,78,7.69,0.1,0.08,0.07,0.18,0.25,1.28,8.85,0.15,1,12,8.33,1,16,6.25,4,50,8.0,156,363,42.98
278,Cole MacKay,RW,SSM,16.258,42,5,4,5,9,14,50,10.0,0.12,0.1,0.12,0.21,0.33,1.19,5.22,0.12,3,11,27.27,1,7,14.29,1,32,3.12,3,11,27.27
279,Jack Hanley,D,HAM,19.406,63,2,6,6,8,14,65,3.08,0.03,0.1,0.1,0.13,0.22,1.03,2.59,0.04,0,0,0.0,0,2,0.0,2,63,3.17,0,1,0.0
280,Alex Black,D,PBO,20.009,65,2,3,9,5,14,78,2.56,0.03,0.05,0.14,0.08,0.22,1.2,3.17,0.05,1,4,25.0,0,1,0.0,1,73,1.37,0,0,0.0
281,Nicholas Porco,LW,SAG,16.512,57,5,4,5,9,14,82,6.1,0.09,0.07,0.09,0.16,0.25,1.44,7.87,0.14,2,11,18.18,0,12,0.0,3,59,5.08,10,23,43.48
282,Hudson Wilson,D,OTT,18.371,66,2,6,6,8,14,58,3.45,0.03,0.09,0.09,0.12,0.21,0.88,2.48,0.04,0,0,0.0,0,2,0.0,2,56,3.57,1,2,50.0
283,Nicholas Canade,LW,MISS,17.525,63,6,4,4,10,14,90,6.67,0.1,0.06,0.06,0.16,0.22,1.43,8.5,0.13,0,8,0.0,1,14,7.14,5,68,7.35,4,12,33.33
