,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Alex Barre-Boulet,C,BLB,20.321,65,53,37,26,90,116,295,17.97,0.82,0.57,0.4,1.38,1.78,4.54,36.69,0.56,1490.82,22.94,2.13,1.49,1.05,3.62,4.67,11.87,1.48,19.38,18.31,62.09,50.78,21.35,70.0,133,57,8,29,27.59,8,42,19.05,37,224,16.52,524,977,53.63
1,Vitalii Abramov,RW,GAT/VIC,19.357,56,45,47,12,92,104,215,20.93,0.8,0.84,0.21,1.64,1.86,3.84,38.65,0.69,1238.71,22.12,2.18,2.28,0.58,4.46,5.04,10.41,1.87,19.63,18.42,62.83,50.76,26.25,75.74,128,41,11,30,36.67,10,36,27.78,24,149,16.11,545,948,57.49
2,Alexandre Alain,C,BLB,20.537,65,44,23,20,67,87,251,17.53,0.68,0.35,0.31,1.03,1.34,3.86,34.46,0.53,1409.22,21.68,1.87,0.98,0.85,2.85,3.7,10.69,1.47,19.62,18.22,62.33,50.72,18.08,68.72,123,56,6,34,17.65,15,45,33.33,23,172,13.37,377,623,60.51
3,Kevin Klima,C,CHI,20.28,68,39,27,20,66,86,211,18.48,0.57,0.4,0.29,0.97,1.26,3.1,23.76,0.35,1412.77,20.78,1.66,1.15,0.85,2.8,3.65,8.96,1.01,18.28,18.37,50.9,51.75,21.81,59.2,103,71,6,21,28.57,8,21,38.1,25,169,14.79,776,1477,52.54
4,Maxime Comtois,LW,VIC,18.686,54,44,22,19,66,85,185,23.78,0.81,0.41,0.35,1.22,1.57,3.43,29.13,0.54,1145.99,21.22,2.3,1.15,0.99,3.46,4.45,9.69,1.53,19.33,18.31,63.04,50.36,26.19,72.5,116,44,16,35,45.71,7,33,21.21,21,117,17.95,115,249,46.18
5,Otto Somppi,C,HAL,19.675,59,28,31,24,59,83,142,19.72,0.47,0.53,0.41,1.0,1.41,2.41,25.21,0.43,1180.26,20.0,1.42,1.58,1.22,3.0,4.22,7.22,1.28,19.66,18.39,55.44,51.39,14.01,62.78,113,67,10,35,28.57,3,23,13.04,15,84,17.86,760,1363,55.76
6,Filip Zadina,RW,HAL,17.802,57,44,20,18,64,82,234,18.8,0.77,0.35,0.32,1.12,1.44,4.11,32.58,0.57,1235.71,21.68,2.14,0.97,0.87,3.11,3.98,11.36,1.58,19.18,18.22,55.53,51.94,16.11,60.89,109,70,12,33,36.36,10,33,30.3,22,168,13.1,23,46,50.0
7,Ivan Kosorenkov,RW,VIC,19.647,63,36,25,21,61,82,173,20.81,0.57,0.4,0.33,0.97,1.3,2.75,26.6,0.42,1150.78,18.27,1.88,1.3,1.09,3.18,4.28,9.02,1.39,19.89,18.28,62.28,49.45,28.23,77.86,109,31,6,21,28.57,3,22,13.64,27,130,20.77,2,7,28.57
8,Alexis Lafreniere,LW,RIM,15.929,60,42,23,15,65,80,205,20.49,0.7,0.38,0.25,1.08,1.33,3.42,28.29,0.47,1229.39,20.49,2.05,1.12,0.73,3.17,3.9,10.01,1.38,20.4,17.85,58.31,49.44,28.55,73.43,105,38,10,35,28.57,15,42,35.71,17,128,13.28,6,12,50.0
9,Joe Veleno,C,SNB/DRU,17.673,64,22,32,25,54,79,200,11.0,0.34,0.5,0.39,0.84,1.23,3.12,19.92,0.31,1263.33,19.74,1.04,1.52,1.19,2.56,3.75,9.5,0.95,18.81,18.06,51.3,49.89,13.51,61.11,99,63,3,13,23.08,3,33,9.09,16,154,10.39,456,986,46.25
10,Jeremy McKenna,RW,MON,18.407,68,36,21,20,57,77,313,11.5,0.53,0.31,0.29,0.84,1.13,4.6,42.09,0.62,1361.52,20.02,1.59,0.93,0.88,2.51,3.39,13.79,1.85,18.66,18.0,50.44,51.39,20.87,59.43,104,71,7,48,14.58,9,41,21.95,20,224,8.93,143,316,45.25
11,Drake Batherson,C,CAP/BLB,19.387,51,29,30,18,59,77,166,17.47,0.57,0.59,0.35,1.16,1.51,3.25,24.34,0.48,1088.14,21.34,1.6,1.65,0.99,3.25,4.25,9.15,1.34,19.06,18.14,55.83,50.66,16.47,64.94,100,54,6,23,26.09,6,29,20.69,17,114,14.91,244,450,54.22
12,Jordan Martel,LW,BAC,19.557,66,39,24,14,63,77,228,17.11,0.59,0.36,0.21,0.95,1.17,3.45,26.4,0.4,1278.11,19.37,1.83,1.13,0.66,2.96,3.61,10.7,1.24,18.88,17.83,52.44,49.16,30.68,67.3,107,52,11,21,52.38,10,28,35.71,18,179,10.06,3,14,21.43
