,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Colton Yellow Horn,LW,LET,17.867,137,60,60,41,120,161,0.435,0.44,0.3,0.875,1.175
1,Dustin Boyd,C,M.J,18.668,130,74,56,21,130,151,0.57,0.43,0.165,1.005,1.165
2,Troy Brouwer,RW,M.J,19.58,143,71,45,33,116,149,0.495,0.315,0.23,0.81,1.04
3,Devin Setoguchi,RW,SAS,18.206,134,69,56,22,125,147,0.515,0.42,0.17,0.935,1.105
4,Kenndal McArdle,LW,M.J,18.197,142,65,50,30,115,145,0.46,0.355,0.21,0.815,1.025
5,Justin Keller,LW,KEL,19.036,144,82,32,27,114,141,0.57,0.22,0.185,0.79,0.98
6,Adam Cracknell,RW,KTN,19.67,144,61,47,33,108,141,0.42,0.325,0.23,0.75,0.98
7,Chad Klassen,C,SPO/SAS,19.917,137,54,48,37,102,139,0.395,0.355,0.27,0.745,1.015
8,Blair Jones,C,RDR/M.J,18.468,140,49,58,28,107,135,0.35,0.41,0.2,0.755,0.96
9,Ian McDonald,C,TRI,19.972,136,53,57,24,110,134,0.385,0.415,0.175,0.795,0.975
10,Ryan Russell,LW,KTN,17.874,138,65,33,30,98,128,0.47,0.235,0.215,0.705,0.92
11,Dale Mahovsky,C,KTN,20.175,140,46,46,36,92,128,0.33,0.325,0.255,0.655,0.915
12,Brandon Dubinsky,C,POR,18.882,119,44,58,24,102,126,0.375,0.51,0.205,0.885,1.09
13,Gilbert Brule,C,VAN,18.206,97,62,37,26,99,125,0.705,0.345,0.28,1.05,1.325
14,Wacey Rabbit,C,SAS,18.332,134,50,38,35,88,123,0.375,0.28,0.26,0.66,0.92
15,John Lammers,LW,LET/EVT,19.129,136,55,33,34,88,122,0.4,0.24,0.25,0.64,0.89
16,Blake Comeau,RW,KEL,19.074,125,45,46,30,91,121,0.36,0.375,0.24,0.735,0.975
17,Mitch Bartley,LW,VAN,20.12,141,61,33,26,94,120,0.435,0.235,0.185,0.67,0.85
18,Nick Drazenovic,C,P.G,18.17,143,48,42,29,90,119,0.335,0.295,0.205,0.63,0.835
19,Roman Wick,LW,RDR/LET,19.21,127,53,36,29,89,118,0.41,0.285,0.225,0.695,0.925
20,Aaron Bader,LW,SAS,19.648,139,42,33,42,75,117,0.305,0.235,0.3,0.54,0.84
21,Joe Barnes,C,SAS,18.75,127,55,35,24,90,114,0.435,0.27,0.195,0.705,0.905
22,Eric Fehr,RW,BRN,19.023,71,59,26,26,85,111,0.83,0.37,0.37,1.2,1.56
23,Aaron Gagnon,C,SEA,18.896,134,55,39,16,94,110,0.41,0.29,0.115,0.7,0.815
