,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
693,Dusty Collins,C,MTB,24.545,70,2,0,2,2,4,55,3.64,0.03,0.0,0.03,0.03,0.06,0.79
694,David Urquhart,D,HFD,24.847,49,0,2,2,2,4,42,0.0,0.0,0.04,0.04,0.04,0.08,0.86
695,Mathieu Roy,D,RCH/SYR,26.1,15,0,2,2,2,4,25,0.0,0.0,0.13,0.13,0.13,0.27,1.67
696,Grant McNeill,D,HER,26.358,35,1,1,2,2,4,13,7.69,0.03,0.03,0.06,0.06,0.11,0.37
697,Angelo Esposito,C,CHI,20.567,12,0,0,4,0,4,8,0.0,0.0,0.0,0.33,0.0,0.33,0.67
698,Denis Bodrov,D,ADK,23.067,17,1,1,2,2,4,22,4.55,0.06,0.06,0.12,0.12,0.24,1.29
699,Jake Gannon,D,BRI,22.64,26,2,0,2,2,4,34,5.88,0.08,0.0,0.08,0.08,0.15,1.31
700,Joe Loprieno,D,WOR,22.938,46,0,3,1,3,4,33,0.0,0.0,0.07,0.02,0.07,0.09,0.72
701,Yannick Tifu,LW,ALB/BNG,24.926,10,3,0,1,3,4,10,30.0,0.3,0.0,0.1,0.3,0.4,1.0
702,Josh Beaulieu,RW,ADK,22.681,46,2,1,1,3,4,53,3.77,0.04,0.02,0.02,0.07,0.09,1.15
703,Jesse Winchester,C,BNG,25.95,4,2,2,0,4,4,11,18.18,0.5,0.5,0.0,1.0,1.0,2.75
704,Luke Gazdic,LW,TEX,20.143,49,3,1,0,4,4,32,9.38,0.06,0.02,0.0,0.08,0.08,0.65
705,Ryan Kinasewich,LW,HAM/BRI,26.073,10,2,2,0,4,4,17,11.76,0.2,0.2,0.0,0.4,0.4,1.7
706,Zach Cohen,F,LE,22.607,10,1,3,0,4,4,21,4.76,0.1,0.3,0.0,0.4,0.4,2.1
707,Brandon Sutter,C,ALB,20.584,7,1,2,1,3,4,12,8.33,0.14,0.29,0.14,0.43,0.57,1.71
708,Dylan Hunter,LW,RCH/MIL/HOU,24.321,20,2,1,1,3,4,9,22.22,0.1,0.05,0.05,0.15,0.2,0.45
709,Oskars Bartulis,D,ADK,22.651,12,2,1,1,3,4,26,7.69,0.17,0.08,0.08,0.25,0.33,2.17
710,Colin Long,C,SA,20.241,29,2,2,0,4,4,37,5.41,0.07,0.07,0.0,0.14,0.14,1.28
711,Mitch Love,LW,PEO,25.252,60,1,2,1,3,4,25,4.0,0.02,0.03,0.02,0.05,0.07,0.42
712,Ryan Flinn,LW,RFD,29.405,20,2,1,1,3,4,17,11.76,0.1,0.05,0.05,0.15,0.2,0.85
713,Drew Fata,D,PRO,26.136,27,1,2,1,3,4,27,3.7,0.04,0.07,0.04,0.11,0.15,1.0
714,Kevin Schaeffer,D,HFD/LE,24.915,18,0,3,1,3,4,21,0.0,0.0,0.17,0.06,0.17,0.22,1.17
715,Francis Lessard,RW,SA,30.298,61,2,1,1,3,4,44,4.55,0.03,0.02,0.02,0.05,0.07,0.72
716,Taylor Ellington,D,MTB,20.874,19,1,2,1,3,4,10,10.0,0.05,0.11,0.05,0.16,0.21,0.53
717,Matt Gilroy,D,HFD,25.156,5,0,3,1,3,4,16,0.0,0.0,0.6,0.2,0.6,0.8,3.2
718,Doug Nolan,D,MCH/PRO,33.695,22,0,3,1,3,4,4,0.0,0.0,0.14,0.05,0.14,0.18,0.18
719,Stu Bickel,D,SA,22.955,36,2,2,0,4,4,31,6.45,0.06,0.06,0.0,0.11,0.11,0.86
720,Evan Barlow,LW,ABB,23.853,8,1,3,0,4,4,7,14.29,0.12,0.38,0.0,0.5,0.5,0.88
721,Ryan Weston,RW,SA,25.684,23,3,0,1,3,4,27,11.11,0.13,0.0,0.04,0.13,0.17,1.17
722,Peter Vandermeer,LW,ABB,33.923,20,2,2,0,4,4,18,11.11,0.1,0.1,0.0,0.2,0.2,0.9
723,Brett Palin,D,ABB,25.23,21,0,1,2,1,3,11,0.0,0.0,0.05,0.1,0.05,0.14,0.52
724,Nick Schaus,D,WOR,23.204,4,0,2,1,2,3,4,0.0,0.0,0.5,0.25,0.5,0.75,1.0
725,Kevin Clark,RW,MTB,21.714,9,2,0,1,2,3,13,15.38,0.22,0.0,0.11,0.22,0.33,1.44
726,Tim Marks,LW,NOR,24.633,14,0,2,1,2,3,16,0.0,0.0,0.14,0.07,0.14,0.21,1.14
727,Benoit Pouliot,LW,HAM,22.963,3,1,1,1,2,3,11,9.09,0.33,0.33,0.33,0.67,1.0,3.67
728,Trent Daavettila,F,GR/ADK,25.033,15,1,1,1,2,3,9,11.11,0.07,0.07,0.07,0.13,0.2,0.6
729,Justin Bernhardt,C,SA,21.556,14,1,1,1,2,3,8,12.5,0.07,0.07,0.07,0.14,0.21,0.57
730,Matt McIlvane,F,PEO,23.869,8,1,0,2,1,3,7,14.29,0.12,0.0,0.25,0.12,0.38,0.88
731,Kip Brennan,LW,SPR,29.052,53,0,0,3,0,3,24,0.0,0.0,0.0,0.06,0.0,0.06,0.45
