,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Indiana Ice,60,37,59.25,237,163,74,52.22,2046,1872,174,11.28,0.914,102.72
1,Green Bay Gamblers,60,37,58.92,185,129,56,52.82,1893,1691,202,9.39,0.925,101.93
2,Cedar Rapids RoughRiders,60,35,58.07,205,148,57,50.64,1778,1733,45,11.13,0.916,102.75
3,Dubuque Fighting Saints,60,33,56.51,191,147,44,52.32,1803,1643,160,10.34,0.914,101.73
4,Sioux Falls Stampede,60,32,54.47,195,163,32,53.69,1965,1695,270,9.65,0.905,100.14
5,Lincoln Stars,60,31,51.06,193,185,8,48.11,1742,1879,-137,10.72,0.906,101.31
6,Omaha Lancers,60,30,54.43,166,139,27,51.26,1751,1665,86,9.12,0.919,100.99
7,Fargo Force,60,28,53.16,168,148,20,54.84,1857,1529,328,8.5,0.906,99.06
8,Sioux City Musketeers,60,25,50.45,168,165,3,51.06,1703,1632,71,9.6,0.903,99.93
9,Des Moines Buccaneers,60,25,49.56,170,173,-3,50.81,1886,1826,60,8.82,0.908,99.64
10,Team USA,60,25,49.55,165,168,-3,47.51,1737,1919,-182,9.39,0.914,100.83
11,Waterloo Black Hawks,60,21,47.35,161,179,-18,49.14,1819,1883,-64,8.55,0.909,99.43
12,Youngstown Phantoms,60,19,44.66,163,202,-39,50.36,1833,1807,26,8.79,0.89,97.81
13,Muskegon Lumberjacks,60,17,43.9,180,230,-50,45.96,1736,2041,-305,10.21,0.89,99.25
14,Tri-City Storm,60,16,40.12,134,200,-66,46.55,1734,1991,-257,7.57,0.903,97.89
15,Chicago Steel,60,8,29.48,102,244,-142,43.09,1487,1964,-477,6.73,0.879,94.62
