,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Morgan Frost,C,SSM,18.841,118,78,89,45,167,212,419,18.72,0.67,0.765,0.38,1.435,1.815,3.64,25.995,0.45,19,53,35.97,9,44,17.755,50,322,15.54,1286,2515,51.055
1,Jason Robertson,RW,KGN/NIAG,18.652,120,83,61,40,144,184,560,14.99,0.705,0.525,0.335,1.235,1.575,4.69,37.985,0.635,15,64,23.43,19,109,16.905,49,387,13.03,5,20,25.0
2,Nick Suzuki,C,OS/GUE,18.6,113,71,58,43,129,172,516,13.645,0.625,0.51,0.385,1.135,1.515,4.595,32.835,0.58,11,63,15.705,22,81,26.83,38,372,10.315,738,1367,53.965
3,Justin Brazeau,RW,NB,20.117,126,89,56,23,145,168,529,16.83,0.715,0.445,0.19,1.165,1.35,4.225,35.99,0.57,27,99,27.885,20,102,19.905,42,328,12.87,39,105,31.01
4,Akil Thomas,RW/C,NIAG,18.203,121,52,61,53,113,166,370,14.275,0.445,0.515,0.44,0.955,1.395,3.08,22.37,0.375,13,55,22.38,7,57,12.315,32,258,12.595,1045,1938,54.035
5,Tye Felhaber,LW/RW,OTT,19.613,125,82,52,30,134,164,491,16.78,0.675,0.42,0.24,1.1,1.34,3.955,29.175,0.47,15,58,25.95,20,81,25.28,47,352,13.325,74,145,50.79
6,Kevin Hancock,LW/C,OS/LDN,20.04,113,71,66,26,137,163,533,13.06,0.615,0.585,0.23,1.205,1.435,4.71,27.615,0.49,15,46,31.905,16,67,24.145,40,420,9.25,1001,1759,57.02
7,Ben Jones,C,NIAG,19.051,126,65,67,31,132,163,408,16.015,0.52,0.545,0.24,1.065,1.305,3.245,27.315,0.44,27,96,28.41,17,59,28.63,21,253,8.545,1345,2499,53.7
8,Brandon Saigeon,C,HAM/OSH,19.755,124,71,50,34,121,155,479,14.82,0.575,0.405,0.28,0.98,1.26,3.875,26.645,0.43,14,49,29.57,18,62,30.68,39,368,10.56,1269,2436,51.735
9,Lucas Chiodo,LW,BAR/OTT,19.374,126,56,57,39,113,152,259,21.725,0.445,0.455,0.31,0.9,1.21,2.075,19.43,0.31,14,40,34.59,11,51,20.805,31,168,18.73,8,23,32.54
10,Kirill Maksimov,RW,NIAG,18.792,117,68,45,37,113,150,433,15.74,0.585,0.385,0.315,0.965,1.28,3.705,25.005,0.43,10,47,21.975,13,54,25.295,45,332,13.605,8,31,31.31
11,Kyle Maksimovich,LW,ER/OTT,20.019,123,66,46,32,112,144,363,18.345,0.54,0.375,0.265,0.92,1.18,2.945,22.11,0.36,7,45,15.585,24,70,34.74,35,248,14.22,98,261,36.44
12,Matthew Strome,LW,HAM,19.191,125,64,45,33,109,142,360,17.715,0.51,0.365,0.27,0.875,1.14,2.885,29.015,0.465,30,95,31.01,11,64,17.355,23,201,11.51,233,491,48.63
13,Arthur Kaliyev,RW,HAM,16.722,127,78,29,34,107,141,486,15.915,0.63,0.24,0.275,0.865,1.145,3.885,33.57,0.54,19,68,27.605,19,96,19.1,40,322,11.775,2,10,14.285
14,Sasha Chmelevski,C,OTT,18.77,113,64,45,31,109,140,453,14.63,0.575,0.42,0.265,1.0,1.27,3.98,26.745,0.47,12,63,19.21,14,74,19.185,38,316,12.645,1028,1751,58.99
15,Jack Studnicka,C,OSH/NIAG,19.074,116,49,57,31,106,137,382,13.2,0.435,0.48,0.28,0.915,1.195,3.3,22.88,0.395,16,57,27.775,12,68,17.595,21,257,8.575,1239,2316,53.495
16,Isaac Ratcliffe,LW,GUE,19.082,122,84,29,23,113,136,505,16.895,0.695,0.235,0.19,0.94,1.125,4.13,35.07,0.575,19,86,21.87,27,99,27.245,38,320,11.96,18,59,27.38
17,Anthony Salinitri,LW,SAR/OSH,20.032,126,67,37,32,104,136,423,15.69,0.54,0.295,0.255,0.84,1.095,3.395,28.33,0.455,18,71,25.28,17,84,19.795,32,268,11.56,366,728,50.25
18,Owen Tippett,RW,MISS/SAG,19.079,95,66,41,28,107,135,510,12.93,0.695,0.425,0.295,1.12,1.415,5.365,30.29,0.635,11,50,21.955,16,70,22.54,39,390,10.0,51,109,38.715
19,Adam Ruzicka,C,SAR/SBY,18.849,118,60,46,27,106,133,438,13.565,0.505,0.39,0.23,0.895,1.125,3.71,28.59,0.48,17,63,27.05,10,70,14.3,33,305,10.725,1219,2072,58.825
20,Ryan Merkley,D,GUE/PBO,17.587,116,24,65,41,89,130,262,9.175,0.21,0.56,0.36,0.765,1.125,2.26,10.19,0.175,0,11,0.0,2,17,8.335,22,234,9.42,1,1,50.0
21,Joseph Garreffa,RW,KIT,18.602,126,34,44,50,78,128,290,11.705,0.28,0.345,0.4,0.625,1.025,2.365,14.39,0.235,9,35,21.21,6,36,16.67,19,219,9.86,241,469,50.61
22,Evan Bouchard,D,LDN,18.406,102,34,56,38,90,128,450,7.15,0.315,0.56,0.355,0.88,1.235,4.4,16.815,0.325,4,18,21.54,3,16,11.54,27,416,6.265,0,0,0.0
