,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Travis Morin,C,TEX,28.934,201,57,77,64,134,198,513,11.512,0.332,0.385,0.348,0.72,1.07,2.765
1,Chris Terry,LW,CHA,23.691,214,69,68,51,137,188,617,11.435,0.345,0.328,0.238,0.672,0.91,2.99
2,Jonathan Marchessault,RW,CT/SPR/SYR,21.969,227,68,70,49,138,187,717,9.44,0.3,0.305,0.195,0.6,0.802,3.172
3,Andy Miele,C,POR,24.668,209,62,73,44,135,179,417,15.545,0.32,0.36,0.225,0.675,0.9,2.052
4,Kris Newbury,C,CT/HER/ADK,30.82,198,63,66,46,129,175,545,11.535,0.312,0.322,0.227,0.63,0.858,2.698
5,Jason Akeson,RW,ADK,22.536,208,58,63,51,121,172,533,11.148,0.295,0.305,0.248,0.608,0.848,2.65
6,Martin St. Pierre,C,SPR/RFD/HAM,29.348,220,47,69,55,116,171,460,9.84,0.192,0.305,0.25,0.497,0.755,1.92
7,T.J. Hensick,C,PEO/HFD,27.015,184,51,68,52,119,171,385,13.458,0.272,0.34,0.277,0.612,0.89,2.032
8,Jeff Taffe,C,HOU/HER,31.82,218,57,69,45,126,171,545,10.7,0.268,0.28,0.198,0.545,0.748,2.5
9,Colton Sceviour,RW,TEX,23.656,191,74,58,36,132,168,681,11.69,0.45,0.312,0.202,0.768,0.972,3.765
10,Zach Boychuk,LW,CHA,23.198,182,80,52,29,132,161,511,15.99,0.46,0.295,0.17,0.755,0.928,2.86
11,Linden Vey,C,MCH,21.416,191,55,62,41,117,158,336,15.905,0.305,0.385,0.245,0.683,0.933,1.912
12,Brandon Pirri,C,RFD,21.684,168,56,51,50,107,157,510,11.212,0.37,0.305,0.285,0.672,0.96,3.298
13,Ben Street,C,WBS/ABB,25.838,198,70,53,31,123,154,598,13.185,0.39,0.288,0.175,0.678,0.85,3.008
14,Chris Mueller,C,MIL/TEX,26.78,188,75,48,30,123,153,523,13.958,0.402,0.278,0.165,0.68,0.842,2.872
15,Mark Mancari,RW,CHI/RCH/SA,27.431,200,61,53,38,114,152,628,9.012,0.26,0.258,0.192,0.52,0.71,2.83
16,Keith Aucoin,C,HER/TOR/CHI,34.109,139,32,69,49,101,150,274,12.67,0.228,0.47,0.33,0.692,1.025,1.91
17,Trevor Smith,C,NOR/WBS/TOR,27.85,163,59,54,36,113,149,391,14.36,0.39,0.402,0.202,0.792,0.99,2.725
18,Joe Whitney,LW,ALB,24.858,211,63,46,39,109,148,578,10.875,0.3,0.218,0.192,0.52,0.71,2.74
19,Brandon Kozun,RW,MCH/TOR,22.774,223,63,52,33,115,148,463,12.835,0.27,0.227,0.155,0.498,0.65,2.115
20,Phil Varone,C,RCH,22.032,207,40,68,40,108,148,407,9.855,0.21,0.342,0.202,0.555,0.75,2.152
21,Carter Camper,C,PRO/SPR,24.444,186,40,54,52,94,146,448,8.98,0.21,0.288,0.308,0.498,0.805,2.335
22,Jason Jaffray,LW,STJ,31.461,188,50,59,36,109,145,401,12.708,0.267,0.325,0.185,0.592,0.778,2.1
23,Jeremy Morin,RW,RFD,21.668,183,72,42,31,114,145,640,11.262,0.432,0.24,0.19,0.672,0.862,3.805
24,Mike Hoffman,LW,BNG,23.059,168,64,48,32,112,144,504,13.292,0.445,0.328,0.215,0.772,0.985,3.245
25,Mark Arcobello,C,OKC,24.343,162,49,53,37,102,139,477,13.558,0.468,0.418,0.428,0.885,1.312,3.295
26,Gustav Nyquist,RW,GR,23.288,129,52,53,34,105,139,357,16.74,0.432,0.522,0.265,0.95,1.217,2.605
27,Jon DiSalvatore,RW,HOU/HER/SYR,31.713,190,57,39,42,96,138,385,14.295,0.277,0.202,0.202,0.478,0.685,1.928
28,T.J. Brennan,D,RCH/TOR,23.702,164,55,46,36,101,137,547,10.035,0.34,0.295,0.227,0.632,0.862,3.383
29,Casey Wellman,RW,HOU/CT/HER/SA,25.161,185,57,46,34,103,137,472,12.692,0.312,0.23,0.17,0.542,0.715,2.48
30,Nick Drazenovic,C,SPR/WBS,25.92,166,43,53,40,96,136,400,10.418,0.252,0.322,0.225,0.572,0.798,2.388
31,Tyler Johnson,C,NOR/SYR,21.632,137,68,35,30,103,133,413,16.665,0.505,0.26,0.215,0.765,0.98,3.02
32,Stephane Da Costa,C,BNG,23.431,159,44,52,36,96,132,380,11.575,0.288,0.338,0.258,0.625,0.883,2.492
