,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%,Cluster
10,Gabriel Vilardi,C,WSR,16.082,62,17,10,11,27,38,112,15.18,0.27,0.16,0.18,0.44,0.61,1.81,13.89,0.22,5,16,31.25,4,21,19.05,8,75,10.67,264,573,46.07,0
11,Nick Suzuki,C,OS,16.099,63,20,13,5,33,38,189,10.58,0.32,0.21,0.08,0.52,0.6,3,20.87,0.33,7,30,23.33,2,22,9.09,11,137,8.03,308,627,49.12,0
12,Nick Robertson,C,PBO,16.011,62,15,14,4,29,33,115,13.04,0.24,0.23,0.06,0.47,0.53,1.85,12.12,0.2,2,11,18.18,2,21,9.52,11,83,13.25,165,384,42.97,0
13,Austen Keating,C,OTT,16.526,50,13,11,8,24,32,77,16.88,0.26,0.22,0.16,0.48,0.64,1.54,8.43,0.17,2,12,16.67,2,10,20,9,55,16.36,101,223,45.29,0
14,Jason Robertson,RW,KGN,16.151,54,18,6,8,24,32,112,16.07,0.33,0.11,0.15,0.44,0.59,2.07,14.49,0.27,3,18,16.67,5,19,26.32,10,75,13.33,3,5,60,0
15,Nathan Dunkley,LW,KGN,16.531,58,6,14,11,20,31,81,7.41,0.1,0.24,0.19,0.34,0.53,1.4,11.58,0.2,1,15,6.67,3,21,14.29,2,45,4.44,321,607,52.88,0
16,Danil Antropov,LW,OSH,16.737,59,15,10,6,25,31,69,21.74,0.25,0.17,0.1,0.42,0.53,1.17,10.17,0.17,5,18,27.78,3,10,30,7,41,17.07,5,12,41.67,0
17,Semyon Der-Arguchintsev,C,PBO,16,63,7,12,10,19,29,54,12.96,0.11,0.19,0.16,0.3,0.46,0.86,6.33,0.1,1,10,10,4,10,40,2,34,5.88,166,352,47.16,0
18,Morgan Frost,C,SSM,16.34,65,7,14,6,21,27,69,10.14,0.11,0.22,0.09,0.32,0.42,1.06,7.87,0.12,1,11,9.09,3,9,33.33,3,49,6.12,232,488,47.54,0
19,Barrett Hayton,C,SSM,16.269,63,9,12,6,21,27,97,9.28,0.14,0.19,0.1,0.33,0.43,1.54,10.08,0.16,2,14,14.29,2,12,16.67,5,71,7.04,154,305,50.49,0
20,Daniil Vertiy,LW,WSR/NB,16.841,54,10,9,7,19,26,94,10.64,0.19,0.17,0.13,0.35,0.48,1.74,10.51,0.19,2,20,10,2,8,25,6,66,9.09,0,3,0,0
21,Jack Studnicka,C,OSH,16.573,62,4,11,11,15,26,86,4.65,0.06,0.18,0.18,0.24,0.42,1.39,8.47,0.14,1,14,7.14,3,15,20,0,57,0,179,403,44.42,0
22,Graeme Clarke,RW,OTT,16.395,63,14,4,7,18,25,121,11.57,0.22,0.06,0.11,0.29,0.4,1.92,11.81,0.19,2,8,25,2,19,10.53,10,94,10.64,6,11,54.55,0
23,Damien Giroux,C,SAG,16.537,53,8,6,11,14,25,68,11.76,0.15,0.11,0.21,0.26,0.47,1.28,8.86,0.17,1,17,5.88,1,14,7.14,6,37,16.22,138,304,45.39,0
24,Ty Dellandrea,C,FLNT,16.154,57,13,8,3,21,24,103,12.62,0.23,0.14,0.05,0.37,0.42,1.81,11.99,0.21,2,17,11.76,5,24,20.83,6,62,9.68,271,554,48.92,0
25,Brady Hinz,RW,SAR,16.37,61,5,14,5,19,24,63,7.94,0.08,0.23,0.08,0.31,0.39,1.03,6.6,0.11,4,7,57.14,0,14,0,1,42,2.38,225,508,44.29,0
26,Adam McMaster,C,NB,16.559,61,5,11,8,16,24,98,5.1,0.08,0.18,0.13,0.26,0.39,1.61,9.71,0.16,2,15,13.33,0,14,0,3,69,4.35,201,467,43.04,0
27,Philip Tomasino,RW,NIAG,16.134,61,5,13,6,18,24,73,6.85,0.08,0.21,0.1,0.3,0.39,1.2,8.76,0.14,3,14,21.43,0,12,0,2,47,4.26,147,318,46.23,0
28,Nicolas Hague,D,MISS,16.778,66,14,7,3,21,24,141,9.93,0.21,0.11,0.05,0.32,0.36,2.14,8.52,0.13,1,5,20,6,14,42.86,7,122,5.74,2,4,50,0
29,Ryan McGregor,C,SAR,16.627,58,11,8,5,19,24,68,16.18,0.19,0.14,0.09,0.33,0.41,1.17,8.47,0.15,6,16,37.5,0,9,0,5,43,11.63,25,49,51.02,0
