,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Morgan Frost,C,SSM,19.341,54,37,46,21,83,104,224,16.52,0.69,0.85,0.39,1.54,1.93,4.15,27.63,0.51,9,30,30.0,1,16,6.25,27,178,15.17,628,1250,50.24
1,Kevin Hancock,C,LDN/OS,20.54,64,50,35,16,85,101,301,16.61,0.78,0.55,0.25,1.33,1.58,4.7,28.19,0.44,11,26,42.31,8,40,20.0,31,235,13.19,674,1191,56.59
2,Jason Robertson,RW,KGN/NIAG,19.152,55,42,38,21,80,101,263,15.97,0.76,0.69,0.38,1.45,1.84,4.78,34.17,0.62,8,34,23.53,6,49,12.24,28,180,15.56,3,10,30.0
3,Justin Brazeau,RW,NB,20.616,61,53,30,15,83,98,277,19.13,0.87,0.49,0.25,1.36,1.61,4.54,35.64,0.58,13,56,23.21,14,51,27.45,26,170,15.29,34,77,44.16
4,Arthur Kaliyev,RW,HAM,17.221,62,50,25,22,75,97,292,17.12,0.81,0.4,0.35,1.21,1.56,4.71,41.78,0.67,12,37,32.43,6,39,15.38,32,216,14.81,0,3,0.0
5,Tye Felhaber,RW,OTT,20.113,59,51,28,16,79,95,251,20.32,0.86,0.47,0.27,1.34,1.61,4.25,28.7,0.49,7,26,26.92,12,39,30.77,32,186,17.2,27,53,50.94
6,Akil Thomas,C,NIAG,18.703,56,32,33,26,65,91,179,17.88,0.57,0.59,0.46,1.16,1.62,3.2,22.83,0.41,10,34,29.41,6,29,20.69,16,116,13.79,447,822,54.38
7,Nate Schnarr,RW,GUE,19.554,58,28,37,26,65,91,168,16.67,0.48,0.64,0.45,1.12,1.57,2.9,22.19,0.38,7,36,19.44,6,27,22.22,15,105,14.29,370,701,52.78
8,Ben Jones,C,NIAG,19.551,61,38,40,13,78,91,202,18.81,0.62,0.66,0.21,1.28,1.49,3.31,28.63,0.47,15,57,26.32,11,31,35.48,12,114,10.53,626,1193,52.47
9,Brandon Saigeon,C,HAM/OSH,20.255,62,37,30,20,67,87,250,14.8,0.6,0.48,0.32,1.08,1.4,4.03,25.33,0.41,7,19,36.84,8,24,33.33,22,207,10.63,536,1116,48.03
10,Anthony Salinitri,LW,OSH/SAR,20.532,62,42,24,16,66,82,243,17.28,0.68,0.39,0.26,1.06,1.32,3.92,31.47,0.51,7,36,19.44,13,51,25.49,22,156,14.1,200,393,50.89
11,Kyle Maksimovich,LW,ER/OTT,20.518,60,35,25,21,60,81,173,20.23,0.58,0.42,0.35,1.0,1.35,2.88,20.32,0.34,3,18,16.67,12,34,35.29,20,121,16.53,33,105,31.43
12,Greg Meireles,RW,KIT,19.705,61,31,28,22,59,81,218,14.22,0.51,0.46,0.36,0.97,1.33,3.57,24.68,0.4,7,32,21.88,10,37,27.03,14,149,9.4,534,984,54.27
13,Nick Suzuki,C,GUE/OS,19.1,52,30,28,21,58,79,247,12.15,0.58,0.54,0.4,1.12,1.52,4.75,30.12,0.58,4,28,14.29,5,42,11.9,21,177,11.86,407,746,54.56
14,Matthew Strome,LW,HAM,19.691,63,27,27,22,54,76,189,14.29,0.43,0.43,0.35,0.86,1.21,3.0,25.74,0.41,11,45,24.44,6,31,19.35,10,113,8.85,182,402,45.27
15,Austen Keating,C,OTT,19.527,59,21,33,22,54,76,133,15.79,0.36,0.56,0.37,0.92,1.29,2.25,19.6,0.33,6,27,22.22,7,29,24.14,8,77,10.39,154,297,51.85
16,Lucas Chiodo,LW,BAR/OTT,19.874,60,27,29,19,56,75,139,19.42,0.45,0.48,0.32,0.93,1.25,2.32,19.82,0.33,8,21,38.1,4,25,16.0,15,93,16.13,2,9,22.22
17,Kirill Maksimov,RW,NIAG,19.291,58,37,21,17,58,75,217,17.05,0.64,0.36,0.29,1.0,1.29,3.74,25.37,0.44,5,30,16.67,6,22,27.27,26,165,15.76,4,9,44.44
18,Serron Noel,RW,OSH,18.103,62,32,26,16,58,74,165,19.39,0.52,0.42,0.26,0.94,1.19,2.66,25.81,0.42,13,44,29.55,6,36,16.67,13,85,15.29,7,24,29.17
19,Alan Lyszczarczyk,LW,MISS/OS,20.575,57,35,27,12,62,74,260,13.46,0.61,0.47,0.21,1.09,1.3,4.56,31.6,0.55,11,48,22.92,5,43,11.63,19,169,11.24,15,32,46.88
20,Hugo Leufvenius,LW,SAR,19.475,61,35,28,11,63,74,226,15.49,0.57,0.46,0.18,1.03,1.21,3.7,25.46,0.42,6,23,26.09,6,38,15.79,23,165,13.94,18,41,43.9
21,Joseph Garreffa,RW,KIT,19.102,61,26,21,26,47,73,203,12.81,0.43,0.34,0.43,0.77,1.2,3.33,18.75,0.31,10,27,37.04,6,22,27.27,10,154,6.49,74,160,46.25
22,Isaac Ratcliffe,LW,GUE,19.582,58,47,15,11,62,73,239,19.67,0.81,0.26,0.19,1.07,1.26,4.12,30.92,0.53,12,46,26.09,16,51,31.37,19,142,13.38,4,15,26.67
23,Brett Neumann,C,KGN/OSH,19.582,62,40,17,15,57,72,246,16.26,0.65,0.27,0.24,0.92,1.16,3.97,25.66,0.41,12,26,46.15,8,50,16.0,20,170,11.76,581,1048,55.44
24,Riley Damiani,C,KIT,18.489,51,23,34,15,57,72,179,12.85,0.45,0.67,0.29,1.12,1.41,3.51,19.03,0.37,4,21,19.05,10,29,34.48,9,129,6.98,306,688,44.48
25,Liam Hawel,C,GUE,19.412,59,35,21,16,56,72,149,23.49,0.59,0.36,0.27,0.95,1.22,2.53,17.52,0.3,7,34,20.59,7,18,38.89,21,97,21.65,181,349,51.86
26,Mac Hollowell,D,SSM,19.97,57,23,22,26,45,71,218,10.55,0.4,0.39,0.46,0.79,1.25,3.82,17.17,0.3,1,12,8.33,2,16,12.5,20,190,10.53,1,1,100.0
27,Keeghan Howdeshell,LW,SSM,20.556,61,41,19,11,60,71,239,17.15,0.67,0.31,0.18,0.98,1.16,3.92,29.92,0.49,8,46,17.39,11,44,25.0,22,149,14.77,27,74,36.49
28,Ryan McGregor,C,SAR,19.628,56,24,25,21,49,70,152,15.79,0.43,0.45,0.38,0.88,1.25,2.71,17.03,0.3,2,12,16.67,4,27,14.81,18,113,15.93,710,1310,54.2
29,Connor McMichael,C,LDN,17.665,61,36,27,6,63,69,205,17.56,0.59,0.44,0.1,1.03,1.13,3.36,23.56,0.39,15,33,45.45,7,37,18.92,14,135,10.37,303,551,54.99
30,Matthew Struthers,C,NB,18.722,54,28,23,18,51,69,170,16.47,0.52,0.43,0.33,0.94,1.28,3.15,19.91,0.37,5,25,20.0,10,28,35.71,13,117,11.11,510,1156,44.12
31,Sasha Chmelevski,C,OTT,19.269,47,31,27,11,58,69,180,17.22,0.66,0.57,0.23,1.23,1.47,3.83,20.27,0.43,6,25,24.0,5,27,18.52,20,128,15.62,513,825,62.18
32,Jack Studnicka,C,NIAG/OSH,19.573,53,30,20,18,50,68,178,16.85,0.57,0.38,0.34,0.94,1.28,3.36,20.93,0.39,11,34,32.35,6,29,20.69,13,115,11.3,604,1123,53.78
33,Ryan Suzuki,C,BAR,17.301,59,20,27,19,47,66,139,14.39,0.34,0.46,0.32,0.8,1.12,2.36,16.3,0.28,3,18,16.67,3,26,11.54,14,95,14.74,410,907,45.2
34,Cole Carter,RW,MISS,20.195,56,34,23,9,57,66,220,15.45,0.61,0.41,0.16,1.02,1.18,3.93,30.3,0.54,12,41,29.27,3,40,7.5,19,139,13.67,46,93,49.46
35,Liam Foudy,C,LDN,18.612,56,35,12,19,47,66,176,19.89,0.62,0.21,0.34,0.84,1.18,3.14,22.45,0.4,10,41,24.39,13,34,38.24,12,101,11.88,122,228,53.51
36,Rickard Hugg,C,KIT,19.658,55,30,16,19,46,65,165,18.18,0.55,0.29,0.35,0.84,1.18,3.0,17.06,0.31,4,24,16.67,9,38,23.68,17,103,16.5,183,379,48.28
37,Adam Ruzicka,C,SAR/SBY,19.349,58,26,22,17,48,65,217,11.98,0.45,0.38,0.29,0.83,1.12,3.74,24.02,0.41,7,24,29.17,5,38,13.16,14,155,9.03,670,1121,59.77
38,Bode Wilde,D,SAG,18.642,55,18,26,21,44,65,184,9.78,0.33,0.47,0.38,0.8,1.18,3.35,9.99,0.18,0,5,0.0,2,9,22.22,16,170,9.41,2,2,100.0
39,Owen Tippett,RW,SAG/MISS,19.579,47,30,17,17,47,64,243,12.35,0.64,0.36,0.36,1.0,1.36,5.17,27.34,0.58,6,29,20.69,8,32,25.0,16,182,8.79,49,95,51.58
40,Philip Tomasino,C,NIAG,17.134,60,31,23,10,54,64,182,17.03,0.52,0.38,0.17,0.9,1.07,3.03,18.87,0.31,8,31,25.81,11,44,25.0,12,107,11.21,168,331,50.76
41,Ryan Merkley,D,GUE/PBO,18.087,56,11,30,23,41,64,122,9.02,0.2,0.54,0.41,0.73,1.14,2.18,8.06,0.14,0,1,0.0,0,5,0.0,11,116,9.48,1,1,100.0
42,Cole Perfetti,C,SAG,16.704,56,30,20,14,50,64,142,21.13,0.54,0.36,0.25,0.89,1.14,2.54,15.21,0.27,8,21,38.1,5,28,17.86,17,93,18.28,17,37,45.95
43,Cole Coskey,RW,SAG,19.291,52,31,20,12,51,63,143,21.68,0.6,0.38,0.23,0.98,1.21,2.75,18.74,0.36,5,25,20.0,7,20,35.0,19,98,19.39,151,317,47.63
44,Jonathan Yantsis,RW,KIT,19.384,61,42,12,7,54,61,201,20.9,0.69,0.2,0.11,0.89,1.0,3.3,27.06,0.44,19,60,31.67,9,45,20.0,14,96,14.58,5,13,38.46
45,Barrett Hayton,C,SSM,18.267,37,22,22,16,44,60,136,16.18,0.59,0.59,0.43,1.19,1.62,3.68,15.82,0.43,2,18,11.11,2,18,11.11,18,100,18.0,366,661,55.37
46,Allan McShane,LW,OSH,18.585,56,29,21,10,50,60,180,16.11,0.52,0.38,0.18,0.89,1.07,3.21,21.75,0.39,7,23,30.43,12,38,31.58,10,119,8.4,423,768,55.08
47,Ryan McLeod,C,SAG/MISS,18.985,56,17,24,18,41,59,137,12.41,0.3,0.43,0.32,0.73,1.05,2.45,14.43,0.26,2,11,18.18,2,21,9.52,13,105,12.38,587,1166,50.34
48,Quinton Byfield,C,SBY,16.074,57,27,19,13,46,59,155,17.42,0.47,0.33,0.23,0.81,1.04,2.72,13.4,0.24,6,25,24.0,7,28,25.0,14,102,13.73,259,486,53.29
49,Marco Rossi,C,OTT,16.978,46,26,16,16,42,58,140,18.57,0.57,0.35,0.35,0.91,1.26,3.04,13.67,0.3,4,21,19.05,3,26,11.54,19,93,20.43,391,718,54.46
50,Nicolas Mattinen,D,HAM/OSH,20.532,62,18,19,21,37,58,207,8.7,0.29,0.31,0.34,0.6,0.94,3.34,11.75,0.19,4,12,33.33,1,8,12.5,13,187,6.95,2,5,40.0
51,Ty Dellandrea,C,FLNT,18.152,54,20,28,9,48,57,175,11.43,0.37,0.52,0.17,0.89,1.06,3.24,21.19,0.39,7,26,26.92,4,26,15.38,9,123,7.32,733,1276,57.45
52,Cole MacKay,RW,SSM,17.257,58,26,16,14,42,56,145,17.93,0.45,0.28,0.24,0.72,0.97,2.5,16.29,0.28,4,29,13.79,10,22,45.45,12,94,12.77,29,69,42.03
53,Franco Sproviero,C,SAR,20.113,59,21,21,14,42,56,163,12.88,0.36,0.36,0.24,0.71,0.95,2.76,16.39,0.28,3,28,10.71,5,28,17.86,13,107,12.15,353,703,50.21
54,Noel Hoefenmayer,D,OTT,19.691,59,16,21,19,37,56,177,9.04,0.27,0.36,0.32,0.63,0.95,3.0,10.7,0.18,0,0,0.0,3,12,25.0,13,165,7.88,1,2,50.0
55,Adam Boqvist,D,LDN,18.084,49,18,21,16,39,55,132,13.64,0.37,0.43,0.33,0.8,1.12,2.69,8.45,0.17,3,5,60.0,2,5,40.0,13,122,10.66,0,0,0.0
56,Jake Durham,RW,FLNT,19.442,62,35,12,8,47,55,167,20.96,0.56,0.19,0.13,0.76,0.89,2.69,18.76,0.3,10,28,35.71,8,41,19.51,17,98,17.35,35,118,29.66
57,Tyler Tucker,D,BAR,18.541,62,12,23,19,35,54,156,7.69,0.19,0.37,0.31,0.56,0.87,2.52,8.6,0.14,0,4,0.0,1,6,16.67,11,146,7.53,0,3,0.0
58,Aidan Dudas,C,OS,18.251,61,24,14,16,38,54,183,13.11,0.39,0.23,0.26,0.62,0.89,3.0,21.43,0.35,5,20,25.0,2,34,5.88,17,129,13.18,407,836,48.68
59,Kyle MacLean,C,OSH,19.382,62,16,29,9,45,54,133,12.03,0.26,0.47,0.15,0.73,0.87,2.15,15.64,0.25,5,25,20.0,4,22,18.18,7,86,8.14,264,533,49.53
60,Brad Chenier,LW,NB,19.653,54,25,20,9,45,54,184,13.59,0.46,0.37,0.17,0.83,1.0,3.41,20.56,0.38,9,32,28.12,5,28,17.86,11,124,8.87,16,47,34.04
61,Chad Yetman,RW,ER,18.574,60,20,25,9,45,54,143,13.99,0.33,0.42,0.15,0.75,0.9,2.38,17.16,0.29,10,28,35.71,4,36,11.11,6,79,7.59,346,805,42.98
62,Gera Poddubnyi,C,ER,19.269,60,26,19,9,45,54,195,13.33,0.43,0.32,0.15,0.75,0.9,3.25,20.34,0.34,6,27,22.22,5,29,17.24,15,139,10.79,166,343,48.4
63,Blade Jenkins,LW,SAG,18.095,60,21,20,11,41,52,136,15.44,0.35,0.33,0.18,0.68,0.87,2.27,17.21,0.29,4,28,14.29,8,25,32.0,9,83,10.84,191,393,48.6
64,Matt Brassard,D,NIAG/OSH,20.104,58,11,19,22,30,52,210,5.24,0.19,0.33,0.38,0.52,0.9,3.62,11.02,0.19,1,3,33.33,1,3,33.33,9,204,4.41,0,2,0.0
65,Thomas Harley,D,MISS,17.074,61,10,21,21,31,52,138,7.25,0.16,0.34,0.34,0.51,0.85,2.26,7.5,0.12,1,7,14.29,0,8,0.0,9,123,7.32,0,0,0.0
66,Jacob Perreault,RW,SAR,16.419,57,28,11,13,39,52,144,19.44,0.49,0.19,0.23,0.68,0.91,2.53,12.22,0.21,6,18,33.33,4,17,23.53,18,109,16.51,8,16,50.0
67,Ethan Keppen,LW,FLNT,17.49,62,25,20,7,45,52,182,13.74,0.4,0.32,0.11,0.73,0.84,2.94,19.8,0.32,8,33,24.24,6,30,20.0,11,119,9.24,5,13,38.46
68,Mitch Eliot,D,SAR,20.605,61,16,17,18,33,51,192,8.33,0.26,0.28,0.3,0.54,0.84,3.15,10.31,0.17,1,6,16.67,2,6,33.33,13,180,7.22,1,3,33.33
69,Albert Michnac,LW,SAG,19.91,61,18,20,13,38,51,137,13.14,0.3,0.33,0.21,0.62,0.84,2.25,13.52,0.22,3,9,33.33,6,17,35.29,9,111,8.11,66,114,57.89
