,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Omaha Lancers,662,346,49.978,2160,1808,352,49.817,20267,19036,1231,9.721,0.906,100.319
1,Cedar Rapids RoughRiders,663,343,55.088,2222,1831,391,48.895,20238,20276,-38,10.722,0.916,102.309
2,Waterloo Black Hawks,660,335,53.356,2288,1990,298,54.402,22382,19113,3269,9.532,0.901,99.58
3,Green Bay Gamblers,662,330,53.614,2100,1872,228,50.906,20080,19552,528,9.622,0.914,100.941
4,Sioux Falls Stampede,660,329,50.094,2056,1920,136,49.514,20188,19942,246,9.292,0.909,100.179
5,Lincoln Stars,662,310,47.505,2075,2050,25,48.17,21307,20156,1151,9.206,0.906,99.845
6,Indiana Ice,540,272,55.601,1844,1702,142,53.096,16903,16587,316,10.666,0.903,100.972
7,Sioux City Musketeers,650,270,48.028,1984,1988,-4,49.722,20042,20207,-165,9.02,0.905,99.482
8,Tri-City Storm,664,248,51.492,1829,2176,-347,51.838,20283,20524,-241,9.029,0.91,99.97
9,Chicago Steel,663,235,48.595,1873,2332,-459,47.911,19390,22501,-3111,9.608,0.908,100.386
10,Des Moines Buccaneers,663,214,44.214,1900,2337,-437,47.975,20303,22183,-1880,8.57,0.9,98.541
11,Fargo Force,484,213,47.053,1405,1433,-28,49.293,14581,14899,-318,8.137,0.912,99.248
12,Dubuque Fighting Saints,364,211,56.136,1233,965,268,54.586,11679,9714,1965,9.899,0.905,100.43
13,Youngstown Phantoms,424,177,52.367,1328,1400,-72,49.042,12422,13104,-682,10.897,0.904,101.296
14,Team USA,424,162,46.554,1346,1480,-134,49.47,12919,12941,-22,10.01,0.886,98.561
15,Muskegon Lumberjacks,364,137,47.484,1070,1234,-164,48.226,11071,12250,-1179,9.353,0.903,99.628
16,Bloomington Thunder,120,58,50.775,342,333,9,53.435,3798,3311,487,8.645,0.902,98.935
17,Madison Capitols,120,42,45.33,334,403,-69,46.245,3626,4216,-590,9.02,0.907,99.735
18,Ohio Jr Blue Jackets,113,34,39.87,287,422,-135,42.93,3049,4016,-967,8.995,0.897,98.71
