,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Barrie Colts,68,46,54.07,226,192,34,52.65,2672,2403,269,8.25,0.922,100.42
1,Toronto St. Michael's Majors,68,45,56.51,230,177,53,52.61,2504,2256,248,8.93,0.924,101.29
2,Plymouth Whalers,68,44,60.0,249,166,83,52.23,2377,2174,203,10.36,0.924,102.73
3,Sault Ste. Marie Greyhounds,68,43,54.23,237,200,37,52.3,2584,2357,227,8.89,0.917,100.6
4,Guelph Storm,68,42,52.91,264,235,29,53.82,2667,2288,379,9.66,0.9,99.71
5,Erie Otters,68,41,53.02,246,218,28,50.73,2431,2361,70,9.64,0.909,100.56
6,Kitchener Rangers,68,40,57.49,257,190,67,53.92,2730,2333,397,9.21,0.921,101.31
7,Ottawa 67's,66,40,54.58,256,213,43,53.04,2687,2379,308,9.29,0.911,100.38
8,Windsor Spitfires,68,39,52.49,253,229,24,50.15,2528,2513,15,9.79,0.911,100.9
9,Belleville Bulls,66,39,55.53,271,217,54,53.54,2595,2252,343,10.24,0.906,100.88
10,Peterborough Petes,66,36,52.58,234,211,23,51.12,2419,2313,106,9.56,0.911,100.68
11,London Knights,68,31,45.75,210,249,-39,48.84,2264,2372,-108,9.03,0.898,98.8
12,Sarnia Sting,68,29,47.58,236,260,-24,48.4,2430,2591,-161,9.49,0.903,99.77
13,Owen Sound Attack,68,28,45.45,200,240,-40,48.06,2368,2559,-191,8.25,0.909,99.19
14,Brampton Battalion,68,28,45.45,215,258,-43,45.47,2240,2686,-446,9.44,0.904,99.86
15,Oshawa Generals,66,26,46.35,203,235,-32,47.48,2135,2362,-227,9.42,0.904,99.78
16,Sudbury Wolves,68,25,44.19,171,216,-45,46.26,2217,2575,-358,7.55,0.918,99.37
17,Kingston Frontenacs,68,22,42.0,197,272,-75,46.7,2516,2872,-356,7.65,0.907,98.33
18,North Bay Centennials,68,18,42.82,185,247,-62,48.51,2393,2540,-147,7.54,0.905,98.03
19,Mississauga IceDogs,68,14,39.33,212,327,-115,44.8,2461,3032,-571,8.5,0.895,97.98
