,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Blainville-Boisbriand Armada,136,88,58.455,495,350,145,53.85,4032,3454,578,11.73,0.901,101.8,53.8,204.4,174.99,29.41,10.185,0.899,100.03,31.101,0.463,3.989,0.07,115,90,25,56.5,443,343,100,56.19,25.37,0.738,92,88,4,50.505,486,486,0,49.78,18.025,0.818,288,172,116,62.515,3103,2625,478,54.175,8.81,0.937
1,Acadie-Bathurst Titan,136,81,56.99,553,421,132,54.695,4817,3999,818,11.13,0.897,100.81,54.68,280.605,233.465,47.14,11.695,0.884,100.015,-13.604,-0.17,26.461,0.408,167,128,39,56.78,647,604,43,51.75,25.6,0.789,126,88,38,59.07,636,474,162,57.285,19.66,0.819,260,205,55,56.13,3534,2921,613,54.8,6.94,0.932
2,Rouyn-Noranda Huskies,136,79,59.005,508,352,156,53.145,4359,3856,503,11.25,0.91,102.315,55.29,239.075,193.35,45.725,11.02,0.899,100.93,4.928,0.069,22.848,0.348,124,102,22,55.085,467,420,47,52.585,25.84,0.759,123,82,41,59.93,559,484,75,53.615,21.99,0.832,261,168,93,60.905,3333,2952,381,53.15,7.395,0.946
3,Charlottetown Islanders,136,76,53.36,505,433,72,53.18,4736,4165,571,10.18,0.9,100.19,53.34,254.665,222.605,32.06,10.805,0.892,100.07,-13.168,-0.189,15.606,0.226,135,135,0,50.0,588,538,50,52.1,22.665,0.75,124,78,46,60.355,694,510,184,57.58,17.235,0.85,246,220,26,51.905,3454,3117,337,52.515,6.63,0.934
4,Victoriaville Tigres,136,73,54.02,496,422,74,50.25,4117,4075,42,11.84,0.899,101.765,52.62,226.075,203.47,22.605,11.005,0.9,100.97,17.426,0.25,-0.531,-0.012,108,119,-11,47.755,425,455,-30,48.48,24.73,0.74,109,92,17,54.765,493,491,2,50.075,21.995,0.813,279,211,68,56.765,3199,3129,70,50.57,8.585,0.936
5,Cape Breton Screaming Eagles,136,68,50.835,502,485,17,51.665,4370,4089,281,11.06,0.886,99.615,52.01,263.535,242.985,20.555,12.12,0.881,100.175,-23.036,-0.318,10.484,0.152,135,130,5,50.86,616,553,63,52.695,21.53,0.773,105,124,-19,45.665,555,542,13,50.615,18.645,0.772,262,231,31,53.145,3199,2994,205,51.675,7.7,0.927
6,Drummondville Voltigeurs,136,68,51.945,487,451,36,53.74,4417,3809,608,10.75,0.886,99.275,52.455,229.24,208.745,20.49,10.405,0.89,99.435,8.261,0.103,-10.252,-0.153,127,130,-3,49.78,507,486,21,51.31,25.12,0.737,128,102,26,55.3,619,532,87,53.455,20.575,0.81,232,219,13,51.295,3291,2791,500,54.15,6.68,0.926
7,Halifax Mooseheads,136,66,50.845,495,478,17,50.17,4302,4269,33,11.14,0.891,100.235,51.525,262.245,246.215,16.025,12.22,0.885,100.65,-23.242,-0.324,14.215,0.2,156,140,16,52.7,626,541,85,53.645,24.035,0.746,103,106,-3,49.24,543,576,-33,48.515,19.09,0.816,236,232,4,50.075,3133,3152,-19,49.83,7.2,0.93
8,Rimouski Oceanic,136,66,52.275,457,425,32,52.905,4358,3884,474,10.23,0.893,99.555,51.09,213.94,205.095,8.84,9.86,0.894,99.265,8.062,0.112,-3.403,-0.026,99,114,-15,47.53,459,477,-18,49.405,20.87,0.768,117,91,26,56.725,529,465,64,53.185,22.185,0.805,241,220,21,52.52,3370,2942,428,53.405,6.91,0.928
9,Quebec Remparts,136,64,48.41,407,433,-26,49.17,4025,4181,-156,9.75,0.9,99.785,52.435,199.97,181.5,18.465,9.94,0.912,101.235,-3.968,-0.056,-25.001,-0.379,113,86,27,56.74,484,376,108,56.345,22.39,0.78,94,88,6,51.76,501,391,110,56.185,18.65,0.778,200,259,-59,43.555,3040,3414,-374,47.225,6.28,0.928
10,Gatineau Olympiques,136,60,48.87,442,464,-22,47.15,3779,4237,-458,11.12,0.894,100.49,46.245,205.7,237.97,-32.265,10.925,0.888,99.67,3.297,0.058,12.968,0.187,114,152,-38,42.28,398,557,-159,40.29,30.03,0.732,101,83,18,57.1,533,560,-27,48.775,18.645,0.858,227,229,-2,49.63,2848,3120,-272,47.715,7.205,0.93
11,Sherbrooke Phoenix,136,59,47.17,441,495,-54,51.685,4527,4244,283,9.525,0.888,98.245,49.545,225.995,230.18,-4.18,9.995,0.891,99.085,-10.994,-0.142,-7.822,-0.109,122,111,11,52.405,504,460,44,52.42,23.79,0.763,81,109,-28,42.965,599,654,-55,47.685,13.415,0.836,238,275,-37,46.38,3424,3130,294,52.35,6.78,0.916
12,Saint John Sea Dogs,136,59,49.48,465,478,-13,50.095,4245,4302,-57,10.595,0.894,99.935,47.335,227.98,258.975,-30.995,10.665,0.88,98.7,-0.98,-0.021,27.976,0.392,120,134,-14,46.09,490,635,-145,44.3,23.53,0.784,107,91,16,54.85,554,533,21,51.345,19.09,0.834,238,253,-15,48.955,3201,3134,67,50.915,7.13,0.924
13,Chicoutimi Sagueneens,136,56,47.775,397,435,-38,50.03,3962,3965,-3,9.7,0.896,99.255,50.75,207.74,201.645,6.095,10.525,0.898,100.28,-16.244,-0.248,-4.351,-0.062,112,108,4,50.91,441,365,76,54.695,25.24,0.712,92,114,-22,44.5,485,503,-18,49.135,18.77,0.774,193,213,-20,47.705,3036,3097,-61,49.565,5.98,0.937
14,Shawinigan Cataractes,136,54,48.175,437,479,-42,48.685,3972,4206,-234,10.595,0.891,99.645,48.24,209.305,225.365,-16.06,10.54,0.893,99.825,1.692,0.016,-7.136,-0.067,119,132,-13,47.055,447,491,-44,47.75,25.74,0.734,101,115,-14,47.465,515,529,-14,49.995,19.425,0.784,217,232,-15,49.165,3010,3186,-176,48.635,6.83,0.932
