,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Omaha Lancers,240,134,57.186,833,605,228,52.42,7529,6613,916,10.366,0.915,101.846
1,Cedar Rapids RoughRiders,240,133,58.054,827,596,231,52.026,7592,6823,769,10.774,0.914,102.175
2,Indiana Ice,240,133,56.039,865,713,152,50.979,7502,7367,135,11.219,0.91,102.182
3,Green Bay Gamblers,240,126,56.519,756,647,109,52.858,7307,6718,589,9.745,0.915,101.22
4,Sioux Falls Stampede,240,119,53.848,790,704,86,51.988,7324,7218,106,10.3,0.904,100.652
5,Waterloo Black Hawks,240,116,50.02,806,744,62,51.319,7829,7031,798,9.585,0.901,99.611
6,Lincoln Stars,240,112,49.124,710,711,-1,49.98,7689,7261,428,9.472,0.904,99.859
7,Fargo Force,180,93,53.05,582,518,64,52.868,5461,5007,454,9.795,0.902,99.947
8,Sioux City Musketeers,240,89,49.274,695,726,-31,50.592,7183,7169,14,9.438,0.902,99.636
9,Chicago Steel,240,87,38.616,684,861,-177,45.63,6846,7712,-866,8.541,0.886,97.131
10,Tri-City Storm,240,75,41.209,594,891,-297,46.831,6861,7884,-1023,8.18,0.897,97.835
11,Des Moines Buccaneers,240,65,45.151,664,916,-252,48.344,7161,8077,-916,9.189,0.896,98.735
12,Team USA,120,48,48.735,361,381,-20,45.79,3397,4026,-629,10.41,0.908,101.205
13,Youngstown Phantoms,120,37,42.72,331,446,-115,47.39,3450,3830,-380,9.45,0.886,98.04
14,Dubuque Fighting Saints,60,33,56.51,191,147,44,52.32,1803,1643,160,10.34,0.914,101.73
15,Ohio Jr Blue Jackets,60,23,45.78,179,212,-33,46.66,1748,1998,-250,9.83,0.897,99.53
16,Muskegon Lumberjacks,60,17,43.9,180,230,-50,45.96,1736,2041,-305,10.21,0.89,99.25
