,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Omaha Lancers,543,289,54.448,1819,1450,369,51.316,16752,15535,1217,10.222,0.91,101.177
1,Waterloo Black Hawks,543,286,54.606,1930,1625,305,54.456,18475,15893,2582,9.508,0.905,99.927
2,Cedar Rapids RoughRiders,543,275,53.329,1833,1518,315,48.621,16597,16282,315,10.707,0.91,101.636
3,Green Bay Gamblers,543,270,48.214,1741,1562,179,47.64,16332,16049,283,9.816,0.906,100.393
4,Sioux Falls Stampede,542,264,51.814,1715,1618,97,52.545,16827,16160,667,9.872,0.902,100.032
5,Indiana Ice,482,251,55.6,1669,1490,179,53.09,15126,14805,321,10.666,0.903,100.974
6,Lincoln Stars,544,245,43.078,1684,1718,-34,47.301,17739,16566,1173,8.871,0.896,98.424
7,Sioux City Musketeers,541,236,55.066,1695,1599,96,50.776,16837,16596,241,10.252,0.914,101.608
8,Tri-City Storm,544,196,49.169,1484,1866,-382,51.133,16542,17419,-877,8.88,0.906,99.424
9,Chicago Steel,544,195,47.034,1551,1934,-383,48.75,16023,18543,-2520,9.206,0.902,99.355
10,Fargo Force,424,185,43.606,1252,1283,-31,45.716,12749,13266,-517,8.275,0.91,99.236
11,Dubuque Fighting Saints,304,174,55.561,1026,807,219,55.303,9732,8047,1685,9.678,0.902,99.89
12,Des Moines Buccaneers,544,161,44.282,1535,1963,-428,46.886,16454,18470,-2016,8.743,0.904,99.15
13,Youngstown Phantoms,364,147,52.114,1137,1228,-91,50.653,10800,11306,-506,10.564,0.901,100.632
14,Team USA,364,142,49.177,1176,1263,-87,50.31,11122,11043,79,11.071,0.884,99.462
15,Muskegon Lumberjacks,304,114,48.488,885,1021,-136,48.183,9203,10248,-1045,9.096,0.91,100.056
16,Ohio Jr Blue Jackets,113,34,39.87,287,422,-135,42.93,3049,4016,-967,8.995,0.897,98.71
17,Bloomington Thunder,60,26,48.3,170,182,-12,52.84,1909,1704,205,8.52,0.896,98.16
18,Madison Capitols,60,20,44.68,168,208,-40,46.07,1878,2198,-320,8.7,0.909,99.61
