,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
1163,Taylor Carnevale,C,SHA,20.504,10,2,2,1,4,5,19,10.53,0.2,0.2,0.1,0.4,0.5,1.9,41,67,61.19
1164,Jonathan Rizzo,D,DRU,18.281,30,0,2,3,2,5,22,0.0,0.0,0.07,0.1,0.07,0.17,0.73,0,0,0.0
1165,Yan Dumontier,D,VDO/BAT/SHA/MON,18.472,85,2,2,1,4,5,41,3.332,0.012,0.012,0.005,0.028,0.032,0.475,0,0,0.0
1166,Skyler Spiller,D,VDO,19.423,40,4,1,0,5,5,38,10.53,0.1,0.03,0.0,0.12,0.12,0.95,1,2,50.0
1167,Charlie Connell,D,DRU,18.286,48,0,1,4,1,5,47,0.0,0.0,0.02,0.08,0.02,0.1,0.98,0,0,0.0
1168,Francis Robichaud,D,DRU,19.015,25,0,1,4,1,5,18,0.0,0.0,0.04,0.16,0.04,0.2,0.72,0,0,0.0
1169,Tyler Gaudet,C,GAT,18.448,38,3,2,0,5,5,14,21.43,0.08,0.05,0.0,0.13,0.13,0.37,100,176,56.82
1170,Raphael Sawyer,C,SHE,17.474,37,1,3,1,4,5,21,2.63,0.015,0.28,0.015,0.295,0.305,0.77,25,70,36.345
1171,Marcel Berube,C,CHA,17.755,31,1,3,1,4,5,17,5.88,0.03,0.1,0.03,0.13,0.16,0.55,11,29,37.93
1172,Louis Jr Tardif,D,BAC,18.094,128,1,0,4,1,5,44,1.85,0.005,0.0,0.03,0.005,0.04,0.34,0,0,0.0
1173,Tomas Dajcar,D,QUE,17.618,42,2,1,2,3,5,32,6.25,0.05,0.02,0.05,0.07,0.12,0.76,0,0,0.0
1174,Brock MacLeod,C,SHE/CHA,17.94,26,2,2,1,4,5,27,3.845,0.04,0.27,0.02,0.31,0.335,0.79,66,148,22.295
1175,Calvin Martin,C,VDO,17.999,28,2,2,1,4,5,31,6.45,0.07,0.07,0.04,0.14,0.18,1.11,152,368,41.3
1176,Liam Peyton,LW,CHA,17.462,38,1,3,1,4,5,39,2.56,0.03,0.08,0.03,0.11,0.13,1.03,3,9,33.33
1177,Ryan MacLellan,D,CAP,17.116,36,0,5,0,5,5,20,0.0,0.0,0.08,0.0,0.08,0.08,0.74,0,0,0.0
1178,Brendan O'Reilly,D,SNB,20.337,31,1,1,3,2,5,28,3.57,0.03,0.03,0.1,0.06,0.16,0.9,0,1,0.0
1179,Kyle Havlena,D,BLB/CAP,16.752,47,2,3,0,5,5,53,1.96,0.025,0.035,0.0,0.055,0.055,0.915,0,0,0.0
1180,Lee Dower,D,CAP,18.638,18,1,1,2,2,4,6,8.335,0.035,0.035,0.16,0.065,0.225,0.2,0,0,0.0
1181,Dominik Blain-Dupuis,LW,HAL/GAT,17.689,48,1,0,3,1,4,33,1.088,0.008,0.0,0.055,0.008,0.062,0.67,20,42,22.255
1182,Anthony D'Amours,D,RIM,16.984,56,1,1,2,2,4,23,2.175,0.01,0.01,0.02,0.02,0.04,0.215,0,0,0.0
1183,Danny Sylvestre,C,SHA,18.308,12,1,3,0,4,4,4,25.0,0.08,0.25,0.0,0.33,0.33,0.33,43,115,37.39
1184,Marc-Antoine Germain,LW,SHE/ROU,17.668,47,1,3,0,4,4,24,2.175,0.01,0.035,0.0,0.045,0.045,0.425,0,0,0.0
1185,Brennan Bailey,D,HAL,19.11,21,1,1,2,2,4,11,25.0,0.035,0.07,0.105,0.105,0.215,0.715,0,0,0.0
1186,Maxime Levesque,RW,CHI,18.883,34,1,2,1,3,4,25,4.0,0.03,0.06,0.03,0.09,0.12,0.74,27,62,43.55
1187,Robert MacKenzie,C,BLB,17.235,16,2,1,1,3,4,20,7.145,0.07,0.035,0.035,0.105,0.145,2.0,2,3,33.335
1188,Simon-Claude Blackburn,RW,CHI,18.47,21,1,2,1,3,4,22,2.778,0.02,0.055,0.035,0.078,0.115,0.865,1,4,8.332
1189,John-Michael Walsh,D,CAP,17.89,46,1,0,3,1,4,24,2.63,0.015,0.0,0.08,0.015,0.09,0.515,1,1,50.0
1190,Ilya Nikolaev,RW,BLB,17.651,30,3,1,0,4,4,32,9.38,0.1,0.03,0.0,0.13,0.13,1.07,2,8,25.0
