,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Jason Akeson,RW,KIT,19.536,188,68,107,77,175,252,0.362,0.615,0.422,0.975,1.398
1,Ryan Ellis,D,WSR,18.95,163,58,113,80,171,251,0.365,0.718,0.495,1.085,1.578
2,Taylor Beck,RW,GUE,18.594,190,103,87,56,190,246,0.582,0.465,0.32,1.047,1.362
3,Peter Holland,C,GUE,18.92,194,95,85,55,180,235,0.505,0.45,0.285,0.955,1.243
4,Tyler  Toffoli,RW,OTT,17.644,187,111,76,46,187,233,0.64,0.43,0.242,1.07,1.312
5,Michael Latta,C,OTT/GUE,18.561,191,89,79,51,168,219,0.478,0.435,0.272,0.912,1.19
6,Nathan Moon,C,KGN,19.946,192,91,79,45,170,215,0.48,0.42,0.225,0.9,1.125
7,Joey Hishon,C,OS,18.156,151,90,77,41,167,208,0.622,0.56,0.275,1.185,1.46
8,Justin Shugg,RW,WSR/MISS,17.978,201,97,63,38,160,198,0.518,0.355,0.195,0.872,1.068
9,Taylor Hall,LW,WSR,17.338,120,78,81,37,159,196,0.65,0.68,0.315,1.33,1.645
10,Andrew  Agozzino,LW,NIAG,18.95,201,107,53,36,160,196,0.555,0.252,0.195,0.808,1.005
11,Greg McKegg,C,ER,17.496,197,94,63,38,157,195,0.538,0.34,0.202,0.88,1.082
12,Ryan  Spooner,C,PBO/KGN,17.876,173,84,65,44,149,193,0.495,0.4,0.262,0.89,1.158
13,Ryan Martindale,C,OTT,18.136,179,76,72,42,148,190,0.445,0.41,0.245,0.857,1.108
14,Christian Thomas,RW,LDN/OSH,17.556,189,103,49,38,152,190,0.605,0.292,0.218,0.898,1.112
15,Kale Kerbashian,LW,LDN/MISS/SAR,19.691,191,81,75,31,156,187,0.452,0.435,0.167,0.89,1.052
16,Cody Lindsay,C,OTT,19.55,201,90,61,34,151,185,0.44,0.3,0.162,0.735,0.898
17,Garrett Wilson,LW,OS,18.752,184,93,61,29,154,183,0.522,0.35,0.185,0.872,1.052
18,Mike Cazzola,C,ER,18.774,176,66,69,45,135,180,0.37,0.458,0.278,0.828,1.102
