,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Saint John Sea Dogs,272,173,61.556,1130,755,375,55.014,9274,7877,1397,12.322,0.906,102.891
1,Quebec Remparts,272,167,58.859,1098,782,316,52.081,8566,7754,812,12.505,0.905,102.914
2,Drummondville Voltigeurs,272,165,54.295,1111,785,326,55.505,9688,6979,2709,10.816,0.886,99.361
3,Shawinigan Cataractes,272,158,57.921,1038,794,244,53.454,9043,8222,821,11.221,0.906,101.854
4,Moncton Wildcats,272,146,50.301,921,778,143,48.636,8493,8366,127,10.186,0.906,100.759
5,Victoriaville Tigres,272,139,55.228,1064,896,168,52.619,8833,8218,615,12.102,0.892,101.265
6,Gatineau Olympiques,272,129,49.134,904,899,5,47.752,7579,7760,-181,12.172,0.886,100.686
7,Rimouski Oceanic,272,125,50.756,975,954,21,49.881,8138,8129,9,11.801,0.886,100.356
8,Cape Breton Screaming Eagles,272,113,43.545,848,958,-110,48.774,8314,8150,164,9.997,0.876,97.523
9,PEI Rocket,272,103,44.319,856,986,-130,45.812,7969,9251,-1282,10.375,0.888,99.083
10,Acadie-Bathurst Titan,272,100,48.793,885,990,-105,47.796,7885,9203,-1318,11.35,0.891,100.445
11,Chicoutimi Sagueneens,272,100,48.265,821,939,-118,48.794,7564,8385,-821,10.568,0.891,99.637
12,Rouyn-Noranda Huskies,272,99,42.138,836,1072,-236,47.566,7688,8054,-366,10.724,0.866,97.3
13,Val-d'Or Foreurs,272,83,44.349,826,1097,-271,46.548,7597,8832,-1235,11.064,0.881,99.139
14,Halifax Mooseheads,272,79,45.728,788,1061,-273,49.799,8116,8414,-298,10.269,0.88,98.265
15,Lewiston MAINEiacs,204,76,47.485,658,799,-141,49.502,6235,6692,-457,10.74,0.886,99.27
16,Baie-Comeau Drakkar,272,71,42.606,748,1088,-340,48.181,7438,8586,-1148,9.791,0.879,97.645
17,Montreal Junior,136,62,50.79,423,410,13,49.45,4190,4286,-96,9.71,0.907,100.375
18,Montreal Juniors,68,41,58.9,258,180,78,56.53,2315,1780,535,10.8,0.899,100.74
19,Blainville-Boisbriand Armada,68,34,53.73,252,217,35,50.16,2058,2045,13,12.07,0.896,101.64
