,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Cedar Rapids RoughRiders,476,252,57.872,1629,1301,328,53.544,15284,14529,755,10.39,0.912,101.502
1,Waterloo Black Hawks,469,236,52.614,1559,1375,184,53.192,15552,13255,2297,10.759,0.89,99.854
2,Lincoln Stars,476,231,47.305,1546,1407,139,51.926,15405,14284,1121,8.501,0.9,98.44
3,Sioux Falls Stampede,471,209,52.942,1442,1490,-48,50.272,13763,15306,-1543,10.861,0.903,101.062
4,Tri-City Storm,474,203,43.744,1387,1494,-107,47.978,14291,13238,1053,8.926,0.891,97.986
5,Omaha Lancers,357,203,59.062,1269,964,305,53.237,11480,9982,1498,11.606,0.909,102.478
6,Green Bay Gamblers,476,192,55.236,1354,1485,-131,53.16,14239,14607,-368,10.262,0.906,100.851
7,Chicago Steel,477,176,46.206,1401,1650,-249,47.662,14291,15919,-1628,10.036,0.892,99.239
8,Sioux City Musketeers,392,166,48.336,1228,1197,31,50.059,12423,12575,-152,9.346,0.901,99.449
9,Indiana Ice,356,162,51.816,1147,1184,-37,49.802,10699,11021,-322,10.93,0.903,101.219
10,Des Moines Buccaneers,476,154,42.221,1463,1751,-288,46.049,15188,16485,-1297,9.887,0.884,98.288
11,River City Lancers,117,69,55.77,370,293,77,55.675,3875,3096,779,9.235,0.909,100.115
12,Fargo Force,120,65,52.94,414,370,44,50.895,3604,3478,126,11.09,0.897,100.835
13,Souix City Musketeers,57,34,57.49,215,159,56,49.61,1698,1725,-27,12.14,0.91,103.14
14,Ohio Jr Blue Jackets,113,34,39.87,287,422,-135,42.93,3049,4016,-967,8.995,0.897,98.71
15,Danville Wings,58,26,49.24,161,166,-5,50.33,1656,1634,22,9.56,0.901,99.62
16,Topeka Scarecrows,47,24,53.5,153,133,20,55.43,1496,1203,293,10.17,0.89,99.19
17,Team USA,60,23,47.92,196,213,-17,44.07,1660,2107,-447,11.43,0.901,101.58
18,Youngstown Phantoms,60,18,40.78,168,244,-76,44.42,1617,2023,-406,10.11,0.882,98.27
19,St. Louis Heartland Eagles,56,13,36.58,124,215,-91,39.31,1447,2234,-787,8.06,0.907,98.76
