,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Vitalii Abramov,RW,GAT/VIC,18.607,185,129,124,48,253,301,681,19.458,0.725,0.72,0.245,1.442,1.695,3.725,40.352,0.67,1293.388,21.5,2.025,1.995,0.695,4.02,4.715,10.4,1.87,19.16,18.105,59.775,49.602,27.295,73.105,371,149,33,123,29.945,30,135,24.002,66,423,15.72,606,1058,54.4
1,Alex Barre-Boulet,C,DRU/BLB,19.57,195,117,104,65,221,286,732,16.428,0.658,0.542,0.35,1.192,1.545,3.95,35.545,0.542,1431.358,22.025,1.762,1.478,0.955,3.24,4.195,10.745,1.498,19.45,18.322,56.91,50.872,24.672,66.875,355,184,20,99,22.315,29,127,21.86,68,506,13.93,1920,3683,52.595
2,Maxime Fortier,RW,HAL,19.001,197,95,89,55,184,239,750,12.538,0.493,0.475,0.245,0.972,1.218,3.955,35.882,0.56,1340.5,20.772,1.43,1.378,0.715,2.8,3.518,11.44,1.62,18.565,18.152,52.268,50.572,14.548,58.23,313,233,34,124,27.142,22,117,17.468,39,509,7.822,120,338,33.752
3,Antoine Morand,C,BAT,17.824,181,68,84,48,152,200,444,15.235,0.372,0.468,0.265,0.845,1.11,2.5,23.91,0.378,1146.99,18.522,1.21,1.522,0.865,2.735,3.6,8.06,1.212,19.14,17.78,59.13,48.898,15.395,64.618,293,162,22,90,25.068,21,84,24.988,25,270,8.892,1502,2899,52.76
4,Maxime Comtois,LW,VIC,17.936,180,92,54,50,146,196,513,19.228,0.595,0.332,0.298,0.93,1.228,3.015,25.028,0.435,1164.867,20.002,1.76,0.985,0.888,2.75,3.638,9.002,1.292,18.935,18.122,57.888,50.622,16.682,63.925,288,183,32,91,37.03,17,80,20.908,43,342,13.888,592,1214,47.42
5,Nicolas Roy,C,CHI/SHE,18.422,234,92,69,33,161,194,610,8.72,0.272,0.216,0.116,0.494,0.611,2.17,18.39,0.315,912.59,15.658,0.806,0.682,0.401,1.488,1.888,7.696,1.035,17.968,17.855,50.334,52.492,1.225,47.604,267,176,42,131,14.006,19,120,8.746,31,359,6.32,2356,4174,53.078
6,Jeffrey Truchon-Viel,LW,BAT,19.88,187,107,43,28,150,178,687,15.832,0.6,0.24,0.148,0.838,0.985,3.78,37.545,0.618,1149.51,18.778,1.918,0.762,0.47,2.678,3.142,12.072,1.968,19.18,18.1,56.99,50.828,13.848,63.575,270,175,46,171,26.472,24,122,21.3,37,394,9.365,32,69,47.92
7,Matthew Boucher,LW,QUE,18.996,176,88,48,39,136,175,724,11.99,0.495,0.285,0.222,0.778,1.0,4.132,30.387,0.5,1274.792,21.132,1.405,0.815,0.63,2.218,2.848,11.753,1.42,18.845,18.338,52.22,51.278,7.84,54.312,235,205,26,110,22.612,20,96,21.245,42,518,8.058,1340,2452,54.668
8,Alexandre Alain,C,GAT/BLB,19.787,181,88,43,43,131,174,645,14.262,0.535,0.265,0.252,0.798,1.05,3.642,28.738,0.465,1223.74,19.868,1.562,0.772,0.765,2.332,3.098,11.035,1.4,19.05,18.165,60.805,50.38,10.29,63.67,249,143,18,79,22.165,23,112,22.045,47,454,10.88,1381,2283,60.508
9,Kevin Klima,C,MON/CHI,19.53,181,70,59,43,129,172,384,17.922,0.428,0.342,0.248,0.77,1.018,2.325,18.492,0.292,1149.758,18.26,1.368,1.118,0.815,2.48,3.292,7.42,0.955,18.135,17.968,50.618,50.735,16.51,58.108,226,163,16,46,33.602,14,52,27.918,40,286,13.688,1294,2721,47.06
10,Otto Somppi,C,HAL,18.925,178,58,54,58,112,170,405,15.632,0.36,0.36,0.35,0.722,1.07,2.31,21.445,0.362,1113.762,18.803,1.138,1.12,1.1,2.26,3.355,7.37,1.145,18.848,18.4,52.105,52.06,13.308,57.02,251,198,19,83,24.82,9,65,12.77,30,257,13.14,1914,3442,55.475
11,Matthew Highmore,C,SNB,20.05,129,56,60,48,116,164,420,13.225,0.435,0.465,0.375,0.9,1.27,3.26,27.97,0.435,1305.91,20.245,1.29,1.38,1.105,2.665,3.77,9.65,1.285,19.215,18.375,60.685,50.425,16.15,68.075,243,115,21,80,25.74,16,64,25.79,19,276,6.83,1489,2821,52.79
