,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Ben Duffy,C,PEI,20.537,68,39,49,22,88,110,215,18.14,0.57,0.72,0.32,1.29,1.62,3.16,31.38,0.46,1463.47,21.52,1.6,2.01,0.9,3.61,4.51,8.81,1.29,20.13,18.42,55.33,50.18,20.05,63.13,137,80,12,30,40.0,11,47,23.4,16,138,11.59,200,390,51.28
1,Jonathan Drouin,C,HAL,17.471,49,41,35,29,76,105,173,23.7,0.84,0.71,0.59,1.55,2.14,3.53,23.62,0.48,1034.57,21.11,2.38,2.03,1.68,4.41,6.09,10.03,1.37,19.72,18.88,67.47,48.33,14.84,75.9,126,40,16,35,45.71,13,42,30.95,12,96,12.5,52,122,42.62
2,Josh Currie,C,PEI,19.88,68,49,32,23,81,104,267,18.35,0.72,0.47,0.34,1.19,1.53,3.93,35.49,0.52,1638.71,24.1,1.79,1.17,0.84,2.97,3.81,9.78,1.3,19.77,18.77,55.31,52.03,8.2,56.13,142,111,16,46,34.78,11,44,25.0,22,177,12.43,828,1690,48.99
3,Peter Trainor,LW,RIM,19.291,68,46,29,25,75,100,228,20.18,0.68,0.43,0.37,1.1,1.47,3.35,32.65,0.48,1380.11,20.3,2.0,1.26,1.09,3.26,4.35,9.91,1.42,19.76,18.33,56.68,49.94,26.85,70.11,129,55,9,25,36.0,17,46,36.96,20,157,12.74,2,5,40.0
4,Dmitrij Jaskin,RW,MON,19.483,51,46,33,20,79,99,276,16.67,0.9,0.65,0.39,1.55,1.94,5.41,31.86,0.62,1146.54,22.48,2.41,1.73,1.05,4.13,5.18,14.44,1.67,18.73,18.16,60.72,47.77,25.55,74.52,117,40,7,33,21.21,12,42,28.57,27,201,13.43,1,5,20.0
5,Sven Andrighetto,RW,ROU,19.488,53,31,39,28,70,98,220,14.09,0.58,0.74,0.53,1.32,1.85,4.15,27.35,0.52,1155.78,21.81,1.61,2.02,1.45,3.63,5.09,11.42,1.42,19.14,18.43,58.19,50.43,25.64,67.86,114,54,4,22,18.18,9,34,26.47,18,164,10.98,24,49,48.98
6,Alexandre Lavoie,C,RIM/CAP,19.828,63,36,34,26,70,96,181,19.89,0.57,0.54,0.41,1.11,1.52,2.87,28.65,0.45,1373.7,21.8,1.57,1.49,1.14,3.06,4.19,7.91,1.25,20.03,18.3,46.98,50.45,25.93,59.7,120,81,8,25,32.0,11,38,28.95,17,118,14.41,800,1448,55.25
7,Zach O'Brien,C,BAT,20.214,66,47,33,12,80,92,308,15.26,0.71,0.5,0.18,1.21,1.39,4.67,46.6,0.71,1344.95,20.38,2.1,1.47,0.54,3.57,4.1,13.74,2.08,19.26,18.68,51.16,52.46,22.84,60.34,108,71,16,56,28.57,14,72,19.44,17,180,9.44,308,593,51.94
8,Anton Zlobin,LW,VDO,19.562,61,29,39,23,68,91,175,16.57,0.48,0.64,0.38,1.11,1.49,2.87,25.88,0.42,1200.54,19.68,1.45,1.95,1.15,3.4,4.55,8.75,1.29,19.61,18.11,56.33,50.2,19.92,64.32,119,66,9,30,30.0,9,24,37.5,11,121,9.09,2,6,33.33
9,Anthony Mantha,RW,VDO,17.999,67,50,21,18,71,89,323,15.48,0.75,0.31,0.27,1.06,1.33,4.82,44.46,0.66,1412.79,21.09,2.12,0.89,0.76,3.02,3.78,13.72,1.89,19.67,18.26,55.95,51.18,16.64,62.12,123,75,14,48,29.17,14,67,20.9,22,208,10.58,44,108,40.74
10,Jean-Sebastien Dea,C,ROU,18.601,68,45,25,15,70,85,157,28.66,0.66,0.37,0.22,1.03,1.25,2.31,30.7,0.45,1288.28,18.95,2.1,1.16,0.7,3.26,3.96,7.31,1.43,19.15,18.54,56.66,50.94,20.23,64.95,126,68,11,28,39.29,11,30,36.67,23,99,23.23,837,1557,53.76
11,Phillip Danault,C,MON/VIC,19.557,56,23,29,33,52,85,229,10.04,0.41,0.52,0.59,0.93,1.52,4.09,21.26,0.38,1236.6,22.08,1.12,1.41,1.6,2.52,4.12,11.11,1.03,19.41,18.5,58.33,49.74,16.76,67.27,111,54,2,13,15.38,7,34,20.59,14,182,7.69,651,1207,53.94
12,Martin Frk,RW,HAL,18.946,56,35,33,16,68,84,180,19.44,0.62,0.59,0.29,1.21,1.5,3.21,22.42,0.4,1060.39,18.94,1.98,1.87,0.91,3.85,4.75,10.18,1.27,19.81,18.55,67.9,48.12,11.5,73.72,115,41,5,20,25.0,7,23,30.43,23,137,16.79,1,6,16.67
13,Philippe Maillet,C,VIC,19.855,65,25,36,22,61,83,272,9.19,0.38,0.55,0.34,0.94,1.28,4.18,29.5,0.45,1495.16,23.0,1.0,1.44,0.88,2.45,3.33,10.92,1.18,18.28,18.33,53.19,50.02,12.42,57.71,116,85,5,31,16.13,8,36,22.22,12,205,5.85,466,999,46.65
14,Allain Saulnier,RW,MON,20.041,66,27,45,11,72,83,185,14.59,0.41,0.68,0.17,1.09,1.26,2.8,19.91,0.3,1240.18,18.79,1.31,2.18,0.53,3.48,4.02,8.95,0.96,19.73,18.42,61.37,49.19,17.38,68.45,115,53,4,14,28.57,7,25,28.0,16,146,10.96,97,227,42.73
15,Cedric Paquette,C,BLB,19.091,63,27,30,26,57,83,261,10.34,0.43,0.48,0.41,0.9,1.32,4.14,34.02,0.54,1272.65,20.2,1.27,1.41,1.23,2.69,3.91,12.31,1.6,19.17,18.44,63.68,50.1,11.78,68.63,105,48,9,41,21.95,6,43,13.95,12,177,6.78,680,1299,52.35
16,Petr Straka,RW,BAC,20.252,55,41,25,16,66,82,256,16.02,0.75,0.45,0.29,1.2,1.49,4.65,37.38,0.68,1089.98,19.82,2.26,1.38,0.88,3.63,4.51,14.09,2.06,19.07,18.29,60.18,48.82,19.94,72.73,96,36,11,44,25.0,10,60,16.67,20,152,13.16,7,16,43.75
17,Alex Saulnier,C,MON,20.041,68,28,27,27,55,82,180,15.56,0.41,0.4,0.4,0.81,1.21,2.65,30.37,0.45,1306.22,19.21,1.29,1.24,1.24,2.53,3.77,8.27,1.4,19.66,18.52,62.07,49.59,12.5,65.38,119,63,12,41,29.27,5,26,19.23,11,113,9.73,1042,1818,57.32
18,Michael Beaudry,C,BAT/VDO,20.392,66,34,20,27,54,81,190,17.89,0.52,0.3,0.41,0.82,1.23,2.88,26.93,0.41,1197.69,18.15,1.7,1.0,1.35,2.71,4.06,9.52,1.35,19.54,18.34,52.95,49.74,23.33,64.07,107,60,13,32,40.62,11,35,31.43,10,123,8.13,415,828,50.12
19,Angelo Miceli,C,VIC,18.544,68,36,22,23,58,81,248,14.52,0.53,0.32,0.34,0.85,1.19,3.65,31.06,0.46,1276.17,18.77,1.69,1.03,1.08,2.73,3.81,11.66,1.46,18.59,17.89,53.29,48.88,25.83,68.06,98,46,11,32,34.38,6,35,17.14,19,181,10.5,471,996,47.29
20,Philippe Halley,LW,VIC,20.271,67,40,24,14,64,78,247,16.19,0.6,0.36,0.21,0.96,1.16,3.69,43.18,0.64,1405.64,20.98,1.71,1.02,0.6,2.73,3.33,10.54,1.84,19.32,18.6,54.22,50.98,13.93,58.89,106,74,10,39,25.64,8,47,17.02,22,161,13.66,12,33,36.36
21,Darcy Ashley,RW,HAL,19.571,66,26,29,23,55,78,178,14.61,0.39,0.44,0.35,0.83,1.18,2.7,21.08,0.32,1150.14,17.43,1.36,1.51,1.2,2.87,4.07,9.29,1.1,17.59,18.13,68.25,48.54,2.53,67.5,108,52,5,12,41.67,8,33,24.24,13,133,9.77,295,546,54.03
22,Christopher Clapperton,LW,BLB,18.563,67,34,25,18,59,77,188,18.09,0.51,0.37,0.27,0.88,1.15,2.81,29.18,0.44,1290.48,19.26,1.58,1.16,0.84,2.74,3.58,8.74,1.36,19.14,18.29,63.61,49.99,5.64,65.03,106,57,14,43,32.56,5,31,16.13,15,114,13.16,9,25,36.0
23,Brandon Hynes,RW,BAT/VDO,20.003,63,36,26,14,62,76,264,13.64,0.57,0.41,0.22,0.98,1.21,4.19,31.36,0.5,1242.97,19.73,1.74,1.26,0.68,2.99,3.67,12.74,1.51,19.59,18.57,53.4,51.73,18.59,61.35,100,63,6,23,26.09,11,47,23.4,19,194,9.79,4,8,50.0
24,Valentin Zykov,RW,BAC,17.339,67,40,18,17,58,75,248,16.13,0.6,0.27,0.25,0.87,1.12,3.7,37.23,0.56,1204.81,17.98,1.99,0.9,0.85,2.89,3.74,12.35,1.85,18.24,17.89,61.13,47.11,22.31,73.94,105,37,16,57,28.07,12,52,23.08,12,139,8.63,4,9,44.44
25,Jerome Verrier,RW,DRU,18.352,68,35,22,18,57,75,251,13.94,0.51,0.32,0.26,0.84,1.1,3.69,27.81,0.41,1422.86,20.92,1.48,0.93,0.76,2.4,3.16,10.58,1.17,18.58,18.23,54.3,50.09,24.77,64.61,115,63,9,35,25.71,6,33,18.18,20,183,10.93,492,964,51.04
26,Matthew Boudreau,C,HAL,19.521,67,36,23,16,59,75,203,17.73,0.54,0.34,0.24,0.88,1.12,3.03,24.35,0.36,1067.22,15.93,2.02,1.29,0.9,3.32,4.22,11.41,1.37,17.65,17.68,68.47,46.61,15.82,77.69,101,29,6,14,42.86,11,32,34.38,19,157,12.1,252,546,46.15
27,Nathan MacKinnon,C,HAL,17.041,44,32,32,11,64,75,201,15.92,0.73,0.73,0.25,1.45,1.7,4.57,28.99,0.66,965.47,21.94,1.99,1.99,0.68,3.98,4.66,12.49,1.8,19.58,18.88,68.33,48.32,10.42,71.62,106,42,11,36,30.56,9,40,22.5,12,125,9.6,537,970,55.36
28,Gabriel Desjardins,LW,ROU,19.85,66,32,23,19,55,74,195,16.41,0.48,0.35,0.29,0.83,1.12,2.95,25.97,0.39,1309.1,19.83,1.47,1.05,0.87,2.52,3.39,8.94,1.19,18.73,18.31,56.11,49.04,24.65,67.88,131,62,10,29,34.48,5,27,18.52,17,139,12.23,31,92,33.7
29,Mathieu Brisebois,D,ROU,20.414,64,19,27,27,46,73,130,14.62,0.3,0.42,0.42,0.72,1.14,2.03,13.31,0.21,1473.66,23.03,0.77,1.1,1.1,1.87,2.97,5.29,0.54,17.99,18.55,57.24,51.1,13.31,59.6,118,80,4,8,50.0,2,5,40.0,13,117,11.11,0,0,0.0
30,Yannick Veilleux,RW,MON,19.562,65,34,16,23,50,73,275,12.36,0.52,0.25,0.35,0.77,1.12,4.23,35.32,0.54,1255.0,19.31,1.63,0.76,1.1,2.39,3.49,13.15,1.69,19.38,18.1,61.68,48.58,15.31,67.92,108,51,10,33,30.3,6,34,17.65,18,208,8.65,7,17,41.18
31,Adam Erne,LW,QUE,17.408,68,28,27,17,55,72,220,12.73,0.41,0.4,0.25,0.81,1.06,3.24,28.09,0.41,1295.67,19.05,1.3,1.25,0.79,2.55,3.33,10.19,1.3,19.75,18.4,59.41,49.29,20.66,68.03,100,47,6,32,18.75,12,42,28.57,10,146,6.85,171,290,58.97
32,Stefan Fournier,RW,HAL,20.378,66,35,20,17,55,72,231,15.15,0.53,0.3,0.26,0.83,1.09,3.5,38.22,0.58,1187.45,17.99,1.77,1.01,0.86,2.78,3.64,11.67,1.93,18.65,18.15,65.4,47.59,3.33,68.32,110,51,14,47,29.79,12,54,22.22,9,130,6.92,84,171,49.12
33,Charles Hudon,LW,CHI,18.232,56,30,25,16,55,71,269,11.15,0.54,0.45,0.29,0.98,1.27,4.8,30.21,0.54,1187.06,21.2,1.52,1.26,0.81,2.78,3.59,13.6,1.53,19.88,18.49,50.83,51.91,31.06,66.91,91,45,7,32,21.88,6,30,20.0,17,207,8.21,22,53,41.51
