,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Quebec Remparts,544,285,49.856,1908,1690,218,49.971,16344,16533,-189,10.217,0.898,100.042
1,Rimouski Oceanic,544,272,53.796,1918,1697,221,53.192,16914,15910,1004,10.196,0.899,100.033
2,Halifax Mooseheads,544,268,50.948,1975,1840,135,50.404,17272,16138,1134,11.004,0.891,100.101
3,Saint John Sea Dogs,544,263,46.725,1899,1798,101,47.945,17168,17329,-161,10.271,0.894,99.62
4,Blainville-Boisbriand Armada,476,261,57.116,1667,1311,356,53.51,13961,12356,1605,11.65,0.899,101.504
5,Rouyn-Noranda Huskies,544,260,57.794,1954,1897,57,52.907,16525,15711,814,11.228,0.906,101.851
6,Victoriaville Tigres,544,260,54.008,2003,1834,169,49.674,16647,16932,-285,12.0,0.9,102.008
7,Gatineau Olympiques,544,258,50.619,1849,1805,44,48.816,15582,15631,-49,11.057,0.895,100.575
8,Drummondville Voltigeurs,544,256,51.897,1783,1786,-3,53.291,16594,15135,1459,10.796,0.887,99.478
9,Val-d'Or Foreurs,544,246,42.976,1948,2001,-53,42.659,16290,17414,-1124,10.884,0.893,100.09
10,Shawinigan Cataractes,544,240,46.675,1799,1814,-15,47.904,16379,17111,-732,10.478,0.889,99.37
11,Moncton Wildcats,544,240,43.812,1847,2008,-161,47.818,16653,17279,-626,10.571,0.876,98.142
12,Acadie-Bathurst Titan,544,225,54.258,1798,1921,-123,53.34,17085,17415,-330,10.642,0.897,100.306
13,Cape Breton Screaming Eagles,544,216,50.058,1827,2100,-273,51.75,16483,16670,-187,11.008,0.883,99.238
14,Chicoutimi Sagueneens,544,214,47.398,1614,1794,-180,49.014,15976,16828,-852,9.807,0.897,99.485
15,Baie-Comeau Drakkar,544,208,45.368,1669,1869,-200,45.864,16438,16880,-442,10.044,0.899,99.972
16,Charlottetown Islanders,340,157,50.582,1134,1153,-19,51.724,11285,11216,69,9.643,0.901,99.689
17,Sherbrooke Phoenix,408,142,47.243,1230,1546,-316,51.276,12150,13429,-1279,9.642,0.888,98.419
18,PEI Rocket,204,86,48.918,677,758,-81,48.335,6114,6742,-628,10.775,0.892,99.955
19,Montreal Juniors,68,41,58.9,258,180,78,56.53,2315,1780,535,10.8,0.899,100.74
20,Lewiston MAINEiacs,68,38,54.45,263,220,43,52.94,2204,1959,245,11.89,0.891,101.03
