,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Joseph Veleno,C,DRU,18.673,50,40,35,21,75,96,219,18.26,0.8,0.7,0.42,1.5,1.92,4.38,18.92,0.38,1035.26,20.71,2.32,2.03,1.22,4.35,5.56,12.69,1.1,18.43,17.92,66.35,48.39,12.18,75.48,117,38,11,35,31.43,10,30,33.33,19,154,12.34,443,846,52.36
1,Alexis Lafreniere,LW,RIM,16.928,54,34,39,22,73,95,178,19.1,0.63,0.72,0.41,1.35,1.76,3.3,23.85,0.44,1098.29,20.34,1.86,2.13,1.2,3.99,5.19,9.72,1.3,19.57,18.14,64.67,47.09,35.19,81.69,116,26,9,38,23.68,7,28,25.0,18,112,16.07,19,48,39.58
2,Ivan Chekhovich,LW,BAC,19.697,57,38,33,22,71,93,249,15.26,0.67,0.58,0.39,1.25,1.63,4.37,26.49,0.46,1131.17,19.85,2.02,1.75,1.17,3.77,4.93,13.21,1.41,18.45,17.52,64.38,46.42,18.04,74.34,113,39,13,44,29.55,11,49,22.45,14,156,8.97,1,4,25.0
3,Peter Abbandonato,C,ROU,20.477,59,26,40,27,66,93,202,12.87,0.44,0.68,0.46,1.12,1.58,3.42,21.64,0.37,1244.68,21.1,1.25,1.93,1.3,3.18,4.48,9.74,1.04,18.81,17.86,69.43,48.56,13.86,76.61,131,40,6,30,20.0,11,35,31.43,9,137,6.57,584,1107,52.76
4,Jeremy McKenna,RW,MON,19.406,60,41,29,17,70,87,332,12.35,0.68,0.48,0.28,1.17,1.45,5.53,36.65,0.61,1354.12,22.57,1.82,1.28,0.75,3.1,3.85,14.71,1.62,19.39,18.07,58.19,49.5,18.72,64.25,115,64,9,39,23.08,10,52,19.23,22,241,9.13,78,147,53.06
5,Jimmy Huntington,C,RIM,19.825,59,38,31,13,69,82,167,22.75,0.64,0.53,0.22,1.17,1.39,2.83,21.82,0.37,1222.7,20.72,1.86,1.52,0.64,3.39,4.02,8.2,1.07,19.57,18.13,65.95,49.14,15.47,70.37,114,48,14,42,33.33,9,36,25.0,15,89,16.85,766,1367,56.04
6,Nicolas Guay,RW,DRU,19.245,55,37,29,14,66,80,202,18.32,0.67,0.53,0.25,1.2,1.45,3.67,25.26,0.46,1032.78,18.78,2.15,1.68,0.81,3.83,4.65,11.74,1.47,18.06,17.79,66.94,48.62,5.08,70.39,107,45,12,39,30.77,12,51,23.53,13,112,11.61,320,589,54.33
7,Samuel Asselin,C,BAT/HAL,20.208,60,44,20,16,64,80,178,24.72,0.73,0.33,0.27,1.07,1.33,2.97,25.59,0.43,1221.31,20.36,2.16,0.98,0.79,3.14,3.93,8.74,1.26,18.05,17.63,67.15,48.41,12.59,73.21,123,45,27,69,39.13,9,32,28.12,8,77,10.39,601,1103,54.49
8,Jakob Pelletier,LW,MON,17.525,57,35,23,21,58,79,197,17.77,0.61,0.4,0.37,1.02,1.39,3.46,30.26,0.53,1153.6,20.24,1.82,1.2,1.09,3.02,4.11,10.25,1.57,20.04,18.13,57.45,49.28,21.98,67.09,106,52,18,65,27.69,4,40,10.0,13,92,14.13,27,62,43.55
9,Gregor MacLeod,C,DRU,20.274,55,33,29,17,62,79,190,17.37,0.6,0.53,0.31,1.13,1.44,3.45,17.65,0.32,1010.73,18.38,1.96,1.72,1.01,3.68,4.69,11.28,1.05,18.28,17.69,65.6,47.48,11.54,74.13,106,37,10,24,41.67,8,36,22.22,15,130,11.54,10,22,45.45
10,Nathan Legare,RW,BAC,17.676,59,40,19,17,59,76,237,16.88,0.68,0.32,0.29,1.0,1.29,4.02,19.35,0.33,1109.33,18.8,2.16,1.03,0.92,3.19,4.11,12.82,1.05,18.42,17.66,63.85,47.32,18.13,74.13,106,37,9,30,30.0,5,25,20.0,26,182,14.29,124,274,45.26
11,Gabriel Fortier,C,BAC,18.607,59,32,22,20,54,74,179,17.88,0.54,0.37,0.34,0.92,1.25,3.03,19.62,0.33,1148.92,19.47,1.67,1.15,1.04,2.82,3.86,9.35,1.02,18.52,17.7,64.85,47.39,15.39,71.52,118,47,17,46,36.96,4,21,19.05,11,112,9.82,426,831,51.26
