,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Quebec Remparts,568,327,57.065,2143,1858,285,54.439,19742,17726,2016,11.186,0.9,101.169
1,Shawinigan Cataractes,568,326,51.543,2182,1789,393,49.089,18354,16867,1487,11.406,0.895,100.852
2,Moncton Wildcats,568,320,59.658,2085,1834,251,56.276,19414,17648,1766,10.88,0.907,101.584
3,Halifax Mooseheads,568,319,51.079,2082,1824,258,51.656,19272,17736,1536,9.942,0.897,99.601
4,Rouyn-Noranda Huskies,568,290,52.519,2233,2119,114,51.484,19043,18484,559,11.571,0.89,100.536
5,Cape Breton Screaming Eagles,568,277,53.298,1924,1919,5,50.852,18143,19372,-1229,9.683,0.912,100.918
6,Acadie-Bathurst Titan,568,273,49.862,1947,2037,-90,52.034,18814,18137,677,9.933,0.892,99.171
7,Chicoutimi Sagueneens,568,267,57.372,1985,2158,-173,50.774,17926,19319,-1393,12.28,0.906,102.818
8,Baie-Comeau Drakkar,568,267,45.993,2006,2131,-125,47.182,17620,19330,-1710,10.596,0.89,99.538
9,Victoriaville Tigres,568,265,43.557,2067,2182,-115,45.908,18988,19772,-784,9.983,0.892,99.15
10,Val-d'Or Foreurs,568,260,46.068,2039,2153,-114,48.869,18177,18095,82,10.142,0.887,98.842
11,Rimouski Oceanic,568,256,42.659,2168,2410,-242,44.803,19355,20889,-1534,10.486,0.885,98.946
12,Drummondville Voltigeurs,568,247,49.646,1915,2168,-253,52.258,17560,18730,-1170,10.494,0.885,98.948
13,Hull Olympiques,358,187,52.019,1399,1313,86,50.11,11030,11371,-341,12.098,0.888,100.846
14,Sherbrooke Castors,358,167,49.688,1248,1299,-51,49.298,11471,11607,-136,10.514,0.897,100.128
15,Gatineau Olympiques,210,125,55.043,778,628,150,52.772,6978,6193,785,10.92,0.9,100.955
16,Montreal Rocket,288,120,47.41,979,1127,-148,49.466,9284,9476,-192,10.491,0.886,99.105
17,Lewiston MAINEiacs,210,107,52.935,686,623,63,54.635,7343,6168,1175,9.02,0.901,99.14
18,PEI Rocket,210,90,46.015,666,750,-84,46.332,6272,6810,-538,10.652,0.893,99.97
19,St. John's Fog Devils,70,26,43.0,215,285,-70,46.89,2223,2518,-295,9.51,0.889,98.4
20,Saint John Sea Dogs,70,13,35.03,172,319,-147,41.67,1975,2765,-790,8.57,0.887,97.26
