,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,London Knights,136,95,61.985,606,371,235,51.975,4502,4165,337,12.98,0.913,104.305,56.885,267.0,202.405,64.595,11.925,0.902,102.19,23.497,0.315,22.408,0.318,161,98,63,61.91,652,448,204,59.165,24.385,0.786,117,66,51,63.995,662,523,139,55.735,17.855,0.874,328,207,121,61.29,3188,3194,-6,49.98,9.66,0.938
1,Erie Otters,136,92,61.23,578,364,214,57.385,4739,3522,1217,11.82,0.899,101.715,58.89,258.375,179.845,78.535,10.935,0.898,100.69,21.124,0.266,2.842,0.042,131,98,33,57.23,566,424,142,57.205,22.865,0.772,121,69,52,63.76,652,505,147,56.35,18.335,0.864,326,197,129,62.055,3521,2593,928,57.605,8.835,0.926
2,Windsor Spitfires,136,79,55.905,483,381,102,52.155,4284,3929,355,10.94,0.908,101.7,54.75,230.58,190.555,40.03,10.81,0.903,101.06,2.918,0.038,10.053,0.154,127,67,60,65.555,542,384,158,58.59,22.92,0.83,89,81,8,52.655,567,491,76,53.6,15.605,0.841,267,233,34,53.3,3175,3054,121,50.97,8.085,0.928
3,Kitchener Rangers,136,77,52.98,497,444,53,50.245,4299,4257,42,11.4,0.901,101.47,53.085,241.0,213.525,27.475,11.24,0.9,101.185,2.502,0.049,2.524,0.038,129,113,16,53.38,597,498,99,54.645,21.55,0.776,106,92,14,53.805,647,521,126,55.12,16.76,0.832,262,239,23,52.465,3055,3238,-183,48.56,8.32,0.931
4,Owen Sound Attack,136,77,55.68,502,394,108,56.25,4982,3877,1105,9.7,0.901,99.78,54.915,247.795,202.82,44.975,9.96,0.896,99.485,-5.796,-0.078,10.32,0.165,87,109,-22,44.54,492,537,-45,48.015,17.175,0.799,118,106,12,52.305,632,608,24,51.15,18.27,0.826,297,179,118,61.93,3858,2732,1126,58.535,7.355,0.937
5,Sault Ste. Marie Greyhounds,136,75,54.345,524,439,85,51.37,4521,4277,244,11.145,0.901,101.215,53.77,243.815,208.26,35.555,10.8,0.903,101.03,7.186,0.103,-3.242,-0.046,132,107,25,55.205,562,526,36,51.775,22.465,0.804,124,86,38,59.315,552,505,47,52.15,22.475,0.83,268,246,22,52.1,3407,3246,161,51.185,7.465,0.928
6,Kingston Frontenacs,136,72,52.18,424,383,41,53.18,4604,4041,563,8.795,0.909,99.665,54.555,237.305,196.275,41.03,10.31,0.903,100.565,-34.307,-0.454,12.774,0.184,121,87,34,58.405,582,451,131,56.03,20.665,0.805,89,100,-11,47.915,609,647,-38,48.605,14.26,0.85,214,196,18,51.98,3413,2943,470,53.64,5.85,0.938
7,Peterborough Petes,136,69,50.125,473,472,1,48.19,4462,4798,-336,10.215,0.904,100.605,48.32,224.2,239.72,-15.515,10.09,0.9,100.07,2.798,0.038,10.218,0.122,104,119,-15,46.44,511,616,-105,45.35,20.19,0.808,109,108,1,49.99,591,602,-11,49.77,18.355,0.82,260,245,15,51.705,3360,3580,-220,48.415,7.27,0.934
8,Sarnia Sting,136,65,52.32,503,466,37,50.13,4331,4345,-14,11.5,0.896,101.155,51.21,231.935,223.08,8.855,10.735,0.897,100.44,16.565,0.23,-2.422,-0.016,127,112,15,52.78,533,496,37,51.865,23.765,0.774,91,111,-20,45.135,601,613,-12,49.585,14.88,0.819,285,243,42,54.79,3197,3236,-39,49.96,8.795,0.93
9,Mississauga Steelheads,136,63,50.705,451,438,13,49.51,4257,4323,-66,10.295,0.902,100.46,48.825,215.125,224.125,-9.0,10.125,0.896,99.725,2.374,0.051,12.126,0.169,120,130,-10,48.06,491,592,-101,45.35,23.67,0.785,110,97,13,52.79,609,578,31,51.215,18.33,0.834,221,211,10,51.06,3157,3153,4,49.89,6.67,0.936
