,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Calgary Hitmen,144,104,63.825,592,333,259,56.2,4782,3728,1054,12.12,0.912,103.36
1,Vancouver Giants,144,94,62.075,582,356,226,59.21,5273,3641,1632,10.74,0.904,101.16
2,Brandon Wheat Kings,144,91,59.22,609,419,190,54.21,4830,4078,752,12.295,0.898,102.125
3,Tri-City Americans,144,89,58.67,528,372,156,54.565,4978,4147,831,10.39,0.913,101.68
4,Saskatoon Blades,144,87,56.165,533,416,117,52.695,4704,4223,481,11.095,0.904,101.465
5,Spokane Chiefs,144,85,60.09,478,319,159,52.315,4770,4348,422,9.64,0.928,102.465
6,Kelowna Rockets,144,73,54.885,482,396,86,55.065,4706,3860,846,10.05,0.9,100.01
7,Swift Current Broncos,144,71,51.775,481,447,34,49.455,4402,4497,-95,10.54,0.903,100.835
8,Kootenay Ice,144,67,51.62,461,431,30,52.705,4605,4133,472,9.8,0.899,99.65
9,Medicine Hat Tigers,144,67,52.475,515,466,49,50.04,4334,4322,12,11.575,0.895,101.06
10,Everett Silvertips,144,62,49.83,420,430,-10,47.575,4323,4766,-443,9.47,0.914,100.815
11,Kamloops Blazers,144,57,46.045,471,552,-81,44.255,4070,5128,-1058,11.365,0.894,100.8
12,Prince Albert Raiders,144,55,46.885,455,516,-61,48.02,4647,5010,-363,9.725,0.899,99.625
13,Seattle Thunderbirds,144,52,44.825,392,480,-88,47.82,4296,4707,-411,8.825,0.9,98.84
14,Red Deer Rebels,144,52,44.13,362,458,-96,49.965,4299,4303,-4,8.26,0.897,97.88
15,Regina Pats,144,50,46.65,467,534,-67,48.98,4479,4662,-183,10.29,0.89,99.24
16,Lethbridge Hurricanes,144,50,44.52,400,498,-98,46.235,3924,4572,-648,9.91,0.894,99.26
17,Moose Jaw Warriors,144,49,43.055,438,590,-152,46.785,4204,4768,-564,10.235,0.879,98.08
18,Edmonton Oil Kings,144,43,40.66,358,523,-165,46.895,4076,4627,-551,8.61,0.892,97.74
19,Chilliwack Bruins,144,43,41.875,361,496,-135,45.94,3983,4688,-705,8.84,0.896,98.42
20,Portland Winterhawks,72,40,52.19,262,240,22,51.13,2567,2454,113,9.71,0.903,100.01
21,Prince George Cougars,144,32,36.475,355,619,-264,44.26,4069,5124,-1055,8.59,0.882,96.79
22,Portland Winter Hawks,72,18,37.96,175,286,-111,44.12,2007,2542,-535,8.49,0.891,97.63
