,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
0,Yanni Gourde,LW,VIC,19.252,136,63,72,57,135,192,368,17.09,0.46,0.53,0.42,0.99,1.41,2.71,307,735,39.27
1,Jonathan Huberdeau,LW,SNB,17.782,104,73,63,41,136,177,325,22.84,0.725,0.645,0.385,1.37,1.76,3.165,159,364,46.9
2,Zack Phillips,C,SNB,18.381,127,68,68,39,136,175,453,14.985,0.535,0.535,0.305,1.07,1.375,3.575,950,2005,47.295
3,Alex Saulnier,C,MON,18.54,123,56,57,55,113,168,282,19.835,0.455,0.465,0.445,0.925,1.37,2.305,1510,2833,53.325
4,Zach O'Brien,C,BAT,18.712,121,79,58,29,137,166,434,17.95,0.645,0.475,0.24,1.125,1.36,3.565,509,979,52.495
5,Sebastien Trudeau,RW,BAT,19.646,135,64,58,42,122,164,397,16.23,0.475,0.43,0.31,0.9,1.215,2.94,18,62,29.94
6,Ben Duffy,C,PEI,19.036,136,71,57,35,128,163,389,18.28,0.52,0.42,0.255,0.945,1.2,2.86,950,1923,49.09
7,Alex Belzile,RW,RIM,19.542,127,49,58,52,107,159,308,16.565,0.385,0.46,0.41,0.845,1.255,2.43,673,1260,53.335
8,Guillaume Asselin,RW,CHI,18.515,134,68,51,38,119,157,304,22.42,0.51,0.38,0.285,0.885,1.17,2.27,10,25,38.335
9,Brandon Hynes,RW,VIC,18.502,127,75,45,33,120,153,600,12.515,0.595,0.355,0.26,0.95,1.215,4.73,5,9,71.43
10,Allain Saulnier,RW,MON,18.54,134,61,50,39,111,150,399,15.53,0.455,0.375,0.29,0.825,1.12,2.985,317,686,46.42
11,Frederick Roy,RW,QUE,20.051,129,53,56,41,109,150,262,20.23,0.41,0.435,0.315,0.845,1.165,2.035,355,739,47.345
12,Marek Hrivik,LW,MON,19.55,113,67,48,34,115,149,488,13.69,0.59,0.43,0.295,1.02,1.32,4.325,96,211,49.37
13,Philippe Maillet,C,VIC,18.353,129,64,53,28,117,145,415,15.57,0.495,0.415,0.22,0.91,1.13,3.24,1137,2389,47.67
14,Jean-Gabriel Pageau,C,GAT/CHI,18.342,113,64,49,31,113,144,383,16.72,0.59,0.425,0.285,1.015,1.295,3.525,1425,2562,55.58
15,Benjamin Casavant,LW,SHA/VDO,20.15,125,65,44,33,109,142,357,18.395,0.53,0.35,0.26,0.88,1.14,2.86,39,90,40.83
16,Phillip Danault,C,VIC,18.055,126,41,50,47,91,138,325,12.67,0.325,0.4,0.375,0.725,1.1,2.58,1134,2307,47.825
17,Jonathan Brunelle,C,DRU/CAP,19.446,136,46,47,43,93,136,485,9.405,0.34,0.345,0.315,0.685,1.0,3.57,682,1394,40.705
18,Etienne Brodeur,LW,LEW/CHI,20.019,131,75,32,25,107,132,436,16.675,0.565,0.24,0.195,0.805,1.0,3.32,35,77,43.825
19,Jerome Gauthier-Leduc,D,RIM,18.627,123,46,58,26,104,130,429,10.735,0.375,0.47,0.21,0.845,1.055,3.485,1,1,50.0
20,Philippe Halley,LW,GAT/VIC,18.77,133,70,39,18,109,127,319,21.665,0.525,0.295,0.135,0.82,0.96,2.4,325,706,45.795
