,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Sheldon Keefe,RW,BAR,18.993,66,48,50,23,98,121,0.73,0.76,0.35,1.48,1.83
1,Norm Milley,RW,SBY,19.584,66,50,40,18,90,108,0.76,0.61,0.27,1.36,1.64
2,Denis Shvidki,RW,BAR,18.815,61,41,40,25,81,106,0.67,0.66,0.41,1.33,1.74
3,Jason Jaspers,C,SBY,18.437,66,46,32,28,78,106,0.7,0.48,0.42,1.18,1.61
4,Michael Zigomanis,C,KGN,18.659,59,40,38,16,78,94,0.68,0.64,0.27,1.32,1.59
5,Jonathan Cheechoo,RW,BELV,19.168,66,45,32,14,77,91,0.68,0.48,0.21,1.17,1.38
6,Raffi Torres,LW,BRA,17.936,68,43,28,20,71,91,0.63,0.41,0.29,1.04,1.34
7,Mike Jefferson,RW,BAR,18.9,58,34,28,25,62,87,0.59,0.48,0.43,1.07,1.5
8,Taylor Pyatt,LW,SBY,18.073,66,39,27,21,66,87,0.59,0.41,0.32,1.0,1.32
9,Derek Roy,C,KIT,16.367,66,34,31,22,65,87,0.52,0.47,0.33,0.98,1.32
10,Jonathan Schill,LW,KGN,20.217,65,39,23,25,62,87,0.6,0.35,0.38,0.95,1.34
11,Brent Gauvreau,RW,OSH,19.212,59,34,28,25,62,87,0.58,0.47,0.42,1.05,1.47
12,Michael Henrich,RW,BAR,19.532,66,38,27,21,65,86,0.58,0.41,0.32,0.98,1.3
13,Sean Avery,C,KGN,19.431,55,28,31,25,59,84,0.51,0.56,0.45,1.07,1.53
14,Justin Williams,RW,PLY,17.947,68,37,26,20,63,83,0.54,0.38,0.29,0.93,1.22
15,Brad Boyes,C,ER,17.413,68,36,34,12,70,82,0.53,0.5,0.18,1.03,1.21
16,Dan Tessier,C,OTT,20.699,53,37,28,16,65,81,0.7,0.53,0.3,1.23,1.53
17,Vladimir Repnev,RW,OSH,19.524,62,30,33,15,63,78,0.48,0.53,0.24,1.02,1.26
18,Damian Surma,LW,PLY,18.645,66,34,30,14,64,78,0.52,0.45,0.21,0.97,1.18
19,Jeff Heerema,RW,SAR,19.661,67,36,26,15,62,77,0.54,0.39,0.22,0.93,1.15
20,Ryan Jardine,LW,SSM,19.502,65,43,27,7,70,77,0.66,0.42,0.11,1.08,1.18
21,Kevin Mitchell,D,GUE,19.278,68,19,34,24,53,77,0.28,0.5,0.35,0.78,1.13
22,Justin Papineau,C,BELV,19.666,60,40,21,15,61,76,0.67,0.35,0.25,1.02,1.27
23,Wes Goldie,RW,OS,20.447,68,40,22,13,62,75,0.59,0.32,0.19,0.91,1.1
24,Ryan Held,C,KIT,19.625,64,31,28,15,59,74,0.48,0.44,0.23,0.92,1.16
25,Allan Rourke,D,KIT,19.527,67,31,27,16,58,74,0.46,0.4,0.24,0.87,1.1
26,Jason Williams,C,PBO,19.094,66,36,19,18,55,73,0.55,0.29,0.27,0.83,1.11
27,Joe Gerbe,C,GUE,20.428,68,28,23,22,51,73,0.41,0.34,0.32,0.75,1.07
28,Josef Vasicek,C,SSM,19.007,54,26,27,19,53,72,0.48,0.5,0.35,0.98,1.33
29,Branko Radivojevic,RW,BELV,18.807,59,23,31,18,54,72,0.39,0.53,0.31,0.92,1.22
30,Eric Beaudoin,LW,GUE,19.368,68,38,21,13,59,72,0.56,0.31,0.19,0.87,1.06
31,Shane Nash,C,ER,20.641,63,29,27,16,56,72,0.46,0.43,0.25,0.89,1.14
32,Chris Kelly,LW,LDN,18.842,63,29,28,15,57,72,0.46,0.44,0.24,0.9,1.14
33,Kent McDonell,RW,GUE,20.543,56,35,19,16,54,70,0.62,0.34,0.29,0.96,1.25
34,Cory Pecker,RW,SSM,18.489,65,33,23,13,56,69,0.51,0.35,0.2,0.86,1.06
35,Brett Gibson,C,LDN,20.08,66,31,22,16,53,69,0.47,0.33,0.24,0.8,1.05
36,Chad Wiseman,RW,MISS,18.475,68,23,16,29,39,68,0.34,0.24,0.43,0.57,1.0
37,Kenny Corupe,C,OS/TOR,19.658,64,31,27,10,58,68,0.48,0.42,0.16,0.91,1.06
38,Mark Bell,C,OTT,19.354,46,33,23,11,56,67,0.72,0.5,0.24,1.22,1.46
39,Lindsay Plunkett,LW,GUE,19.343,66,32,24,10,56,66,0.48,0.36,0.15,0.85,1.0
40,Stephen Weiss,C,PLY,16.452,64,24,31,11,55,66,0.38,0.48,0.17,0.86,1.03
41,Joe Talbot,C,OTT,19.395,66,36,18,12,54,66,0.55,0.27,0.18,0.82,1.0
42,Shaun Fisher,D,PLY,20.288,59,17,26,23,43,66,0.29,0.44,0.39,0.73,1.12
43,Brent Kelly,C,GUE,17.788,68,23,22,20,45,65,0.34,0.32,0.29,0.66,0.96
44,Sergei Kuznetzov,C,PBO,19.628,68,33,14,18,47,65,0.49,0.21,0.26,0.69,0.96
45,Chris Stanley,C,BELV,20.244,68,25,27,12,52,64,0.37,0.4,0.18,0.76,0.94
46,Tomas Kurka,LW,PLY,17.753,64,36,17,11,53,64,0.56,0.27,0.17,0.83,1.0
47,Jonas Andersson,RW,NB,18.555,65,30,26,8,56,64,0.46,0.4,0.12,0.86,0.98
48,Jeff Bateman,C,BRA,18.046,64,23,28,13,51,64,0.36,0.44,0.2,0.8,1.0
49,Randy Rowe,LW,BELV,19.264,67,25,22,17,47,64,0.37,0.33,0.25,0.7,0.96
50,Brad Ralph,C,OSH,18.911,56,28,18,17,46,63,0.5,0.32,0.3,0.82,1.12
51,Keith Delaney,C,TOR,20.359,65,24,26,12,50,62,0.37,0.4,0.18,0.77,0.95
52,Preston Mizzi,C,PBO,18.73,67,27,24,11,51,62,0.4,0.36,0.16,0.76,0.93
53,Steve Ott,C,WSR,17.074,66,23,26,13,49,62,0.35,0.39,0.2,0.74,0.94
54,Jason Spezza,C,MISS,16.258,52,24,20,17,44,61,0.46,0.38,0.33,0.85,1.17
55,Bryan Kazarian,C,OS,18.21,68,22,25,13,47,60,0.32,0.37,0.19,0.69,0.88
56,Jason Polera,RW,KGN/WSR,20.488,65,34,15,11,49,60,0.52,0.23,0.17,0.75,0.92
57,Jonathan Zion,D,OTT,18.319,64,7,34,18,41,59,0.11,0.53,0.28,0.64,0.92
58,Kevin Baker,RW,BELV,20.252,60,28,17,14,45,59,0.47,0.28,0.23,0.75,0.98
59,Brad Morgan,D,SBY,20.4,63,9,29,21,38,59,0.14,0.46,0.33,0.6,0.94
60,Kevin Dallman,D,GUE,18.549,67,13,24,22,37,59,0.19,0.36,0.33,0.55,0.88
61,Brian Passmore,C,OSH,19.384,58,22,18,18,40,58,0.38,0.31,0.31,0.69,1.0
62,Jason Baird,LW,ER,18.996,53,26,19,12,45,57,0.49,0.36,0.23,0.85,1.08
63,Scott Cameron,LW,BAR/NB,18.429,68,26,18,13,44,57,0.38,0.26,0.19,0.65,0.84
64,Chad Spurr,C,SSM,20.343,61,18,22,17,40,57,0.3,0.36,0.28,0.66,0.93
65,Steve Montador,D,PBO,19.735,64,14,21,21,35,56,0.22,0.33,0.33,0.55,0.88
66,Peter Campbell,C,ER/BELV,20.022,64,21,21,14,42,56,0.33,0.33,0.22,0.66,0.88
67,Andrew Ianiero,LW,KGN,18.678,67,23,23,10,46,56,0.34,0.34,0.15,0.69,0.84
68,John Kozoriz,C,OSH,18.5,64,23,16,17,39,56,0.36,0.25,0.27,0.61,0.88
69,Maxim Rybin,C,SAR,18.251,66,29,19,8,48,56,0.44,0.29,0.12,0.73,0.85
70,Shawn Mather,C,WSR,19.513,64,24,18,13,42,55,0.38,0.28,0.2,0.66,0.86
71,Ryan Walsh,RW,TOR,19.688,66,21,19,14,40,54,0.32,0.29,0.21,0.61,0.82
72,Joel Scherban,C,LDN,19.398,68,16,26,12,42,54,0.24,0.38,0.18,0.62,0.79
73,Kyle McAllister,C,OS/TOR,18.44,51,24,17,13,41,54,0.47,0.33,0.25,0.8,1.06
74,Michael Rupp,LW,ER,19.672,58,32,10,11,42,53,0.55,0.17,0.19,0.72,0.91
75,Nikita Alexeev,RW,ER,17.717,64,24,17,12,41,53,0.38,0.27,0.19,0.64,0.83
76,Derek MacKenzie,C,SBY,18.262,66,22,20,11,42,53,0.33,0.3,0.17,0.64,0.8
77,Derek Campbell,LW,OS,19.42,59,18,19,16,37,53,0.31,0.32,0.27,0.63,0.9
78,Konrad McKay,C,NB,19.751,57,20,18,14,38,52,0.35,0.32,0.25,0.67,0.91
79,Mike Cirillo,C,NB,20.028,62,24,17,10,41,51,0.39,0.27,0.16,0.66,0.82
80,Darryl Bootland,RW,TOR,17.868,63,23,14,14,37,51,0.37,0.22,0.22,0.59,0.81
81,Kyle Wellwood,C,BELV,16.334,65,14,19,18,33,51,0.22,0.29,0.28,0.51,0.78
82,John Osborne,LW,SSM,18.514,49,19,19,13,38,51,0.39,0.39,0.27,0.78,1.04
83,Charlie Stephens,C,GUE,18.445,56,16,19,15,35,50,0.29,0.34,0.27,0.62,0.89
84,Derrell Upton,RW,OSH/NB,20.192,60,18,22,10,40,50,0.3,0.37,0.17,0.67,0.83
85,Lukas Havel,RW,BRA,17.846,55,21,19,10,40,50,0.38,0.35,0.18,0.73,0.91
86,Krys Barch,LW,LDN,19.472,56,23,14,12,37,49,0.41,0.25,0.21,0.66,0.88
87,Michael Jacobsen,D,BELV,18.144,68,9,14,26,23,49,0.13,0.21,0.38,0.34,0.72
88,Ilya Demidov,D,OSH,20.422,62,11,20,17,31,48,0.18,0.32,0.27,0.5,0.77
89,Matthew Dzieduszycki,C,BAR,19.436,46,22,11,15,33,48,0.48,0.24,0.33,0.72,1.04
90,Travis Lisabeth,C,KIT/KGN,19.456,67,22,11,14,33,47,0.33,0.16,0.21,0.49,0.7
91,Alexander Buturlin,RW,SAR,18.032,57,20,15,12,35,47,0.35,0.26,0.21,0.61,0.82
92,Eric Himelfarb,C,SAR,16.704,62,14,22,11,36,47,0.23,0.35,0.18,0.58,0.76
93,Lance Galbraith,LW,OTT,19.565,60,23,14,10,37,47,0.38,0.23,0.17,0.62,0.78
94,Lou Dickenson,C,MISS,17.085,66,21,17,8,38,46,0.32,0.26,0.12,0.58,0.7
95,Mark Chaplin,C,BELV,20.282,51,18,19,9,37,46,0.35,0.37,0.18,0.73,0.9
96,Trevor Daley,D,SSM,15.935,54,16,17,13,33,46,0.3,0.31,0.24,0.61,0.85
97,Rostislav Klesla,D,BRA,17.487,67,16,18,11,34,45,0.24,0.27,0.16,0.51,0.67
98,Miguel Delisle,RW,OTT,17.443,52,18,19,8,37,45,0.35,0.37,0.15,0.71,0.87
99,Robin Boucher,C,WSR,18.566,68,16,14,15,30,45,0.24,0.21,0.22,0.44,0.66
100,Mike Wehrstedt,RW,KIT,17.301,66,14,14,16,28,44,0.21,0.21,0.24,0.42,0.67
101,Tomas Skvaridlo,LW,KGN,18.24,66,19,15,10,34,44,0.29,0.23,0.15,0.52,0.67
102,Joel Ward,RW,OS,18.785,63,23,15,5,38,43,0.37,0.24,0.08,0.6,0.68
103,John Erskine,D,LDN,19.22,58,12,13,18,25,43,0.21,0.22,0.31,0.43,0.74
104,Chris Minard,C,OS/TOR,17.824,64,16,17,10,33,43,0.25,0.27,0.16,0.52,0.67
105,Alexei Semenov,D,SBY,18.432,63,9,12,21,21,42,0.14,0.19,0.33,0.33,0.67
106,Randy Fitzgerald,LW,PLY,20.028,50,18,15,9,33,42,0.36,0.3,0.18,0.66,0.84
107,Eric Gooldy,LW,PLY,20.595,53,14,14,14,28,42,0.26,0.26,0.26,0.53,0.79
108,Jamie Chamberlain,RW,PBO,18.119,65,12,19,10,31,41,0.18,0.29,0.15,0.48,0.63
109,Cleon Smith,C,SSM,19.302,62,14,14,13,28,41,0.23,0.23,0.21,0.45,0.66
110,Mike Christian,LW,BAR,19.839,61,19,16,6,35,41,0.31,0.26,0.1,0.57,0.67
111,Vince Grant,C,OTT/WSR,20.633,48,15,15,11,30,41,0.31,0.31,0.23,0.62,0.85
112,Greg Jacina,C,OS,17.317,66,12,17,12,29,41,0.18,0.26,0.18,0.44,0.62
113,Mike Van Ryn,D,SAR,20.34,61,6,19,16,25,41,0.1,0.31,0.26,0.41,0.67
114,Samu Isosalo,RW,NB,17.942,46,16,18,7,34,41,0.35,0.39,0.15,0.74,0.89
115,Daniel Sisca,C,OS,16.249,68,22,10,8,32,40,0.32,0.15,0.12,0.47,0.59
116,Mike Renzi,C,BELV,18.161,60,19,14,7,33,40,0.32,0.23,0.12,0.55,0.67
117,Pavel Shtefan,LW,WSR,19.472,54,17,15,8,32,40,0.31,0.28,0.15,0.59,0.74
118,Mark Popovic,D,TOR,16.928,66,11,7,22,18,40,0.17,0.11,0.33,0.27,0.61
