,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Rouyn-Noranda Huskies,340,194,57.993,1303,1016,287,53.133,10925,9310,1615,11.2,0.906,101.844,55.013,238.142,194.473,43.67,10.903,0.9,100.814,6.36,0.089,15.285,0.221,330,282,48,55.401,1204,1018,186,52.602,26.48,0.756,322,244,78,59.041,1438,1148,290,54.504,21.736,0.818,651,490,161,59.018,8283,7144,1139,52.97,7.302,0.942
1,Blainville-Boisbriand Armada,340,187,57.069,1144,918,226,53.421,9648,8668,980,11.665,0.899,101.518,53.42,206.013,179.105,26.908,10.404,0.897,100.039,25.613,0.377,3.917,0.068,266,255,11,52.855,1029,937,92,55.236,24.731,0.72,241,223,18,51.86,1238,1223,15,50.317,18.708,0.82,637,440,197,61.218,7381,6508,873,53.68,8.61,0.937
2,Rimouski Oceanic,340,178,53.937,1186,1012,174,53.264,10862,9726,1136,10.177,0.899,100.056,50.948,213.784,206.11,7.669,9.829,0.893,99.062,7.78,0.106,11.362,0.192,261,308,-47,48.153,1120,1331,-211,48.684,21.114,0.778,273,228,45,56.486,1274,1119,155,53.518,21.206,0.81,652,476,176,55.561,8468,7276,1192,53.939,7.008,0.933
3,Cape Breton Screaming Eagles,340,169,50.48,1301,1221,80,52.026,11013,10085,928,11.059,0.883,99.302,52.162,263.708,241.44,22.274,12.078,0.88,100.08,-22.209,-0.305,5.064,0.074,337,355,-18,48.285,1436,1393,43,51.399,21.67,0.757,283,302,-19,45.301,1425,1408,17,50.484,18.245,0.774,681,564,117,54.11,8152,7284,868,52.429,7.83,0.927
4,Gatineau Olympiques,340,169,50.798,1171,1087,84,49.03,10128,9695,433,11.031,0.895,100.55,48.168,213.267,226.852,-13.578,10.982,0.887,99.688,-0.271,0.015,15.662,0.244,326,340,-14,43.204,1221,1267,-46,41.674,29.623,0.73,283,225,58,58.835,1485,1316,169,50.577,18.136,0.861,562,522,40,52.241,7422,7112,310,49.698,7.324,0.932
5,Val-d'Or Foreurs,340,168,43.301,1255,1238,17,42.864,10293,11062,-769,10.914,0.893,100.142,43.63,193.437,248.222,-54.79,10.452,0.899,100.345,9.192,0.139,-16.528,-0.2,403,268,135,51.342,1310,1084,226,47.242,28.498,0.76,288,344,-56,40.384,1329,1461,-132,42.06,21.408,0.772,564,626,-62,40.466,7654,8517,-863,42.354,6.302,0.93
6,Quebec Remparts,340,163,49.808,1126,1122,4,49.807,9946,10706,-760,10.244,0.898,100.084,53.302,206.016,180.829,25.182,10.16,0.912,101.342,1.423,0.026,-26.484,-0.403,328,241,87,58.553,1213,960,253,57.006,24.442,0.774,261,194,67,56.438,1280,1017,263,57.973,19.434,0.792,537,687,-150,43.5,7453,8729,-1276,47.677,6.403,0.924
7,Halifax Mooseheads,340,161,51.12,1202,1173,29,50.496,10791,10398,393,10.984,0.892,100.12,51.974,261.51,241.725,19.783,12.111,0.886,100.72,-23.884,-0.338,11.286,0.158,348,323,25,53.306,1442,1321,121,53.693,23.849,0.753,281,281,0,48.983,1499,1513,-14,48.915,18.273,0.818,573,569,4,50.455,7850,7564,286,50.199,7.18,0.929
8,Victoriaville Tigres,340,161,53.952,1214,1154,60,49.604,10157,10776,-619,11.964,0.9,102.016,51.273,222.944,212.276,10.669,10.845,0.899,100.67,22.869,0.335,5.025,0.068,278,320,-42,48.424,1070,1292,-222,47.8,25.936,0.743,280,257,23,55.451,1266,1301,-35,50.244,22.001,0.819,656,577,79,55.961,7821,8183,-362,49.794,8.53,0.936
9,Charlottetown Islanders,340,157,50.582,1134,1153,-19,51.724,11285,11216,69,9.643,0.901,99.689,51.777,245.213,228.297,16.916,10.713,0.893,100.023,-23.528,-0.322,16.048,0.223,334,353,-19,49.886,1399,1385,14,52.522,22.736,0.744,282,240,42,56.402,1602,1426,176,55.388,16.526,0.844,518,560,-42,48.184,8284,8405,-121,50.895,5.975,0.936
