,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
346,Joey Richard,RW,SNB,17.221,25,3,0,2,3,5,34,8.82,0.12,0.0,0.08,0.12,0.2,1.36,2.36,0.09,318.6,12.74,0.56,0.0,0.38,0.56,0.94,6.4,0.44,17.4,17.25,39.22,49.38,-4.51,34.78,8,15,0,3,0.0,0,2,0.0,3,29,10.34,3,5,60.0
347,Antoine Masson,LW,SHA,19.185,16,1,2,2,3,5,33,3.03,0.06,0.12,0.12,0.19,0.31,2.06,3.48,0.22,215.29,13.46,0.28,0.56,0.56,0.84,1.39,9.2,0.97,16.78,16.95,39.59,50.41,13.85,53.85,7,6,1,6,16.67,0,0,0.0,0,27,0.0,3,6,50.0
348,Mackenzie Brown,RW,SNB,18.254,59,3,2,0,5,5,76,3.95,0.05,0.03,0.0,0.08,0.08,1.29,5.78,0.1,798.06,13.53,0.23,0.15,0.0,0.38,0.38,5.71,0.43,17.33,18.2,34.76,54.55,-34.34,12.68,9,62,1,8,12.5,1,9,11.11,1,59,1.69,5,11,45.45
349,Nick Marois,C,VIC,17.405,31,2,2,1,4,5,38,5.26,0.06,0.06,0.03,0.13,0.16,1.23,2.99,0.1,349.41,11.27,0.34,0.34,0.17,0.69,0.86,6.53,0.51,16.85,17.5,48.3,51.57,-2.92,40.91,9,13,1,5,20.0,1,4,25.0,0,29,0.0,73,162,45.06
350,Brandon Shea,C,QUE,18.213,23,2,2,1,4,5,32,6.25,0.09,0.09,0.04,0.17,0.22,1.39,2.48,0.11,295.61,12.85,0.41,0.41,0.2,0.81,1.01,6.5,0.5,18.15,17.68,55.35,50.79,-13.59,36.0,9,16,1,2,50.0,0,3,0.0,1,27,3.7,102,186,54.84
351,Kevin Domingue,RW,SHE,17.788,9,3,1,1,4,5,18,16.67,0.33,0.11,0.11,0.44,0.56,2.0,1.07,0.12,144.74,16.08,1.24,0.41,0.41,1.66,2.07,7.46,0.44,17.95,17.92,38.67,52.71,11.11,44.44,8,10,1,1,100.0,0,2,0.0,2,15,13.33,30,63,47.62
352,Nicholas Halagian,LW,BAC,18.615,28,4,0,1,4,5,37,10.81,0.14,0.0,0.04,0.14,0.18,1.32,5.23,0.19,290.82,10.39,0.83,0.0,0.21,0.83,1.03,7.63,1.08,17.68,17.77,61.05,48.51,13.11,69.23,9,4,1,5,20.0,1,12,8.33,2,20,10.0,0,1,0.0
353,Lucas Grundy,D,BAT,20.685,59,3,1,1,4,5,57,5.26,0.05,0.02,0.02,0.07,0.08,0.97,3.09,0.05,873.96,14.81,0.21,0.07,0.07,0.27,0.34,3.91,0.21,16.91,17.85,38.77,52.2,0.62,35.85,19,34,3,5,60.0,0,3,0.0,0,49,0.0,1,4,25.0
354,David Bedard,D,BLB,18.278,25,3,1,1,4,5,22,13.64,0.12,0.04,0.04,0.16,0.2,0.88,1.16,0.05,458.96,18.36,0.39,0.13,0.13,0.52,0.65,2.88,0.15,17.14,17.9,55.96,51.78,-2.68,52.27,23,21,1,2,50.0,0,1,0.0,2,19,10.53,1,1,100.0
355,Ryan Falkenham,RW,HAL,17.936,14,4,1,0,5,5,24,16.67,0.29,0.07,0.0,0.36,0.36,1.71,3.56,0.25,242.31,17.31,0.99,0.25,0.0,1.24,1.24,5.94,0.88,19.04,18.34,56.65,53.03,-8.0,44.0,11,14,1,4,25.0,0,6,0.0,3,14,21.43,45,88,51.14
356,Owen Bennington,LW,VDO,18.448,59,0,1,3,1,4,13,0.0,0.0,0.02,0.05,0.02,0.07,0.22,0.87,0.01,542.05,9.19,0.0,0.11,0.33,0.11,0.44,1.44,0.1,17.4,17.34,55.56,53.56,-11.42,48.48,16,17,0,2,0.0,0,1,0.0,0,10,0.0,0,2,0.0
357,Danick Emond,D,MON,20.403,18,0,2,2,2,4,13,0.0,0.0,0.11,0.11,0.11,0.22,0.72,0.41,0.02,318.5,17.69,0.0,0.38,0.38,0.38,0.75,2.45,0.08,18.42,17.79,49.94,52.67,6.09,54.84,17,14,0,1,0.0,0,0,0.0,0,12,0.0,0,0,0.0
358,Mike DiPaolo,D,CHA,19.688,51,0,2,2,2,4,37,0.0,0.0,0.04,0.04,0.04,0.08,0.73,3.37,0.07,690.53,13.54,0.0,0.17,0.17,0.17,0.35,3.21,0.29,16.29,16.84,40.66,48.32,-10.57,30.77,12,27,0,5,0.0,0,4,0.0,0,28,0.0,2,5,40.0
359,Gabriel Labbe,D,SHE,17.791,41,0,2,2,2,4,13,0.0,0.0,0.05,0.05,0.05,0.1,0.32,0.25,0.01,572.76,13.97,0.0,0.21,0.21,0.21,0.42,1.36,0.03,16.79,17.56,37.94,52.49,-3.49,32.61,15,31,0,0,0.0,0,0,0.0,0,13,0.0,0,0,0.0
360,Olivier Galipeau,D,VDO,16.318,57,1,1,2,2,4,47,2.13,0.02,0.02,0.04,0.04,0.07,0.82,1.55,0.03,773.9,13.58,0.08,0.08,0.16,0.16,0.31,3.64,0.12,17.46,17.38,59.04,48.39,-17.72,43.86,25,32,0,1,0.0,0,0,0.0,1,46,2.17,0,1,0.0
361,Dylan Montcalm,C,DRU,16.97,43,1,3,0,4,4,24,4.17,0.02,0.07,0.0,0.09,0.09,0.56,2.82,0.07,451.94,10.51,0.13,0.4,0.0,0.53,0.53,3.19,0.37,17.67,17.45,53.74,50.38,-19.64,40.74,11,16,0,2,0.0,1,7,14.29,0,15,0.0,119,265,44.91
362,Anthony Latina,RW,QUE,19.406,26,2,1,1,3,4,16,12.5,0.08,0.04,0.04,0.12,0.15,0.62,1.85,0.07,275.1,10.58,0.44,0.22,0.22,0.65,0.87,3.49,0.4,18.03,17.1,52.98,48.44,3.82,58.82,10,7,1,2,50.0,1,4,25.0,0,10,0.0,34,83,40.96
