,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Green Bay Gamblers,484,273,53.68,1631,1282,349,50.932,14966,13937,1029,9.635,0.914,100.958
1,Cedar Rapids RoughRiders,484,248,55.103,1595,1332,263,48.926,14436,14287,149,10.721,0.916,102.304
2,Waterloo Black Hawks,484,247,53.362,1730,1504,226,54.384,16443,14516,1927,9.544,0.901,99.589
3,Omaha Lancers,484,246,49.963,1548,1315,233,49.813,14420,13934,486,9.724,0.906,100.314
4,Sioux Falls Stampede,484,233,50.069,1501,1449,52,49.5,15004,14597,407,9.291,0.909,100.175
5,Fargo Force,484,213,47.053,1405,1433,-28,49.293,14581,14899,-318,8.137,0.912,99.248
6,Lincoln Stars,484,212,47.51,1436,1522,-86,48.176,15274,14880,394,9.203,0.906,99.845
7,Dubuque Fighting Saints,364,211,56.136,1233,965,268,54.586,11679,9714,1965,9.899,0.905,100.43
8,Sioux City Musketeers,484,199,48.018,1447,1455,-8,49.72,14698,14609,89,9.023,0.905,99.48
9,Indiana Ice,364,195,55.698,1279,1086,193,53.153,11514,10913,601,10.683,0.903,100.996
10,Chicago Steel,484,181,48.601,1354,1653,-299,47.929,14241,15912,-1671,9.606,0.908,100.38
11,Youngstown Phantoms,424,177,52.367,1328,1400,-72,49.042,12422,13104,-682,10.897,0.904,101.296
12,Tri-City Storm,484,172,51.433,1319,1645,-326,51.796,14732,15771,-1039,9.028,0.91,99.962
13,Team USA,424,162,46.554,1346,1480,-134,49.47,12919,12941,-22,10.01,0.886,98.561
14,Des Moines Buccaneers,484,147,44.18,1355,1762,-407,47.946,14567,16600,-2033,8.574,0.9,98.537
15,Muskegon Lumberjacks,364,137,47.484,1070,1234,-164,48.226,11071,12250,-1179,9.353,0.903,99.628
16,Bloomington Thunder,120,58,50.775,342,333,9,53.435,3798,3311,487,8.645,0.902,98.935
17,Madison Capitols,120,42,45.33,334,403,-69,46.245,3626,4216,-590,9.02,0.907,99.735
