,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Casey Pierro-Zabotel,LW,VAN,19.853,72,36,41,38,77,115,0.5,0.57,0.53,1.07,1.6
1,Brandon Kozun,RW,CAL,18.525,72,40,44,24,84,108,0.56,0.61,0.33,1.17,1.5
2,Brett Sonne,C,CAL,19.335,62,48,30,22,78,100,0.77,0.48,0.35,1.26,1.61
3,Evander Kane,C,VAN,17.123,61,48,28,20,76,96,0.79,0.46,0.33,1.25,1.57
4,Justin Bernhardt,RW,P.A,20.556,72,35,32,25,67,92,0.49,0.44,0.35,0.93,1.28
5,Colin Long,C,KEL,19.242,68,33,38,20,71,91,0.49,0.56,0.29,1.04,1.34
6,Brayden Schenn,C,BDN,17.068,70,32,35,21,67,88,0.46,0.5,0.3,0.96,1.26
7,Joel Broda,C,CAL/M.J,18.809,67,53,15,19,68,87,0.79,0.22,0.28,1.01,1.3
8,C.J. Stretch,C,KAM,19.119,72,29,39,18,68,86,0.4,0.54,0.25,0.94,1.19
9,Tyler Ennis,C,M.H,18.944,61,43,25,17,68,85,0.7,0.41,0.28,1.11,1.39
10,Paul Postma,D,CAL,19.562,70,23,25,36,48,84,0.33,0.36,0.51,0.69,1.2
11,Kyle Bortis,C,CAL,20.05,68,24,36,24,60,84,0.35,0.53,0.35,0.88,1.24
12,Jay Fehr,C,BDN,19.54,68,32,30,22,62,84,0.47,0.44,0.32,0.91,1.24
13,Drayson Bowman,LW,SPO,19.524,62,47,22,14,69,83,0.76,0.35,0.23,1.11,1.34
14,Jamie Benn,LW,KEL,19.163,56,46,21,15,67,82,0.82,0.38,0.27,1.2,1.46
15,Taylor Procyshen,RW,T.C,20.198,72,36,26,19,62,81,0.5,0.36,0.26,0.86,1.12
16,Keegan Dansereau,RW,S.C,20.707,69,37,34,10,71,81,0.54,0.49,0.14,1.03,1.17
17,Jason Reese,C,T.C,20.633,69,31,32,18,63,81,0.45,0.46,0.26,0.91,1.17
18,Colton Sceviour,C,LET,19.406,69,29,34,17,63,80,0.42,0.49,0.25,0.91,1.16
19,Andrew Clark,LW,BDN,20.438,72,40,19,19,59,78,0.56,0.26,0.26,0.82,1.08
20,Matt Lowry,C,BDN,20.54,71,13,27,37,40,77,0.18,0.38,0.52,0.56,1.08
21,Mitch Fadden,C,LET/T.C,20.452,63,37,25,14,62,76,0.59,0.4,0.22,0.98,1.21
22,Derek Hulak,LW,SAS,19.037,72,30,28,18,58,76,0.42,0.39,0.25,0.81,1.06
23,Greg Scott,LW,SEA,20.285,65,32,25,19,57,76,0.49,0.38,0.29,0.88,1.17
24,Kellan Tochkin,RW,EVT,17.583,72,20,27,27,47,74,0.28,0.38,0.38,0.65,1.03
25,Jordan Eberle,C,REG,18.339,61,35,23,16,58,74,0.57,0.38,0.26,0.95,1.21
26,Linden Vey,C,M.H,17.167,71,24,29,19,53,72,0.34,0.41,0.27,0.75,1.01
27,Carson McMillan,RW,CAL,20.014,68,31,20,21,51,72,0.46,0.29,0.31,0.75,1.06
28,Jordan Weal,C,REG,16.419,65,16,35,19,51,70,0.25,0.54,0.29,0.78,1.08
29,Scott Glennie,C,BDN,17.564,55,28,31,11,59,70,0.51,0.56,0.2,1.07,1.27
30,Tyler Shattock,RW,KAM,18.615,68,30,26,13,56,69,0.44,0.38,0.19,0.82,1.01
31,Matt Calvert,LW,BDN,18.727,58,28,24,15,52,67,0.48,0.41,0.26,0.9,1.16
32,Chris Francis,C,POR,19.464,66,21,25,21,46,67,0.32,0.38,0.32,0.7,1.02
33,Brent Regner,D,VAN,19.332,70,15,26,26,41,67,0.21,0.37,0.37,0.59,0.96
34,Mitch Wahl,C,SPO,18.648,63,32,24,11,56,67,0.51,0.38,0.17,0.89,1.06
35,Cody Almond,C,KEL,19.146,70,33,19,14,52,66,0.47,0.27,0.2,0.74,0.94
36,Jonathon Blum,D,VAN,19.625,51,16,29,21,45,66,0.31,0.57,0.41,0.88,1.29
37,Shane Harper,RW,EVT,19.62,72,32,17,17,49,66,0.44,0.24,0.24,0.68,0.92
38,Justin Dowling,C,S.C,17.958,71,22,25,19,47,66,0.31,0.35,0.27,0.66,0.93
39,Shayne Wiebe,LW,KAM,18.645,72,32,23,10,55,65,0.44,0.32,0.14,0.76,0.9
40,Prab Rai,LW,SEA,18.815,61,25,26,14,51,65,0.41,0.43,0.23,0.84,1.07
41,Garry Nunn,RW,VAN,18.848,69,27,23,15,50,65,0.39,0.33,0.22,0.72,0.94
42,Jason Bast,C,M.J,19.289,72,26,19,19,45,64,0.36,0.26,0.26,0.62,0.89
43,Milan Kytnar,C,SAS,19.327,65,27,19,18,46,64,0.42,0.29,0.28,0.71,0.98
44,Kyle Beach,LW,LET/EVT,18.673,54,24,20,19,44,63,0.44,0.37,0.35,0.81,1.17
45,Ryan McDonald,C,P.A,20.696,70,37,19,7,56,63,0.53,0.27,0.1,0.8,0.9
46,Jim O'Brien,C,SEA,19.628,63,27,17,18,44,62,0.43,0.27,0.29,0.7,0.98
47,Jeff Lee,LW,EDM,20.25,72,22,29,11,51,62,0.31,0.4,0.15,0.71,0.86
48,Brenden Dowd,C,EDM,19.707,72,29,17,16,46,62,0.4,0.24,0.22,0.64,0.86
49,Michael Stone,D,CAL,18.276,69,19,19,23,38,61,0.28,0.28,0.33,0.55,0.88
50,Andrew Bailey,RW,KTN,20.384,70,28,21,12,49,61,0.4,0.3,0.17,0.7,0.87
51,Tyler Johnson,C,SPO,18.133,62,26,21,14,47,61,0.42,0.34,0.23,0.76,0.98
52,Ian Duval,C,KEL/M.J,20.359,57,24,27,10,51,61,0.42,0.47,0.18,0.89,1.07
53,Johnny Lazo,C,T.C,19.686,72,22,26,12,48,60,0.31,0.36,0.17,0.67,0.83
54,Dwight King,C,LET,19.198,64,25,22,13,47,60,0.39,0.34,0.2,0.73,0.94
55,Brett Connolly,RW,P.G,16.373,65,30,18,12,48,60,0.46,0.28,0.18,0.74,0.92
56,Walker Wintoneak,RW,SAS,19.31,72,31,16,12,47,59,0.43,0.22,0.17,0.65,0.82
57,Craig Schira,D,VAN,20.403,71,16,17,26,33,59,0.23,0.24,0.37,0.46,0.83
58,Sean Ringrose,C,M.H,20.406,72,28,21,10,49,59,0.39,0.29,0.14,0.68,0.82
59,Kenton Dulle,RW,KAM,20.397,65,24,15,20,39,59,0.37,0.23,0.31,0.6,0.91
60,Nathan Green,C,BDN,19.176,72,24,21,14,45,59,0.33,0.29,0.19,0.62,0.82
61,Levko Koper,LW,SPO,17.947,71,23,21,15,44,59,0.32,0.3,0.21,0.62,0.83
62,Adam Chorneyko,LW,LET/SAS,20.11,67,21,17,20,38,58,0.31,0.25,0.3,0.57,0.87
63,Brennan Bosch,C,M.H,20.586,72,21,22,15,43,58,0.29,0.31,0.21,0.6,0.81
64,Gaelan Patterson,C,SAS,18.067,71,22,23,12,45,57,0.31,0.32,0.17,0.63,0.8
65,Byron Froese,C,EVT,17.514,72,19,22,16,41,57,0.26,0.31,0.22,0.57,0.79
66,Dustin Cameron,LW,P.A,19.384,64,33,15,9,48,57,0.52,0.23,0.14,0.75,0.89
67,Brett Leffler,RW,REG,19.327,64,33,15,9,48,57,0.52,0.23,0.14,0.75,0.89
68,Geordie Wudrick,LW,S.C,18.437,69,35,13,9,48,57,0.51,0.19,0.13,0.7,0.83
69,Zach Boychuk,C,LET,18.949,43,28,13,16,41,57,0.65,0.3,0.37,0.95,1.33
70,Jimmy Bubnick,RW,KAM,17.657,72,25,13,19,38,57,0.35,0.18,0.26,0.53,0.79
71,Tylan Stephens,C,KTN,19.628,72,27,17,13,44,57,0.38,0.24,0.18,0.61,0.79
72,Jeremy Boyer,C,SEA,17.966,71,21,27,8,48,56,0.3,0.38,0.11,0.68,0.79
73,Bostjan  Golicic,LW,CAL,19.261,67,26,18,12,44,56,0.39,0.27,0.18,0.66,0.84
74,Matt Tassone,C,S.C,18.965,52,36,14,5,50,55,0.69,0.27,0.1,0.96,1.06
75,Eric Doyle,D,S.C,19.447,71,12,26,17,38,55,0.17,0.37,0.24,0.54,0.77
76,Matt Robertson,LW,P.A/REG,20.605,68,26,14,15,40,55,0.38,0.21,0.22,0.59,0.81
77,Brett Breitkreuz,LW,EDM,19.445,72,19,19,17,38,55,0.26,0.26,0.24,0.53,0.76
78,Stefan Elliott,D,SAS,17.627,71,16,18,21,34,55,0.23,0.25,0.3,0.48,0.77
79,Landon Ferraro,C,R.D,17.106,68,37,13,5,50,55,0.54,0.19,0.07,0.74,0.81
80,Keith Seabrook,D,CAL,20.121,64,15,17,23,32,55,0.23,0.27,0.36,0.5,0.86
81,Brent Raedeke,C,EDM,18.3,70,19,22,14,41,55,0.27,0.31,0.2,0.59,0.79
82,Kevin King,LW,KTN,18.67,70,21,16,16,37,53,0.3,0.23,0.23,0.53,0.76
83,Burke Gallimore,RW,SAS,17.687,71,26,17,10,43,53,0.37,0.24,0.14,0.61,0.75
84,Luke Walker,RW,POR,18.571,71,29,18,5,47,52,0.41,0.25,0.07,0.66,0.73
85,Tyson Barrie,D,KEL,17.142,68,12,21,19,33,52,0.18,0.31,0.28,0.49,0.76
86,Thomas Hickey,D,SEA,19.601,57,16,18,17,34,51,0.28,0.32,0.3,0.6,0.89
87,Matt Strueby,C,REG,18.987,71,25,15,10,40,50,0.35,0.21,0.14,0.56,0.7
88,Craig Cunningham,C,VAN,18.007,72,28,14,8,42,50,0.39,0.19,0.11,0.58,0.69
89,Carter Ashton,RW,LET,17.46,70,30,14,6,44,50,0.43,0.2,0.09,0.63,0.71
90,Travis Dunstall,LW,M.H,19.07,61,15,23,11,38,49,0.25,0.38,0.18,0.62,0.8
91,Michael Stickland,RW,S.C/KTN,19.28,65,27,15,7,42,49,0.42,0.23,0.11,0.65,0.75
92,Chris Langkow,C,SAS,19.067,70,15,22,12,37,49,0.21,0.31,0.17,0.53,0.7
93,John Negrin,D,S.C/KTN,19.475,63,8,23,18,31,49,0.13,0.37,0.29,0.49,0.78
94,Brandon McMillan,LW,KEL,18.486,70,14,17,18,31,49,0.2,0.24,0.26,0.44,0.7
95,Curtis Hamilton,LW,SAS,16.783,58,20,16,12,36,48,0.34,0.28,0.21,0.62,0.83
96,Adam Hughesman,LW,T.C,17.547,71,16,19,13,35,48,0.23,0.27,0.18,0.49,0.68
97,Brandon Herrod,RW,P.A,17.013,69,16,19,13,35,48,0.23,0.28,0.19,0.51,0.7
98,Cody Eakin,C,S.C,17.315,54,24,16,8,40,48,0.44,0.3,0.15,0.74,0.89
99,Carter Bancks,LW,LET,19.102,53,13,16,18,29,47,0.25,0.3,0.34,0.55,0.89
100,James Wright,C,VAN,18.481,71,21,18,8,39,47,0.3,0.25,0.11,0.55,0.66
101,Zdenek Okal,LW,M.H,18.191,64,17,17,13,34,47,0.27,0.27,0.2,0.53,0.73
102,Aaron Lewadniuk,RW,BDN,19.108,63,15,15,17,30,47,0.24,0.24,0.27,0.48,0.75
103,Victor Bartley,D,REG,20.578,72,15,14,17,29,46,0.21,0.19,0.24,0.4,0.64
104,Giffen Nyren,D,KAM,19.412,69,11,21,14,32,46,0.16,0.3,0.2,0.46,0.67
105,Tyler Maxwell,C,EVT,17.427,57,22,15,9,37,46,0.39,0.26,0.16,0.65,0.81
106,Jared Spurgeon,D,SPO,18.796,59,10,17,18,27,45,0.17,0.29,0.31,0.46,0.76
107,Kruise Reddick,C,T.C,18.196,54,19,16,10,35,45,0.35,0.3,0.19,0.65,0.83
108,Alex Plante,D,CAL,19.354,68,8,18,19,26,45,0.12,0.26,0.28,0.38,0.66
109,Cameron Cepek,D,P.G,20.677,69,8,20,17,28,45,0.12,0.29,0.25,0.41,0.65
