,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Conor Garland,RW,MON,18.638,206,104,149,75,253,328,826,12.438,0.532,0.798,0.395,1.33,1.726,4.38,33.764,0.559,1283.932,21.7,1.448,2.16,1.052,3.608,4.659,11.806,1.501,18.785,18.0,55.256,48.045,24.848,66.455,400,200,14,87,12.47,35,165,21.005,55,574,9.747,47,108,40.255
1,Francis Perron,LW,ROU,18.534,251,93,103,61,196,257,707,13.69,0.488,0.536,0.281,1.027,1.309,3.435,24.635,0.394,1208.126,19.236,1.454,1.592,0.856,3.041,3.901,10.356,1.168,18.701,18.511,58.348,52.099,9.041,62.474,342,215,17,64,28.285,29,95,29.594,47,548,9.246,381,871,42.346
2,Angelo Miceli,C,VIC,19.794,200,109,89,56,198,254,690,16.185,0.555,0.488,0.288,1.045,1.33,3.45,33.698,0.512,1321.305,20.06,1.668,1.44,0.85,3.112,3.968,10.365,1.53,18.605,18.205,52.71,49.515,23.588,64.238,321,174,28,93,30.408,26,110,25.07,55,487,11.512,1817,3549,51.375
3,Nicolas Aube-Kubel,RW,VDO,18.474,251,108,79,57,187,244,688,16.171,0.528,0.391,0.254,0.918,1.172,3.16,24.655,0.399,1133.212,18.37,1.675,1.23,0.82,2.905,3.719,10.165,1.284,18.898,18.144,57.604,50.481,10.155,63.781,339,203,25,89,29.091,29,114,26.511,54,485,11.692,122,322,34.804
4,Anthony Richard,C,VDO,17.86,232,111,80,47,191,238,704,16.067,0.548,0.444,0.226,0.991,1.218,3.488,26.532,0.439,1162.54,19.42,1.628,1.269,0.671,2.896,3.568,10.305,1.296,18.745,18.34,57.87,51.935,1.588,56.666,312,239,31,109,28.351,32,111,28.962,48,484,10.015,414,954,42.478
5,Daniel Audette,C,SHE,18.486,234,82,103,52,185,237,727,11.843,0.392,0.411,0.272,0.809,1.078,3.291,20.193,0.36,1190.729,21.18,1.105,1.168,0.759,2.272,3.028,9.279,1.012,19.672,18.329,49.691,51.429,15.515,53.16,329,300,18,73,24.531,14,95,13.534,50,559,9.78,1603,3737,44.52
6,Michael Joly,RW,RIM/CAP,19.49,219,128,71,37,199,236,659,18.83,0.649,0.366,0.182,1.015,1.203,3.382,33.026,0.59,1088.958,19.386,1.963,1.119,0.566,3.076,3.644,10.34,1.8,19.06,18.447,57.335,51.049,15.862,66.335,324,163,39,131,30.079,33,132,22.861,56,396,13.856,74,148,45.416
7,Nikolas Brouillard,D,DRU/QUE/ROU,19.728,251,60,92,82,152,234,689,8.656,0.274,0.399,0.325,0.671,0.995,3.209,14.891,0.256,1493.292,25.33,0.646,0.934,0.775,1.579,2.359,7.544,0.598,18.304,18.112,58.359,50.067,15.445,65.14,462,255,5,27,19.792,5,43,13.335,50,619,7.831,2,5,16.666
8,Louick Marcotte,LW,PEI/VDO/GAT,19.938,193,105,74,51,179,230,612,17.118,0.55,0.402,0.238,0.95,1.192,3.198,30.14,0.47,1253.68,19.555,1.685,1.212,0.725,2.898,3.62,9.822,1.415,19.728,18.242,55.47,51.035,14.62,62.245,331,185,30,95,29.195,33,136,27.372,42,381,11.025,315,743,40.25
9,Guillaume Gauthier,LW,DRU/CAP/QUE/SHE,19.135,258,98,75,54,173,227,674,15.159,0.454,0.35,0.222,0.798,1.021,2.988,27.724,0.42,1201.629,18.248,1.462,1.111,0.725,2.576,3.295,9.644,1.334,19.618,17.972,53.748,49.911,24.186,65.495,341,184,35,109,34.23,18,109,17.484,45,456,10.012,345,704,48.579
