,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Brendan Shinnimin,C,T.C,20.688,69,58,45,31,103,134,0.84,0.65,0.45,1.49,1.94
1,Mark Stone,RW,BDN,19.341,66,41,56,26,97,123,0.62,0.85,0.39,1.47,1.86
2,Ty Rattie,RW,POR,18.607,69,57,42,22,99,121,0.83,0.61,0.32,1.43,1.75
3,Adam Hughesman,LW,T.C,20.545,72,50,38,28,88,116,0.69,0.53,0.39,1.22,1.61
4,Jordan Weal,C,REG,19.417,70,41,40,35,81,116,0.59,0.57,0.5,1.16,1.66
5,Patrick Holland,RW,T.C,19.688,72,25,47,37,72,109,0.35,0.65,0.51,1.0,1.51
6,Emerson Etem,RW,M.H,19.247,65,61,39,7,100,107,0.94,0.6,0.11,1.54,1.65
7,Michael St. Croix,C,EDM,18.432,72,45,44,16,89,105,0.62,0.61,0.22,1.24,1.46
8,Michael Ferland,LW,BDN,19.404,68,47,26,23,73,96,0.69,0.38,0.34,1.07,1.41
9,Sven BArtschi,LW,POR,18.944,47,33,38,23,71,94,0.7,0.81,0.49,1.51,2.0
10,Brendan Ranford,LW,KAM,19.368,69,40,36,16,76,92,0.58,0.52,0.23,1.1,1.33
11,Hunter Shinkaruk,LW,M.H,16.923,66,49,26,16,75,91,0.74,0.39,0.24,1.14,1.38
12,Justin Maylan,C,P.A,20.652,72,26,43,20,69,89,0.36,0.6,0.28,0.96,1.24
13,Colin Smith,C,KAM,18.237,72,35,30,20,65,85,0.49,0.42,0.28,0.9,1.18
14,Taylor Vause,C,S.C,19.965,72,37,25,21,62,83,0.51,0.35,0.29,0.86,1.15
15,Justin Feser,C,T.C,19.13,72,37,21,25,58,83,0.51,0.29,0.35,0.81,1.15
16,Brad Ross,LW,POR,19.3,68,42,26,14,68,82,0.62,0.38,0.21,1.0,1.21
17,Cam Braes,C,M.J/LET,20.674,74,41,25,16,66,82,0.55,0.34,0.22,0.89,1.11
18,Matej Stransky,RW,SAS,18.18,70,39,24,18,63,81,0.56,0.34,0.26,0.9,1.16
19,Brenden Walker,C,BDN,19.22,68,26,28,27,54,81,0.38,0.41,0.4,0.79,1.19
20,Dylan Wruck,LW,EDM,18.976,66,21,26,33,47,80,0.32,0.39,0.5,0.71,1.21
21,Max Reinhart,C,KTN,19.612,61,28,28,22,56,78,0.46,0.46,0.36,0.92,1.28
22,Jimmy Bubnick,RW,CAL,20.655,72,36,24,17,60,77,0.5,0.33,0.24,0.83,1.07
23,Brendan  Gallagher,RW,VAN,19.36,54,41,22,14,63,77,0.76,0.41,0.26,1.17,1.43
24,Kevin  Sundher,C,BDN/VIC,19.658,58,26,29,20,55,75,0.45,0.5,0.34,0.95,1.29
25,T.J. Foster,RW,EDM,19.3,69,30,27,18,57,75,0.43,0.39,0.26,0.83,1.09
26,Marek Tvrdon,LW,VAN,18.621,60,31,26,17,57,74,0.52,0.43,0.28,0.95,1.23
27,Brenden Kichton,D,SPO,19.242,71,17,38,19,55,74,0.24,0.54,0.27,0.77,1.04
28,Anthony Bardaro,C,P.A/SPO,18.99,63,36,18,20,54,74,0.57,0.29,0.32,0.86,1.17
29,Mark  McNeill,C,P.A,18.56,69,31,17,23,48,71,0.45,0.25,0.33,0.7,1.03
30,Tim Bozon,LW,KAM,17.479,71,36,17,18,53,71,0.51,0.24,0.25,0.75,1.0
31,Tyler Maxwell,C,EDM/EVT,20.425,66,37,17,17,54,71,0.56,0.26,0.26,0.82,1.08
