,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,River City Lancers,58,34,55.13,172,140,32,57.62,1917,1410,507,8.73,0.904,99.13
1,Waterloo Black Hawks,57,33,57.3,208,155,53,52.68,1969,1769,200,10.43,0.915,101.92
2,Lincoln Stars,58,32,58.41,198,141,57,52.3,1742,1589,153,11.16,0.914,102.52
3,Sioux City Musketeers,48,25,54.11,171,145,26,48.16,1567,1687,-120,10.51,0.914,101.92
4,Topeka Scarecrows,47,24,53.5,153,133,20,55.43,1496,1203,293,10.17,0.89,99.19
5,Cedar Rapids RoughRiders,59,22,46.63,152,174,-22,50.76,1726,1674,52,8.49,0.897,98.2
6,Tri-City Storm,57,21,48.02,170,184,-14,49.19,1639,1693,-54,10.15,0.896,99.76
7,Sioux Falls Stampede,56,21,45.7,170,202,-32,42.34,1548,2108,-560,10.52,0.906,101.11
8,Des Moines Buccaneers,58,20,47.62,190,209,-19,45.85,1899,2243,-344,9.67,0.908,100.44
9,Chicago Steel,58,19,45.38,167,201,-34,51.84,1859,1727,132,8.84,0.887,97.56
10,Green Bay Gamblers,58,14,40.06,135,202,-67,46.34,1638,1897,-259,8.19,0.898,98.01
