,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Plymouth Whalers,68,47,59.81,256,172,84,58.09,2512,1812,700,10.12,0.908,100.88
1,Barrie Colts,68,46,59.07,306,212,94,52.75,2737,2452,285,10.89,0.914,102.32
2,Belleville Bulls,68,46,58.42,319,227,92,55.98,2927,2302,625,10.68,0.903,101.02
3,Ottawa 67's,66,43,58.2,259,186,73,53.51,2575,2237,338,9.85,0.918,101.62
4,Sault Ste. Marie Greyhounds,68,41,55.44,270,217,53,51.26,2523,2399,124,10.42,0.91,101.37
5,Sudbury Wolves,66,39,53.83,253,217,36,52.05,2628,2421,207,9.35,0.912,100.58
6,Kingston Frontenacs,68,39,51.29,258,245,13,47.22,2667,2981,-314,9.44,0.92,101.4
7,Peterborough Petes,68,38,52.49,242,219,23,54.33,2822,2372,450,8.45,0.91,99.44
8,Windsor Spitfires,68,36,47.97,213,231,-18,50.47,2206,2165,41,9.45,0.897,99.15
9,Erie Otters,68,36,49.45,224,229,-5,51.13,2400,2294,106,9.03,0.903,99.32
10,Sarnia Sting,68,36,52.75,211,189,22,49.5,2271,2317,-46,9.01,0.922,101.17
11,Oshawa Generals,68,34,50.33,227,224,3,51.27,2646,2515,131,8.44,0.912,99.68
12,Guelph Storm,68,31,49.41,250,256,-6,50.05,2747,2742,5,9.07,0.91,100.03
13,Brampton Battalion,68,31,48.52,213,226,-13,50.78,2398,2324,74,8.65,0.905,99.16
14,Kitchener Rangers,68,31,47.22,229,256,-27,44.2,2307,2912,-605,9.65,0.914,101.05
15,North Bay Centennials,66,26,45.47,206,247,-41,47.8,2157,2356,-199,9.47,0.897,99.21
16,Owen Sound Platers,68,25,44.8,237,292,-55,46.3,2485,2882,-397,9.43,0.901,99.48
17,London Knights,68,25,42.66,186,250,-64,47.14,2409,2701,-292,7.41,0.909,98.33
18,Toronto St. Michael's Majors,66,17,41.77,198,276,-78,45.87,2270,2679,-409,8.52,0.9,98.52
19,Mississauga IceDogs,68,9,31.62,160,346,-186,42.16,2217,3041,-824,7.09,0.887,95.83
