,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Toronto Marlies,456,248,55.136,1404,1161,243,51.098,13505,13352,153,10.07,0.914,101.395
1,Wilkes-Barre/Scranton Penguins,456,247,56.671,1295,1094,201,52.395,13389,12202,1187,9.609,0.92,101.533
2,Grand Rapids Griffins,456,238,56.285,1435,1190,245,52.425,14834,13540,1294,9.278,0.92,101.307
3,Milwaukee Admirals,456,219,51.535,1254,1188,66,50.526,13403,13147,256,9.257,0.912,100.497
4,Hershey Bears,456,219,54.218,1372,1214,158,48.92,12832,13332,-500,11.26,0.908,102.048
5,Chicago Wolves,456,218,52.57,1288,1196,92,49.497,13471,13650,-179,9.557,0.914,100.973
6,Texas Stars,456,217,49.605,1457,1353,104,50.851,14895,13721,1174,9.674,0.898,99.553
7,Providence Bruins,456,216,54.376,1290,1150,140,52.067,14394,13593,801,8.926,0.918,100.754
8,Albany Devils,456,205,51.412,1199,1182,17,52.828,13450,12509,941,8.679,0.909,99.513
9,St. John's IceCaps,456,201,48.319,1280,1334,-54,47.978,13584,13934,-350,9.363,0.91,100.301
10,Syracuse Crunch,456,200,49.759,1324,1323,1,51.42,14013,13189,824,9.34,0.901,99.42
11,Rockford IceHogs,456,196,46.288,1271,1325,-54,51.702,14874,13721,1153,7.508,0.907,98.211
12,Charlotte Checkers,456,196,48.638,1234,1306,-72,50.498,13987,14067,-80,8.396,0.91,99.278
13,Binghamton Senators,456,195,44.754,1325,1410,-85,47.679,13797,15260,-1463,8.756,0.9,98.761
14,Bridgeport Sound Tigers,456,192,49.001,1254,1355,-101,49.592,13474,13836,-362,9.22,0.906,99.779
15,Rochester Americans,456,186,46.146,1262,1372,-110,46.884,13147,14587,-1440,9.196,0.906,99.726
16,San Antonio Rampage,456,174,45.664,1212,1364,-152,48.71,13653,14336,-683,8.555,0.904,99.012
17,Springfield Falcons,380,165,46.278,1058,1084,-26,48.968,11050,11234,-184,8.612,0.904,99.014
18,Portland Pirates,380,163,49.99,1075,1146,-71,49.838,11527,11884,-357,8.574,0.913,99.858
19,Lake Erie Monsters,380,159,50.188,996,1057,-61,51.126,11352,11495,-143,8.354,0.914,99.704
20,Manchester Monarchs,304,159,55.814,896,765,131,52.689,9266,8946,320,9.382,0.916,101.058
21,Oklahoma City Barons,304,149,51.398,903,846,57,49.816,9369,9301,68,9.186,0.912,100.471
22,Utica Comets,304,143,48.84,813,823,-10,51.28,9288,8777,511,8.372,0.908,99.169
23,Norfolk Admirals,304,139,48.01,810,784,26,50.44,9242,9019,223,7.962,0.915,99.408
24,Hartford Wolf Pack,304,127,45.088,801,901,-100,48.114,8597,9095,-498,8.92,0.899,98.846
25,Hamilton Bulldogs,304,120,46.668,717,868,-151,48.86,8901,9431,-530,7.84,0.915,99.264
26,Worcester Sharks,304,119,49.406,783,851,-68,53.2,9762,8811,951,7.922,0.908,98.691
27,Abbotsford Heat,228,101,50.078,590,600,-10,49.545,6687,6711,-24,8.788,0.914,100.12
28,Lehigh Valley Phantoms,228,100,50.285,654,674,-20,48.452,6822,7351,-529,9.485,0.912,100.685
29,Iowa Wild,304,95,45.098,677,885,-208,47.248,8666,9741,-1075,7.751,0.916,99.406
30,Adirondack Phantoms,228,86,45.848,561,653,-92,49.23,6863,7068,-205,7.918,0.911,98.968
31,Ontario Reign,136,78,54.7,389,326,63,52.94,4205,3740,465,8.92,0.917,100.635
32,San Diego Gulls,136,74,52.985,421,374,47,50.835,4236,4096,140,9.58,0.912,100.875
33,San Jose Barracuda,136,70,54.055,426,361,65,52.075,4297,3950,347,9.51,0.912,100.65
34,Houston Aeros,152,65,50.94,404,389,15,48.62,4233,4473,-240,9.26,0.918,101.015
35,Connecticut Whale,152,62,49.66,414,420,-6,48.04,4460,4819,-359,9.055,0.915,100.515
36,Bakersfield Condors,136,62,50.255,410,407,3,47.835,4047,4416,-369,9.64,0.912,100.79
37,Peoria Rivermen,152,61,47.995,389,420,-31,48.52,4611,4894,-283,7.99,0.918,99.79
38,Stockton Heat,136,61,49.37,401,412,-11,50.55,4365,4259,106,8.845,0.907,99.485
39,Manitoba Moose,152,53,43.745,375,482,-107,46.98,4422,4981,-559,8.205,0.91,99.155
40,Adirondack Flames,76,34,49.36,232,238,-6,50.37,2438,2402,36,9.11,0.906,99.69
41,Cleveland Monsters,76,32,49.21,188,194,-6,48.91,2237,2337,-100,7.95,0.922,100.12
42,Springfield Thunderbirds,76,30,48.87,195,204,-9,49.84,2189,2203,-14,8.49,0.912,99.69
43,Tucson Roadrunners,68,26,43.71,184,237,-53,44.93,1878,2302,-424,9.46,0.9,99.44
