,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
58,Noah Gregor,C,MJ/VIC,19.135,60,29,18,18,47,65,0.48,0.3,0.3,0.78,1.08
59,Calen Addison,D,LET,17.43,68,11,28,26,39,65,0.16,0.41,0.38,0.57,0.96
60,Kyle Topping,C,KEL,17.827,66,22,19,24,41,65,0.33,0.29,0.36,0.62,0.98
61,Austin Strand,D,SEA,20.575,69,25,18,21,43,64,0.36,0.26,0.3,0.62,0.93
62,Jakob Stukel,LW,CGY,20.529,71,37,17,10,54,64,0.52,0.24,0.14,0.76,0.9
63,Kailer Yamamoto,RW,SPO,18.963,40,21,27,16,48,64,0.53,0.68,0.4,1.2,1.6
64,Curtis Miske,LW,PA,20.66,72,27,20,17,47,64,0.38,0.28,0.24,0.65,0.89
65,Tanner Kaspick,C,BDN/VIC,19.631,60,25,26,13,51,64,0.42,0.43,0.22,0.85,1.07
66,Jermaine Loewen,LW,KAM,19.658,66,36,16,12,52,64,0.55,0.24,0.18,0.79,0.97
67,James Hamblin,C,MH,18.388,70,21,24,19,45,64,0.3,0.34,0.27,0.64,0.91
68,Dylan Coghlan,RD,TC,19.571,69,17,26,20,43,63,0.25,0.38,0.29,0.62,0.91
69,Tomas Soustal,C,KEL/EDM,20.581,69,22,24,16,46,62,0.32,0.35,0.23,0.67,0.9
70,Colton Kroeker,C,KTN,20.649,68,15,31,15,46,61,0.22,0.46,0.22,0.68,0.9
71,Alec Baer,C,KTN,20.058,72,30,17,14,47,61,0.42,0.24,0.19,0.65,0.85
72,Leif Mattson,RW,KEL,18.15,63,25,19,16,44,60,0.4,0.3,0.25,0.7,0.95
73,Joe Gatenby,D,KAM,20.337,72,13,26,20,39,59,0.18,0.36,0.28,0.54,0.82
74,Brandon Hagel,LW,RD,19.053,56,18,30,11,48,59,0.32,0.54,0.2,0.86,1.05
75,Parker Kelly,RW,PA,18.341,69,29,23,7,52,59,0.42,0.33,0.1,0.75,0.86
76,Michael Rasmussen,C,TC,18.415,47,31,18,10,49,59,0.66,0.38,0.21,1.04,1.26
77,Brett Davis,RW,KTN,18.292,72,25,25,8,50,58,0.35,0.35,0.11,0.69,0.81
78,Davis Koch,RW,VAN/EDM,19.258,68,22,24,12,46,58,0.32,0.35,0.18,0.68,0.85
79,Kristian Reichel,C,RD,19.264,63,34,10,13,44,57,0.54,0.16,0.21,0.7,0.9
80,Riley Woods,LW,SPO,19.226,72,25,20,12,45,57,0.35,0.28,0.17,0.62,0.79
81,Evan Weinger,RW,BDN/POR,20.411,65,31,19,7,50,57,0.48,0.29,0.11,0.77,0.88
82,Jake Kryski,C,CGY,19.524,71,16,29,11,45,56,0.23,0.41,0.15,0.63,0.79
83,Joachim Blichfeld,LW,POR,19.165,56,24,17,15,41,56,0.43,0.3,0.27,0.73,1.0
84,Nolan Yaremko,LW,TC,19.332,70,22,19,15,41,56,0.31,0.27,0.21,0.59,0.8
85,Peyton Krebs,LW,KTN,16.636,67,17,22,15,39,54,0.25,0.33,0.22,0.58,0.81
86,Dylan Cozens,C,LET,16.597,57,22,16,15,38,53,0.39,0.28,0.26,0.67,0.93
87,Riley Sutter,RW,EVT,17.892,68,25,14,14,39,53,0.37,0.21,0.21,0.57,0.78
88,Connor Gutenberg,C,BDN,18.032,72,18,26,9,44,53,0.25,0.36,0.12,0.61,0.74
89,Josh Paterson,C,SAS,18.651,72,31,11,11,42,53,0.43,0.15,0.15,0.58,0.74
90,Ryan Chyzowski,LW,MH,17.339,72,21,16,15,37,52,0.29,0.22,0.21,0.51,0.72
91,Grayson Pawlenchuk,LW,RD,20.485,72,18,19,15,37,52,0.25,0.26,0.21,0.51,0.72
92,Chase Wouters,C,SAS,17.602,72,18,12,21,30,51,0.25,0.17,0.29,0.42,0.71
93,Cale Fleury,D,REG/KTN,18.823,68,12,19,20,31,51,0.18,0.28,0.29,0.46,0.75
94,Colton Kehler,RW,EDM,20.219,71,32,14,5,46,51,0.45,0.2,0.07,0.65,0.72
95,Jared Legien,LW,REG/VIC,19.037,61,23,17,10,40,50,0.38,0.28,0.16,0.66,0.82
96,Noah Philp,C,SEA,19.042,71,14,24,12,38,50,0.2,0.34,0.17,0.54,0.7
97,Eric Florchuk,C,VIC/SAS,17.681,71,16,19,14,35,49,0.23,0.27,0.2,0.49,0.69
98,Ryan Peckford,C,MJ/VIC,18.536,73,20,17,12,37,49,0.27,0.23,0.16,0.51,0.67
99,Sean Richards,LW,EVT,18.752,64,20,19,10,39,49,0.31,0.3,0.16,0.61,0.77
100,Josh Maser,LW,PG,18.659,71,28,11,10,39,49,0.39,0.15,0.14,0.55,0.69
101,Isaac Johnson,LW,TC,18.642,68,17,20,11,37,48,0.25,0.29,0.16,0.54,0.71
102,Emil Oksanen,RW,REG,18.974,58,16,19,13,35,48,0.28,0.33,0.22,0.6,0.83
103,Jake Bean,D,TC/CGY,19.269,57,12,18,18,30,48,0.21,0.32,0.32,0.53,0.84
104,Turner Ottenbreit,D,SEA,20.187,64,9,21,17,30,47,0.14,0.33,0.27,0.47,0.73
105,Ryan Jevne,RW,MH,19.439,69,20,13,14,33,47,0.29,0.19,0.2,0.48,0.68
106,Quinn Benjafield,RW,KAM,19.617,69,19,17,11,36,47,0.28,0.25,0.16,0.52,0.68
107,Colton Veloso,RW,KTN,20.219,71,25,10,12,35,47,0.35,0.14,0.17,0.49,0.66
108,Matthew Wedman,C,SEA,18.311,72,17,18,12,35,47,0.24,0.25,0.17,0.49,0.65
109,Nick Chyzowski,C,KAM,20.285,72,20,14,12,34,46,0.28,0.19,0.17,0.47,0.64
110,Kirby Dach,C,SAS,16.649,52,7,26,13,33,46,0.13,0.5,0.25,0.63,0.88
111,Regan Nagy,RW,VIC/PA,20.348,57,25,9,11,34,45,0.44,0.16,0.19,0.6,0.79
112,Sami Moilanen,RW,SEA,18.648,50,22,12,11,34,45,0.44,0.24,0.22,0.68,0.9
113,Conner Bruggen-Cate,LW,KEL,18.007,70,18,12,15,30,45,0.26,0.17,0.21,0.43,0.64
114,Mark Kastelic,C,CGY,18.516,71,23,12,10,35,45,0.32,0.17,0.14,0.49,0.63
115,Juuso Valimaki,LD,TC,18.944,43,14,16,15,30,45,0.33,0.37,0.35,0.7,1.05
116,Luc Smith,C,KAM,19.653,62,21,12,11,33,44,0.34,0.19,0.18,0.53,0.71
117,Riley Stotts,LW,SC/CGY,17.695,69,19,14,11,33,44,0.28,0.2,0.16,0.48,0.64
118,Artyom Minulin,D,SC,18.957,64,13,17,13,30,43,0.2,0.27,0.2,0.47,0.67
119,Cameron Hausinger,RW,KTN,18.675,70,21,11,11,32,43,0.3,0.16,0.16,0.46,0.61
120,Linden McCorrister,LW,BDN,19.477,59,20,15,8,35,43,0.34,0.25,0.14,0.59,0.73
121,Dawson Davidson,D,REG/SAS,19.442,69,10,17,16,27,43,0.14,0.25,0.23,0.39,0.62
122,Igor Martynov,LW,VIC,18.656,63,18,13,12,31,43,0.29,0.21,0.19,0.49,0.68
123,Taylor Ross,LW,LET/SPO,19.568,64,21,8,13,29,42,0.33,0.12,0.2,0.45,0.66
124,Conner McDonald,D,EDM,18.295,71,10,18,14,28,42,0.14,0.25,0.2,0.39,0.59
125,Joel Lakusta,D,PG,19.228,70,9,18,15,27,42,0.13,0.26,0.21,0.39,0.6
126,Tristin Langan,LW,MJ,18.752,70,16,18,8,34,42,0.23,0.26,0.11,0.49,0.6
127,Ethan McIndoe,LW,SPO,18.152,71,21,15,6,36,42,0.3,0.21,0.08,0.51,0.59
128,Gordie Ballhorn,D,KEL,20.036,72,6,12,24,18,42,0.08,0.17,0.33,0.25,0.58
129,Gary Haden,C,MH,18.645,70,17,17,8,34,42,0.24,0.24,0.11,0.49,0.6
130,Vladislav Yeryomenko,D,CGY,18.399,63,13,13,15,26,41,0.21,0.21,0.24,0.41,0.65
131,Eli Zummack,C,SPO,17.484,58,15,14,12,29,41,0.26,0.24,0.21,0.5,0.71
132,Vojtech Budik,D,PA,19.628,63,14,12,15,26,41,0.22,0.19,0.24,0.41,0.65
133,Ryan Hughes,C,POR,18.139,46,17,15,9,32,41,0.37,0.33,0.2,0.7,0.89
