,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Wilkes-Barre/Scranton Penguins,540,285,54.001,1538,1334,204,51.403,16072,14288,1784,9.488,0.915,100.942
1,Hershey Bears,540,275,53.87,1710,1410,300,49.65,15746,15626,120,10.484,0.911,101.534
2,Toronto Marlies,540,264,55.975,1568,1419,149,50.23,15749,16137,-388,10.169,0.918,101.921
3,Texas Stars,540,262,53.531,1676,1490,186,51.052,17208,16477,731,9.98,0.91,100.883
4,Grand Rapids Griffins,540,255,55.241,1649,1512,137,51.674,17204,16055,1149,9.228,0.92,101.221
5,Chicago Wolves,540,253,49.06,1552,1465,87,49.778,16057,16167,-110,8.692,0.912,99.83
6,Milwaukee Admirals,540,253,51.824,1483,1375,108,50.755,15629,15440,189,8.984,0.914,100.372
7,Rockford IceHogs,540,252,51.584,1537,1545,-8,51.82,17246,16180,1066,8.474,0.914,99.832
8,Binghamton Senators,540,244,48.248,1640,1619,21,47.578,16858,17999,-1141,9.367,0.908,100.095
9,Manchester Monarchs,464,242,56.08,1360,1162,198,52.794,14209,13957,252,9.399,0.917,101.097
10,Portland Pirates,540,239,50.195,1583,1592,-9,49.838,16170,16810,-640,8.612,0.914,99.94
11,Providence Bruins,540,238,53.604,1468,1440,28,51.826,16999,16409,590,8.958,0.916,100.594
12,Lake Erie Monsters,540,227,50.264,1443,1507,-64,51.208,15893,16099,-206,8.384,0.913,99.702
13,Syracuse Crunch,540,226,48.278,1531,1617,-86,50.021,16359,16503,-144,9.094,0.905,99.541
14,Rochester Americans,540,221,45.954,1520,1642,-122,47.8,15651,17461,-1810,8.709,0.906,99.371
15,San Antonio Rampage,540,216,47.995,1484,1605,-121,48.974,16551,16934,-383,8.936,0.908,99.723
16,Springfield Falcons,540,215,46.157,1488,1626,-138,48.836,15354,16395,-1041,8.624,0.904,99.015
17,Bridgeport Sound Tigers,540,210,47.363,1447,1617,-170,48.92,15889,16823,-934,8.926,0.906,99.45
18,Norfolk Admirals,464,207,47.454,1273,1219,54,50.406,14571,13514,1057,7.825,0.914,99.227
19,Hamilton Bulldogs,464,204,47.416,1202,1228,-26,49.192,13916,13763,153,7.924,0.915,99.399
20,Charlotte Checkers,460,199,47.132,1285,1335,-50,49.782,14283,14488,-205,8.316,0.908,99.004
21,Worcester Sharks,464,196,49.507,1260,1323,-63,53.259,15193,13490,1703,7.979,0.907,98.692
22,Albany Devils,460,195,52.987,1209,1257,-48,52.92,13497,12915,582,8.926,0.911,100.027
23,Oklahoma City Barons,384,184,51.194,1143,1071,72,49.798,11828,11708,120,9.221,0.912,100.416
24,St. John's IceCaps,380,168,47.218,1067,1116,-49,47.906,11465,11643,-178,9.016,0.91,99.972
25,Abbotsford Heat,388,160,49.755,975,1030,-55,49.759,11711,11241,470,8.683,0.913,99.964
26,Adirondack Phantoms,388,141,45.338,949,1142,-193,49.205,11417,11837,-420,7.866,0.909,98.746
27,Hartford Wolf Pack,308,140,49.509,839,869,-30,49.571,8887,9127,-240,8.894,0.911,99.96
28,Houston Aeros,312,132,50.966,837,815,22,49.312,8806,8880,-74,9.269,0.915,100.762
29,Peoria Rivermen,312,128,47.642,832,874,-42,48.968,9367,9666,-299,8.095,0.915,99.548
30,Utica Comets,228,110,50.72,620,605,15,52.07,7030,6563,467,8.525,0.909,99.428
31,Connecticut Whale,232,97,49.567,630,637,-7,48.287,6802,7074,-272,9.2,0.912,100.393
32,Manitoba Moose,236,92,45.388,587,679,-92,46.392,6616,7468,-852,8.538,0.913,99.835
33,Iowa Wild,228,62,42.205,498,691,-193,47.385,6536,7350,-814,7.442,0.91,98.442
34,Lehigh Valley Phantoms,152,55,46.58,397,455,-58,47.465,4434,4909,-475,8.66,0.911,99.76
35,Ontario Reign,68,44,58.36,192,137,55,55.36,2184,1761,423,8.41,0.927,101.16
36,Albany River Rats,80,39,51.5,240,226,14,49.26,2465,2539,-74,9.37,0.914,100.72
37,Lowell Devils,80,36,51.08,236,226,10,49.57,2506,2549,-43,9.31,0.915,100.84
38,San Diego Gulls,68,35,50.75,204,198,6,49.11,2039,2113,-74,9.61,0.911,100.75
39,Adirondack Flames,76,34,49.36,232,238,-6,50.37,2438,2402,36,9.11,0.906,99.69
40,Bakersfield Condors,68,30,48.96,211,220,-9,47.36,2076,2307,-231,9.73,0.908,100.51
41,San Jose Barracuda,68,28,50.65,195,190,5,49.23,2009,2072,-63,9.44,0.911,100.53
42,Stockton Heat,68,28,46.12,190,222,-32,52.46,2338,2119,219,7.77,0.898,97.59
