,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Saint John Sea Dogs,68,47,62.42,294,177,117,55.36,2257,1820,437,12.76,0.903,103.08
1,Shawinigan Cataractes,68,42,60.76,271,175,96,55.95,2357,1856,501,11.2,0.907,101.91
2,Victoriaville Tigres,68,41,58.0,308,223,85,54.38,2328,1953,375,12.89,0.889,101.79
3,Quebec Remparts,68,40,59.0,272,189,83,50.17,2066,2052,14,12.7,0.91,103.67
4,Halifax Mooseheads,68,36,51.46,247,233,14,50.41,2029,1996,33,11.74,0.885,100.24
5,Blainville-Boisbriand Armada,68,34,53.73,252,217,35,50.16,2058,2045,13,12.07,0.896,101.64
6,Chicoutimi Sagueneens,68,32,50.66,232,226,6,51.54,2125,1998,127,10.71,0.89,99.66
7,Rimouski Oceanic,68,31,51.65,251,235,16,50.2,2039,2023,16,12.01,0.886,100.65
8,Val-d'Or Foreurs,68,28,46.33,221,256,-35,47.17,1917,2147,-230,11.25,0.884,99.62
9,Moncton Wildcats,68,27,45.5,187,224,-37,46.74,1936,2206,-270,9.43,0.904,99.8
10,Acadie-Bathurst Titan,68,26,48.32,244,261,-17,49.76,2088,2108,-20,11.52,0.88,99.51
11,Drummondville Voltigeurs,68,25,47.81,218,238,-20,52.07,2063,1899,164,10.31,0.877,97.96
12,Baie-Comeau Drakkar,68,24,47.22,212,237,-25,52.21,2103,1925,178,9.91,0.881,97.96
13,Gatineau Olympiques,68,24,45.21,222,269,-47,43.59,1726,2234,-508,12.66,0.882,100.82
14,Rouyn-Noranda Huskies,68,21,43.41,224,292,-68,47.37,1898,2109,-211,11.66,0.864,98.02
15,Cape Breton Screaming Eagles,68,18,41.31,214,304,-90,47.76,1975,2160,-185,10.61,0.863,96.93
16,PEI Rocket,68,17,39.11,203,316,-113,44.82,1879,2313,-434,10.47,0.867,97.15
