,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Peter Sarno,C,SAR,19.141,68,37,59,34,96,130,0.54,0.87,0.5,1.41,1.91
1,Norm Milley,RW,SBY,18.585,68,52,39,29,91,120,0.76,0.57,0.43,1.34,1.76
2,Sheldon Keefe,RW,TOR/BAR,17.994,66,51,45,20,96,116,0.77,0.68,0.3,1.45,1.76
3,Adam Colagiacomo,RW,PLY,19.499,67,40,54,14,94,108,0.6,0.81,0.21,1.4,1.61
4,Mike Fisher,C,SBY,18.278,68,41,36,29,77,106,0.6,0.53,0.43,1.13,1.56
5,Daniel Tkaczuk,C,BAR,19.267,58,43,39,23,82,105,0.74,0.67,0.4,1.41,1.81
6,Harold Druken,C,PLY,19.636,60,58,28,17,86,103,0.97,0.47,0.28,1.43,1.72
7,Kevin Colley,RW,OSH,19.697,63,39,42,20,81,101,0.62,0.67,0.32,1.29,1.6
8,Justin Papineau,C,BELV,18.667,68,52,33,14,85,99,0.76,0.49,0.21,1.25,1.46
9,Ivan Novoseltsev,RW,SAR,19.644,68,57,23,16,80,96,0.84,0.34,0.24,1.18,1.41
10,Brent Gauvreau,RW,OSH,18.213,68,33,37,25,70,95,0.49,0.54,0.37,1.03,1.4
11,Denis Shvidki,RW,BAR,17.816,61,35,35,24,70,94,0.57,0.57,0.39,1.15,1.54
12,Jay Legault,C,LDN,19.338,65,43,32,19,75,94,0.66,0.49,0.29,1.15,1.45
13,Dan Snyder,C,OS,20.559,64,27,45,22,72,94,0.42,0.7,0.34,1.12,1.47
14,Ryan Ready,LW,BELV,19.855,63,33,38,21,71,92,0.52,0.6,0.33,1.13,1.46
15,Mike Oliveira,C,KGN,19.565,68,37,32,20,69,89,0.54,0.47,0.29,1.01,1.31
16,Peter Campbell,C,OS,19.023,67,45,27,16,72,88,0.67,0.4,0.24,1.07,1.31
17,Brett Gibson,C,NB,19.08,67,42,21,25,63,88,0.63,0.31,0.37,0.94,1.31
18,Derek MacKenzie,C,SBY,17.263,68,22,40,25,62,87,0.32,0.59,0.37,0.91,1.28
19,Tom Kostopoulos,RW,LDN,19.642,66,27,36,24,63,87,0.41,0.55,0.36,0.95,1.32
20,Brian Campbell,D,OTT,19.316,62,12,40,35,52,87,0.19,0.65,0.56,0.84,1.4
21,Michael Zigomanis,C,KGN,17.66,67,29,39,17,68,85,0.43,0.58,0.25,1.01,1.27
22,Sean Avery,C,OS/KGN,18.432,61,36,31,17,67,84,0.59,0.51,0.28,1.1,1.38
23,Dan Tessier,C,OTT,19.699,68,36,29,19,65,84,0.53,0.43,0.28,0.96,1.24
24,Wes Goldie,RW,OS,19.447,61,46,22,15,68,83,0.75,0.36,0.25,1.11,1.36
25,Jonathan Cheechoo,RW,BELV,18.169,63,35,30,17,65,82,0.56,0.48,0.27,1.03,1.3
26,Kevin Baker,RW,BELV,19.253,68,44,18,19,62,81,0.65,0.26,0.28,0.91,1.19
27,Peter Cava,C,SAR,20.584,62,33,37,11,70,81,0.53,0.6,0.18,1.13,1.31
28,David Legwand,C,PLY,18.078,55,31,27,22,58,80,0.56,0.49,0.4,1.05,1.45
29,Chad Cavanagh,C,SSM,20.586,68,40,27,12,67,79,0.59,0.4,0.18,0.99,1.16
30,Kevin Mitchell,D,GUE,18.278,68,26,26,26,52,78,0.38,0.38,0.38,0.76,1.15
31,Joe Gerbe,C,GUE,19.428,68,30,31,17,61,78,0.44,0.46,0.25,0.9,1.15
