,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
441,Dominick Sacco,F,MUS,20.271,19,1,0,0,1,1,25,4.0,0.05,0.0,0.0,0.05,0.05,1.32
442,Cameron Babiak,RD,USA/DM,16.378,10,0,1,0,1,1,5,0.0,0.0,0.1,0.0,0.1,0.1,0.5
443,Ben Taylor,RW,TC,18.391,4,1,0,0,1,1,3,33.33,0.25,0.0,0.0,0.25,0.25,0.75
444,Johnny McDermott,C,TC,18.336,2,0,1,0,1,1,1,0.0,0.0,0.5,0.0,0.5,0.5,0.5
445,Bobby Hampton,F,CHI,17.824,12,1,0,0,1,1,8,12.5,0.08,0.0,0.0,0.08,0.08,0.67
446,Hayden Rowan,C,MUS,16.646,6,1,0,0,1,1,9,11.11,0.17,0.0,0.0,0.17,0.17,1.5
447,Jordan Timmons,RW,SC,16.89,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,Robert (Rory) Herrman,LW,USA,16.501,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33
449,Alexis Binner,RD,GB,16.783,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,Connor Mayer,LD,SC,16.258,7,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.14
451,Chase Danol,C,CR,16.652,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
452,Anthony Callin,C,MAD,16.729,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
453,Luke Millen,C,MAD,16.789,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
454,Koby Bender,LW,CHI,18.169,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,Ben Freeman,RW,TC,19.65,3,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
456,Blake Robertson,D,SC,19.472,2,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5
457,Matt Stoia,RD,DBQ,16.479,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,Ben Solin,C,USA,18.152,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,Tommy Parrottino,LW,USA,17.536,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,Christopher Berger,LW,USA,17.421,2,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5
461,Justin Misiak,C,SF,19.39,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
462,Matt Miller,RW,USA,16.03,6,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.83
463,John Sladic,C,MUS/TC,17.646,3,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.33
464,Scooter Brickey,RD,MUS,16.304,10,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
465,Kamil Sadlocha,F,USA,16.427,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
466,Ash Altmann,LW,CHI,17.298,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,John Spetz,RD,CHI,15.79,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
468,Baker Shore,C,CHI,16.072,3,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.33
469,Brock Caufield,RW,GB,16.521,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,James Callahan,RD,GB,18.322,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
471,Matt Anderson,LD,GB,16.43,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,Bryce Hatten,RD,CR,18.434,6,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.17
473,Marc Del Gaizo,LD,MUS,15.929,2,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5
474,Ryan Sandelin,C,SC,16.698,5,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
475,Patrick Smyth,C,BLM,16.397,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,Andrew Petrillo,RD,YNG,17.512,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,Nicholas Cardelli,RW,SF,18.276,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,Carter Wade,C,SC,17.607,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
479,Maxim Rasseikin,RW,LIN,17.388,6,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.17
480,Evan Dougherty,F,USA/FGO,16.414,4,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.25
481,Chris Lipe,RD,DM,15.811,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,Colby Bukes,RD,CHI,16.619,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
483,Robbie Roche,LD,TC,17.98,4,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5
484,Ty Amonte,RW,YNG,17.676,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
485,Chayse Primeau,C,LIN,17.999,4,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5
486,Marko Reifenberger,C,BLM,16.655,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,Michael Campoli,D,USA,17.649,25,0,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.64
488,Gianni Brandi,C,DM,19.817,9,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.78
489,Nate Pionk,C,LIN,18.998,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,Sami Tavernier,RW,SC,18.391,15,0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.87
491,Matt Allen,F,MUS,16.507,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,Adam Karashik,RD,CHI,17.665,8,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.38
493,Ben Mirageas,LD,BLM,16.356,4,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25
494,Bram Scheerer,F,BLM,16.704,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,Tyler Vold,D,SC,19.037,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
496,Clayton Phillips,LD,FGO,16.017,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,Nick Leivermann,LD,BLM,17.002,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
498,Derek Contessa,RW,SC,16.537,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,Mason Palmer,LD,WAT,16.819,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,Steven Agriogianis,RW,CHI/USA,16.688,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33
501,Sam Fuss,D,SC,18.306,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
502,Paul O'Connor,RD,GB,19.587,4,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25
503,Logan Von Ruden,D,CR,19.379,11,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
504,Shane Kuzmeski,LD,MUS/CHI,19.198,5,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.6
505,Nico Blachman,RW,CHI,17.43,7,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.29
506,Carver Watson,LD,TC/MAD,17.536,23,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.3
507,Logan Haskins,C,CHI,18.437,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,Perry Winfree,D,CR,15.809,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509,Mason Vukonich,C,MAD,17.249,5,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4
510,Kasey Fitzjerrells,F,MAD,18.448,4,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.75
511,Robert (Mac) Welsher,C,SC,16.395,3,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.67
512,Kyle Kawamura,C,LIN,16.304,3,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.67
513,Konour Peterson,RW,MAD,17.468,2,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,2.5
514,Vladimir Studennikov,LW,DM,18.401,7,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
515,Carter Ekberg,RD,DM/YNG,18.336,10,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
516,Ben Copeland,RW,WAT,16.386,7,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0
517,Zach Metsa,RD,SF,16.907,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518,Drew Hunter,LD,OMA,16.605,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,Tyler Jette,LD,BLM,17.356,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
520,Jon Russell,RW,DM,17.621,5,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4
521,Simon Butala,LD,CR,17.123,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,Austin Nault,RW,DM,16.291,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0
