,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Waterloo Black Hawks,836,425,55.019,2821,2465,356,54.186,27988,24007,3981,9.956,0.904,100.285
1,Cedar Rapids RoughRiders,841,423,43.665,2757,2390,367,46.558,25444,25760,-316,8.882,0.9,98.884
2,Green Bay Gamblers,842,407,54.036,2580,2410,170,51.958,25615,25161,454,9.121,0.916,100.706
3,Omaha Lancers,781,401,46.186,2524,2162,362,49.114,23797,22328,1469,9.5,0.895,99.01
4,Lincoln Stars,842,391,49.511,2622,2582,40,48.84,26832,25851,981,9.208,0.91,100.162
5,Sioux Falls Stampede,839,385,48.633,2541,2554,-13,47.262,25382,26267,-885,9.23,0.915,100.649
6,Sioux City Musketeers,768,338,53.446,2340,2253,87,51.713,23915,23546,369,8.78,0.916,100.342
7,Tri-City Storm,841,337,48.777,2379,2653,-274,49.294,25592,25040,552,9.15,0.908,99.881
8,Chicago Steel,843,327,53.32,2418,2820,-402,49.906,24906,28014,-3108,10.039,0.912,101.289
9,Indiana Ice,600,291,55.6,2012,1909,103,53.092,18579,18409,170,10.667,0.903,100.974
10,Des Moines Buccaneers,842,286,48.805,2440,2921,-481,49.142,26055,28123,-2068,9.185,0.906,99.815
11,Dubuque Fighting Saints,424,246,55.768,1433,1126,307,53.968,13368,11191,2177,10.66,0.9,100.72
12,Fargo Force,544,246,51.632,1595,1581,14,52.287,16512,16461,51,8.634,0.911,99.659
13,Youngstown Phantoms,484,206,53.078,1484,1534,-50,50.731,14044,14576,-532,10.034,0.908,100.898
14,Team USA,484,184,45.012,1509,1692,-183,48.12,14540,14786,-246,9.81,0.887,98.511
15,Muskegon Lumberjacks,424,168,51.017,1256,1389,-133,49.733,12936,14025,-1089,9.446,0.91,100.399
16,Bloomington Thunder,180,81,48.368,490,507,-17,52.433,5629,5040,589,8.288,0.904,98.688
17,Madison Capitols,180,64,43.47,468,591,-123,44.838,5185,6247,-1062,8.69,0.91,99.667
18,River City Lancers,59,35,56.41,198,153,45,53.73,1958,1686,272,9.74,0.914,101.1
19,Souix City Musketeers,57,34,57.49,215,159,56,49.61,1698,1725,-27,12.14,0.91,103.14
20,Ohio Jr Blue Jackets,113,34,39.87,287,422,-135,42.93,3049,4016,-967,8.995,0.897,98.71
21,Danville Wings,58,26,49.24,161,166,-5,50.33,1656,1634,22,9.56,0.901,99.62
22,St. Louis Heartland Eagles,56,13,36.58,124,215,-91,39.31,1447,2234,-787,8.06,0.907,98.76
