,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Ryan Merkley,D,GUE,16.088,62,12,30,13,42,55,155,7.74,0.19,0.48,0.21,0.68,0.89,2.5,11.75,0.19,0,7,0.0,1,8,12.5,11,140,7.86,0,1,0.0
1,Akil Thomas,RW,NIAG,16.704,61,21,13,14,34,48,146,14.38,0.34,0.21,0.23,0.56,0.79,2.39,14.6,0.24,6,17,35.29,7,26,26.92,8,103,7.77,70,149,46.98
2,Evan Bouchard,D,LDN,16.907,68,11,17,16,28,44,135,8.15,0.16,0.25,0.24,0.41,0.65,1.99,6.98,0.1,2,3,66.67,0,6,0.0,9,126,7.14,0,0,0.0
3,Allan McShane,C,ER/OSH,16.586,62,17,12,15,29,44,116,14.66,0.27,0.19,0.24,0.47,0.71,1.87,11.48,0.19,4,15,26.67,5,19,26.32,8,82,9.76,366,694,52.74
4,Ryan McLeod,C,MISS,16.986,68,9,23,10,32,42,111,8.11,0.13,0.34,0.15,0.47,0.62,1.63,12.99,0.19,0,12,0.0,3,26,11.54,6,73,8.22,492,1032,47.67
5,Nathan Dunkley,LW,KGN,16.531,58,6,14,11,20,31,81,7.41,0.1,0.24,0.19,0.34,0.53,1.4,11.58,0.2,1,15,6.67,3,21,14.29,2,45,4.44,321,607,52.88
6,Semyon Der-Arguchintsev,C,PBO,16.0,63,7,12,10,19,29,54,12.96,0.11,0.19,0.16,0.3,0.46,0.86,6.33,0.1,1,10,10.0,4,10,40.0,2,34,5.88,166,352,47.16
7,Barrett Hayton,C,SSM,16.269000000000002,63,9,12,6,21,27,97,9.28,0.14,0.19,0.1,0.33,0.43,1.54,10.08,0.16,2,14,14.29,2,12,16.67,5,71,7.04,154,305,50.49
8,Damien Giroux,C,SAG,16.537,53,8,6,11,14,25,68,11.76,0.15,0.11,0.21,0.26,0.47,1.28,8.86,0.17,1,17,5.88,1,14,7.14,6,37,16.22,138,304,45.39
9,Ty Dellandrea,C,FLNT,16.154,57,13,8,3,21,24,103,12.62,0.23,0.14,0.05,0.37,0.42,1.81,11.99,0.21,2,17,11.76,5,24,20.83,6,62,9.68,271,554,48.92
10,Brady Hinz,RW,SAR,16.37,61,5,14,5,19,24,63,7.94,0.08,0.23,0.08,0.31,0.39,1.03,6.6,0.11,4,7,57.14,0,14,0.0,1,42,2.38,225,508,44.29
11,Adam McMaster,C,NB,16.559,61,5,11,8,16,24,98,5.1,0.08,0.18,0.13,0.26,0.39,1.61,9.71,0.16,2,15,13.33,0,14,0.0,3,69,4.35,201,467,43.04
12,Riley Damiani,C,KIT,16.49,62,9,7,6,16,22,95,9.47,0.15,0.11,0.1,0.26,0.35,1.53,8.94,0.14,3,17,17.65,1,16,6.25,5,62,8.06,207,465,44.52
13,Aidan Dudas,C,OS,16.252,56,8,8,5,16,21,82,9.76,0.14,0.14,0.09,0.29,0.38,1.46,8.62,0.15,2,13,15.38,3,12,25.0,3,57,5.26,144,302,47.68
