,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
0,Conor Garland,RW,MON,18.638,206,104,149,75,253,328,826,12.438,0.532,0.798,0.395,1.33,1.726,4.38,47,108,40.255
1,Angelo Miceli,C,VIC,19.668,250,118,95,65,213,278,753,16.156,0.511,0.462,0.267,0.976,1.241,3.151,1984,3915,51.168
2,Nicolas Roy,C,CHI/SHE,18.095,309,122,101,53,223,276,815,11.81,0.372,0.322,0.128,0.693,0.823,2.576,3148,5789,53.098
3,Adam Erne,LW,QUE,18.532,240,118,91,66,209,275,884,13.855,0.556,0.396,0.325,0.952,1.277,3.988,953,1742,53.018
4,Christopher Clapperton,LW,BLB/RIM,19.687,237,113,84,73,197,270,670,16.446,0.511,0.356,0.311,0.868,1.184,3.155,77,176,37.228
5,Daniel Sprong,RW,CHA,18.624,199,117,106,38,223,261,815,17.435,0.762,0.556,0.266,1.32,1.585,4.339,52,127,43.261
6,Anthony Mantha,RW,VDO,18.248,187,129,85,46,214,260,741,18.005,0.775,0.548,0.268,1.322,1.59,4.232,140,343,39.9
7,Nikolas Brouillard,D,DRU/QUE/ROU,19.666,312,62,99,98,161,259,756,8.21,0.262,0.39,0.318,0.652,0.968,3.15,4,8,18.75
8,Alexandre Goulet,C,CHA/VIC,19.572,262,133,75,50,208,258,735,17.822,0.532,0.322,0.242,0.861,1.101,3.034,887,1730,48.604
9,Francis Perron,LW,ROU,18.534,251,93,103,61,196,257,707,13.69,0.488,0.536,0.281,1.027,1.309,3.435,381,871,42.346
10,Louick Marcotte,LW,PEI/VDO/GAT,19.813,257,117,78,57,195,252,704,16.75,0.52,0.38,0.225,0.898,1.128,3.042,324,763,41.422
11,Anthony Duclair,LW,QUE,18.181,203,116,90,43,206,249,530,21.039,0.609,0.469,0.241,1.076,1.32,2.865,46,120,28.255
12,Matthew Highmore,C,SNB,19.613,289,90,88,69,178,247,838,12.476,0.398,0.395,0.305,0.796,1.096,3.088,2820,5513,52.346
13,Guillaume Gauthier,LW,RIM/DRU/CAP/QUE/SHE,19.072,314,107,79,59,186,245,748,14.948,0.447,0.344,0.222,0.785,1.008,2.963,561,1219,48.312
14,Nicolas Aube-Kubel,RW,VDO,18.474,251,108,79,57,187,244,688,16.171,0.528,0.391,0.254,0.918,1.172,3.16,122,322,34.804
15,Jonathan Drouin,C,HAL,17.72,128,77,94,71,171,242,468,14.855,0.578,0.77,0.58,1.35,1.93,3.83,512,1000,43.55
16,Alexis D'Aoust,RW,SHA,19.514,299,113,78,50,191,241,827,14.58,0.516,0.344,0.24,0.861,1.1,3.42,35,103,31.668
17,Anthony Richard,C,VDO,17.86,232,111,80,47,191,238,704,16.067,0.548,0.444,0.226,0.991,1.218,3.488,414,954,42.478
18,Daniel Audette,C,SHE,18.486,234,82,103,52,185,237,727,11.843,0.392,0.411,0.272,0.809,1.078,3.291,1603,3737,44.52
19,Michael Joly,RW,RIM/CAP,19.49,219,128,71,37,199,236,659,18.83,0.649,0.366,0.182,1.015,1.203,3.382,74,148,45.416
20,Ivan Barbashev,C,MON,18.005,173,88,80,57,168,225,583,16.337,0.59,0.465,0.358,1.058,1.418,3.51,1294,2643,49.342
21,Giovanni Fiore,LW,BAT/DRU/SHA/CAP,19.152,281,114,63,47,177,224,887,13.013,0.588,0.301,0.2,0.895,1.094,4.258,52,118,39.47
22,Luca Ciampini,LW,HAL/BAC,19.649,266,84,69,71,153,224,625,13.628,0.37,0.26,0.298,0.626,0.922,2.619,29,74,33.282
23,Spencer Smallman,RW,SNB,19.078,293,86,72,65,158,223,536,17.668,0.388,0.322,0.291,0.71,1.008,2.108,237,602,40.739
24,Alex Dostie,C,GAT/CHA,18.55,233,86,74,63,160,223,488,17.711,0.419,0.361,0.288,0.78,1.066,2.367,874,1928,47.138
25,Anthony Beauregard,C,VDO,18.958,207,69,99,55,168,223,434,15.102,0.351,0.515,0.288,0.864,1.152,2.149,1995,3546,54.546
26,Alex Barre-Boulet,C,DRU/BLB,18.57,198,87,87,47,174,221,581,14.48,0.445,0.45,0.26,0.89,1.155,3.125,1929,3831,50.442
27,Filip Chlapik,C,CHA,18.535,173,79,81,60,160,220,603,12.765,0.488,0.508,0.358,0.995,1.352,3.765,1192,2377,50.8
28,Christophe Boivin,LW,BAT,19.714,255,102,71,46,173,219,883,12.389,0.5,0.354,0.209,0.852,1.062,3.91,76,192,42.58
29,Peter Trainor,LW,RIM,19.54,201,103,56,59,159,218,573,17.068,0.493,0.268,0.292,0.755,1.047,2.94,14,35,38.707
30,Kyle Farrell,C,CAP,19.7,226,103,78,35,181,216,768,13.834,0.539,0.401,0.175,0.94,1.118,3.791,1807,3209,56.495
31,Jean-Christophe Beaudin,C,ROU,18.596,195,77,78,60,155,215,525,12.792,0.398,0.385,0.282,0.782,1.065,2.73,1511,2700,48.135
32,Darcy Ashley,RW,HAL,19.82,176,79,79,55,158,213,482,17.428,0.5,0.512,0.34,1.012,1.352,2.85,637,1245,49.992
33,Charles Hudon,LW,CHI/BAC,18.481,172,81,78,54,159,213,757,10.428,0.47,0.462,0.335,0.932,1.263,4.578,67,152,39.9
34,Tyler Boland,C,RIM,19.133,246,97,66,49,163,212,609,16.345,0.502,0.334,0.245,0.835,1.078,3.004,2196,4312,50.457
35,Julien Gauthier,RW,VDO/SNB,18.044,227,105,67,39,172,211,713,12.914,0.479,0.389,0.189,0.865,1.054,3.671,14,48,30.024
36,Timo Meier,RW,HAL/ROU,18.186,179,95,69,47,164,211,809,11.308,0.57,0.47,0.292,1.045,1.335,4.942,139,294,46.912
37,Anthony DeLuca,LW,RIM,18.843,202,101,72,36,173,209,808,12.76,0.538,0.385,0.188,0.923,1.11,4.178,48,95,49.165
38,Dennis Yan,LW,SHA,18.672,185,111,54,43,165,208,641,17.5,0.63,0.295,0.218,0.925,1.132,3.572,21,56,34.527
39,Nathan Noel,C,SNB,18.361,242,85,70,53,155,208,586,14.582,0.391,0.291,0.225,0.682,0.908,2.701,2087,3965,54.169
40,Joey Ratelle,LW,DRU/CHI,19.532,285,113,59,36,172,208,720,16.544,0.521,0.294,0.178,0.816,0.994,3.053,27,89,23.298
41,Frederic Gamelin,C,BAC,19.306,251,46,91,70,137,207,454,9.704,0.185,0.419,0.335,0.606,0.943,2.0,2173,4134,53.299
42,Mathieu Joseph,RW,SNB,18.722,201,91,73,42,164,206,551,16.118,0.526,0.436,0.232,0.959,1.19,3.04,130,281,42.508
43,Anthony Beauvillier,C,SHA,17.52,178,91,71,44,162,206,753,12.785,0.617,0.408,0.295,1.022,1.32,4.482,2190,3840,57.145
44,Nikolaj Ehlers,LW,HAL,18.086,114,86,73,46,159,205,535,15.995,0.755,0.66,0.405,1.41,1.815,4.71,66,170,30.985
45,Alexis Loiseau,C,RIM,19.802,254,70,78,55,148,203,489,14.858,0.358,0.402,0.271,0.766,1.036,2.244,2183,4180,52.235
46,Maxime St-Cyr,C,ROU/BAC,19.709,260,118,49,36,167,203,731,16.035,0.569,0.199,0.178,0.771,0.949,3.399,2414,4569,52.56
47,Danick Martel,C,BLB,18.885,196,99,66,38,165,203,680,13.641,0.538,0.369,0.202,0.906,1.108,3.611,1094,2426,39.921
