,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
274,Bobby Clarke,D,HAL,20.553,46,0,4,3,4,7,44,0.0,0.0,0.09,0.07,0.09,0.15,0.96
275,Ryan Jenner,D,VIC,17.898,67,3,1,3,4,7,74,4.05,0.04,0.01,0.04,0.06,0.1,1.1
276,Justin Vienneau,D,SHA,17.566,53,0,6,1,6,7,39,0.0,0.0,0.11,0.02,0.11,0.13,0.74
277,Charles Fontaine,D,CAP,18.207,66,2,1,4,3,7,60,3.33,0.03,0.02,0.06,0.05,0.11,0.91
278,Martin Krayzel,LW,BAC,18.388,27,2,3,2,5,7,30,6.67,0.07,0.11,0.07,0.19,0.26,1.11
279,Ryan Seymour,C,BAT,17.112,66,2,3,2,5,7,60,3.33,0.03,0.05,0.03,0.08,0.11,0.91
280,Travis Antler,D,BAC,20.419,10,5,1,1,6,7,18,27.78,0.5,0.1,0.1,0.6,0.7,1.8
281,Thomas Bellemare,LW,DRU,19.677,60,2,4,1,6,7,28,7.14,0.03,0.07,0.02,0.1,0.12,0.47
282,Simon Lepage,D,BAC,17.605,41,4,2,1,6,7,27,14.81,0.1,0.05,0.02,0.15,0.17,0.66
283,Federick Sonier,D,HAL,18.199,53,2,2,2,4,6,43,4.65,0.04,0.04,0.04,0.08,0.11,0.81
284,Patrick Laurin,LW,BAC,18.429,34,1,3,2,4,6,31,3.23,0.03,0.09,0.06,0.12,0.18,0.91
285,Marty Doyle,RW,SHA,17.972,38,3,2,1,5,6,24,12.5,0.08,0.05,0.03,0.13,0.16,0.63
286,Julien Beaulieu,D,PEI,17.523,29,1,3,2,4,6,21,4.76,0.03,0.1,0.07,0.14,0.21,0.72
287,Robin Richards,LW,VIC,18.292,60,3,2,1,5,6,23,13.04,0.05,0.03,0.02,0.08,0.1,0.38
288,Christian Gaudet,C,MON,17.252,56,0,2,4,2,6,43,0.0,0.0,0.04,0.07,0.04,0.11,0.77
