,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Ivan Lodnia,RW,ER,16.041,62,16,14,9,30,39,110,14.55,0.26,0.23,0.15,0.48,0.63,1.77,11.17,0.18,3,15,20.0,4,15,26.67,9,80,11.25,22,58,37.93
1,Gabriel Vilardi,C,WSR,16.082,62,17,10,11,27,38,112,15.18,0.27,0.16,0.18,0.44,0.61,1.81,13.89,0.22,5,16,31.25,4,21,19.05,8,75,10.67,264,573,46.07
2,Matthew Strome,LW,HAM,16.69,61,16,14,8,30,38,110,14.55,0.26,0.23,0.13,0.49,0.62,1.8,15.18,0.25,10,30,33.33,2,21,9.52,4,59,6.78,18,60,30.0
3,Nick Suzuki,C,OS,16.099,63,20,13,5,33,38,189,10.58,0.32,0.21,0.08,0.52,0.6,3.0,20.87,0.33,7,30,23.33,2,22,9.09,11,137,8.03,308,627,49.12
4,Jason Robertson,RW,KGN,16.151,54,18,6,8,24,32,112,16.07,0.33,0.11,0.15,0.44,0.59,2.07,14.49,0.27,3,18,16.67,5,19,26.32,10,75,13.33,3,5,60.0
5,Austen Keating,C,OTT,16.526,50,13,11,8,24,32,77,16.88,0.26,0.22,0.16,0.48,0.64,1.54,8.43,0.17,2,12,16.67,2,10,20.0,9,55,16.36,101,223,45.29
6,Morgan Frost,C,SSM,16.34,65,7,14,6,21,27,69,10.14,0.11,0.22,0.09,0.32,0.42,1.06,7.87,0.12,1,11,9.09,3,9,33.33,3,49,6.12,232,488,47.54
7,Daniil Vertiy,LW,WSR/NB,16.840999999999998,54,10,9,7,19,26,94,10.64,0.19,0.17,0.13,0.35,0.48,1.74,10.51,0.19,2,20,10.0,2,8,25.0,6,66,9.09,0,3,0.0
8,Jack Studnicka,C,OSH,16.573,62,4,11,11,15,26,86,4.65,0.06,0.18,0.18,0.24,0.42,1.39,8.47,0.14,1,14,7.14,3,15,20.0,0,57,0.0,179,403,44.42
9,Nicolas Hague,D,MISS,16.778,66,14,7,3,21,24,141,9.93,0.21,0.11,0.05,0.32,0.36,2.14,8.52,0.13,1,5,20.0,6,14,42.86,7,122,5.74,2,4,50.0
10,Ryan McGregor,C,SAR,16.627,58,11,8,5,19,24,68,16.18,0.19,0.14,0.09,0.33,0.41,1.17,8.47,0.15,6,16,37.5,0,9,0.0,5,43,11.63,25,49,51.02
11,Jonah Gadjovich,LW,OS,16.926,66,14,2,8,16,24,175,8.0,0.21,0.03,0.12,0.24,0.36,2.65,17.3,0.26,3,20,15.0,5,31,16.13,6,124,4.84,4,10,40.0
12,Brady Gilmour,C,SAG,16.410999999999998,61,7,6,10,13,23,66,10.61,0.11,0.1,0.16,0.21,0.38,1.08,7.3,0.12,4,15,26.67,0,15,0.0,3,36,8.33,231,597,38.69
13,Mac Hollowell,D,SSM,16.97,58,1,7,13,8,21,45,2.22,0.02,0.12,0.22,0.14,0.36,0.78,2.49,0.04,0,0,0.0,1,3,33.33,0,42,0.0,0,0,0.0
