,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
152,Philip Lane,RW,BRA,17.298,64,18,8,6,26,32,0.28,0.12,0.09,0.41,0.5
153,Brandon Francisco,LW,SAR,16.592,65,12,10,10,22,32,0.18,0.15,0.15,0.34,0.49
154,Jack Walchessen,RW,PBO,19.431,60,13,14,5,27,32,0.22,0.23,0.08,0.45,0.53
155,Phil Varone,C,LDN,18.782,31,9,9,13,18,31,0.29,0.29,0.42,0.58,1.0
156,Ken Peroff,D,BRA,19.981,65,5,16,10,21,31,0.08,0.25,0.15,0.32,0.48
157,Mitch Gaulton,D,ER,19.393,50,5,9,17,14,31,0.1,0.18,0.34,0.28,0.62
158,Daniel  Maggio,D,SBY,18.536,66,9,14,8,23,31,0.14,0.21,0.12,0.35,0.47
159,Zack Kassian,RW,WSR/PBO,18.642,38,12,11,8,23,31,0.32,0.29,0.21,0.61,0.82
160,Liam Heelis,RW,PBO,18.965,67,18,5,8,23,31,0.27,0.07,0.12,0.34,0.46
161,Corey Syvret,D,GUE,20.57,66,3,10,17,13,30,0.05,0.15,0.26,0.2,0.45
162,Beau Schmitz,D,PLY,18.475,68,8,10,12,18,30,0.12,0.15,0.18,0.26,0.44
163,Derek Holden,D,ER/PBO,18.651,66,11,8,11,19,30,0.17,0.12,0.17,0.29,0.45
164,Josh McFadden,D,MISS/SBY,18.317,61,4,13,13,17,30,0.07,0.21,0.21,0.28,0.49
165,Daniel Catenacci,C,SSM,16.521,65,10,9,11,19,30,0.15,0.14,0.17,0.29,0.46
166,Conor O'Donnell,LW,WSR/GUE,19.828,54,8,12,10,20,30,0.15,0.22,0.19,0.37,0.56
167,Shane Prince,LW,KIT/OTT,16.83,65,15,10,5,25,30,0.23,0.15,0.08,0.38,0.46
168,Miroslav Preisinger,C,SAR,18.615,64,11,12,7,23,30,0.17,0.19,0.11,0.36,0.47
169,Mike Halmo,LW,OS,18.339,60,11,13,5,24,29,0.18,0.22,0.08,0.4,0.48
170,Joe Rogalski,D,SAR,17.796,66,6,10,13,16,29,0.09,0.15,0.2,0.24,0.44
171,Austen Brassard,RW,WSR/BELV,16.668,63,10,9,10,19,29,0.16,0.14,0.16,0.3,0.46
172,Matias Sointu,LW,OTT/SBY,19.595,51,8,13,8,21,29,0.16,0.25,0.16,0.41,0.57
173,Cody McNaughton,RW,GUE,16.915,63,16,8,5,24,29,0.25,0.13,0.08,0.38,0.46
174,Josh Moes,RW,OS/NIAG,20.521,58,7,16,6,23,29,0.12,0.28,0.1,0.4,0.5
175,Brett Ritchie,RW,SAR,16.208,65,13,9,7,22,29,0.2,0.14,0.11,0.34,0.45
176,Jesse Stoughton,C,SAR,18.404,67,13,9,7,22,29,0.19,0.13,0.1,0.33,0.43
177,Alex Pietrangelo,D,BAR,19.658,25,9,11,9,20,29,0.36,0.44,0.36,0.8,1.16
178,Dominic DeSando,C,SSM/LDN,18.919,51,7,12,9,19,28,0.14,0.24,0.18,0.37,0.55
179,Barry Sanderson,RW,SAG,19.401,56,14,5,9,19,28,0.25,0.09,0.16,0.34,0.5
180,Julien Demers,D,OTT,19.973,54,5,12,11,17,28,0.09,0.22,0.2,0.31,0.52
181,Conor Stokes,LW,OSH,18.273,63,14,7,7,21,28,0.22,0.11,0.11,0.33,0.44
182,Alan Quine,C,KGN,16.553,64,11,14,3,25,28,0.17,0.22,0.05,0.39,0.44
183,Dan Kelly,D,KIT,20.332,58,6,12,9,18,27,0.1,0.21,0.16,0.31,0.47
184,Michael D'Orazio,D,LDN,19.083,67,5,11,11,16,27,0.07,0.16,0.16,0.24,0.4
185,Brian Lashoff,D,KGN,19.168,58,6,8,13,14,27,0.1,0.14,0.22,0.24,0.47
