,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Adam Mascherin,LW,KIT,18.528,197,110,100,57,210,267,792,14.392,0.57,0.51,0.262,1.072,1.338,3.965,32.22,0.49,17,83,19.672,14,116,12.355,79,593,14.132,44,115,40.09
1,Taylor Raddysh,RW,ER/SSM,18.823,183,99,106,60,205,265,655,15.27,0.555,0.58,0.322,1.135,1.458,3.61,31.928,0.535,26,127,20.53,16,114,15.028,57,414,13.718,87,157,55.29
2,Jordan Kyrou,RW,SAR,18.615,187,86,95,73,181,254,558,17.622,0.528,0.565,0.435,1.092,1.525,2.975,26.078,0.432,23,93,24.608,17,95,19.455,46,370,15.503,348,696,49.608
3,Nick Suzuki,C,OS,17.35,192,107,78,49,185,234,731,14.43,0.582,0.438,0.288,1.018,1.3,3.95,32.815,0.51,25,105,23.622,22,98,23.805,60,528,10.565,1056,2073,51.323
4,Alex DeBrincat,RW,ER,18.243,123,116,64,48,180,228,577,20.03,0.94,0.52,0.39,1.46,1.85,4.685,44.63,0.72,18,57,31.665,23,84,27.38,75,436,17.035,281,522,53.645
5,Aaron Luchuk,C,WSR/BAR,19.696,204,105,75,47,180,227,632,16.738,0.572,0.408,0.282,0.975,1.257,3.355,31.805,0.47,38,128,29.76,22,95,23.422,45,409,11.098,2152,4051,53.642
6,Dmitry Sokolov,RW,SBY/BAR,18.672,196,128,55,37,183,220,767,17.055,0.688,0.31,0.225,0.997,1.22,3.992,37.645,0.582,29,87,35.58,31,108,28.685,68,572,12.152,11,27,39.642
7,Morgan Frost,C,SSM,17.591,199,69,84,48,153,201,411,16.555,0.418,0.483,0.27,0.898,1.172,2.29,18.763,0.282,18,54,32.25,15,59,27.495,36,298,11.805,1395,2708,51.148
8,Kyle Maksimovich,LW,ER,18.769,197,74,75,52,149,201,492,15.16,0.402,0.37,0.248,0.772,1.02,2.62,21.258,0.325,16,71,19.355,19,79,24.095,39,342,11.48,114,256,45.55
9,Cliff Pu,C,LDN/KGN,18.536,191,76,72,53,148,201,494,14.675,0.412,0.43,0.272,0.842,1.11,2.735,26.672,0.412,20,111,17.43,24,98,24.972,32,285,10.378,1772,3023,59.162
