,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
46,Stefan Fournier,RW,LEW/VIC,18.626,183,64,45,28,109,137,479,14.202,0.382,0.255,0.168,0.638,0.805,2.648
47,Ondrej Palat,LW,DRU,18.97,120,56,52,28,108,136,412,13.12,0.465,0.43,0.23,0.895,1.125,3.42
48,Samuel Carrier,D,LEW/BAC,18.632,178,34,56,45,90,135,526,6.588,0.208,0.32,0.25,0.532,0.785,3.17
49,Martin Lefebvre,D,QUE,18.479,186,27,58,49,85,134,287,9.558,0.15,0.308,0.265,0.458,0.725,1.592
50,Alex Emond,C,RIM/DRU,19.248,184,68,35,30,103,133,407,16.29,0.37,0.198,0.165,0.568,0.73,2.3
51,Patrick Delisle-Houde,LW,RIM/MON,19.336,187,50,50,33,100,133,379,13.22,0.262,0.272,0.17,0.532,0.702,1.992
52,Ryan Kavanagh,D,RIM/SHA,19.09,126,35,48,44,83,127,362,9.945,0.28,0.375,0.35,0.655,1.005,2.855
53,Tye McGinn,LW,GAT,19.632,92,58,39,29,97,126,284,20.54,0.64,0.43,0.315,1.07,1.38,3.095
54,Charles Hudon,LW,CHI,16.73,122,48,49,29,97,126,359,13.465,0.395,0.4,0.24,0.8,1.035,2.955
55,Petr Straka,RW,RIM,18.501,157,56,41,29,97,126,418,12.855,0.338,0.235,0.178,0.578,0.755,2.652
56,Jeremie Blain,D,BAT/VIC,18.742,162,15,49,61,64,125,295,5.398,0.108,0.3,0.408,0.4,0.81,1.902
57,Marc-Olivier Vachon,C,DRU,19.86,126,53,46,25,99,124,326,16.5,0.42,0.36,0.195,0.78,0.975,2.565
58,Brandon Gormley,D,MON/SHA,18.824,140,32,66,25,98,123,413,7.752,0.255,0.46,0.188,0.708,0.895,3.23
59,Charles-Olivier Roussel,D,SHA/MTL/SNB,19.257,181,33,42,46,75,121,443,7.703,0.188,0.215,0.262,0.408,0.672,2.435
60,Anton Zlobin,LW,SHA,18.06,125,63,30,28,93,121,334,18.53,0.5,0.24,0.22,0.735,0.955,2.655
61,Andrej Nestrasil,RW,VIC/PEI,19.062,108,35,52,34,87,121,285,12.34,0.325,0.48,0.31,0.805,1.115,2.63
