,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
402,Vladislav Kolyachonok,D,FLNT/LDN,17.306,46,4,10,13,14,27,87,4.6,0.09,0.22,0.28,0.3,0.59,1.89,5.12,0.11,1,6,16.67,0,10,0.0,3,71,4.23,1,1,100.0
403,Joseph Mack,C,ER,18.192,108,14,6,7,20,27,130,10.855,0.13,0.055,0.065,0.185,0.25,1.195,6.15,0.115,5,17,32.5,2,20,10.1,7,93,7.55,374,899,40.455
404,Luke Bignell,C,BAR,17.365,115,16,7,4,23,27,116,13.91,0.135,0.06,0.035,0.2,0.23,1.005,6.905,0.12,6,23,26.785,6,20,30.3,4,73,5.565,395,976,40.69
405,Brandon Crawley,D,LDN,19.617,61,7,10,10,17,27,104,6.73,0.11,0.16,0.16,0.28,0.44,1.7,5.99,0.1,0,1,0.0,0,5,0.0,7,98,7.14,2,3,66.67
406,Mitchell Russell,C,OS/NB,17.028,114,14,7,6,21,27,157,8.13,0.125,0.06,0.055,0.185,0.24,1.395,6.95,0.125,2,19,10.555,2,20,8.335,10,118,7.7,360,827,43.215
407,Jack Phibbs,LW,FLNT,18.783,164,9,11,7,20,27,183,5.475,0.058,0.068,0.038,0.13,0.162,1.098,5.278,0.095,1,25,5.0,2,21,13.125,6,137,5.26,279,821,32.8
408,Dawson Baker,RW,SBY/KGN,17.682,124,14,8,5,22,27,143,8.817,0.1,0.05,0.038,0.15,0.182,1.04,4.86,0.103,2,19,14.285,4,25,15.558,8,99,6.022,230,522,33.092
409,Mark Shoemaker,D,NB/GUE,19.465,134,1,10,15,11,26,150,1.0,0.01,0.075,0.115,0.085,0.195,1.115,3.135,0.05,0,2,0.0,0,4,0.0,1,144,1.02,1,2,50.0
410,Andy Baker,RW,NB,17.839,73,12,8,6,20,26,90,15.42,0.18,0.105,0.05,0.285,0.335,1.175,5.63,0.14,3,13,58.335,4,18,11.765,5,59,9.555,8,19,22.22
411,Liam Stevens,LW,GUE/HAM,18.648,125,13,6,7,19,26,129,19.385,0.135,0.035,0.04,0.165,0.21,0.898,4.172,0.082,0,15,0.0,6,23,41.25,7,91,5.868,22,37,46.71
412,Riley Bruce,D,NB,19.668,108,6,9,11,15,26,152,3.715,0.045,0.08,0.09,0.13,0.225,1.275,2.515,0.04,0,2,0.0,0,0,0.0,6,150,3.75,1,2,25.0
413,Michael Vukojevic,D,KIT,16.771,82,4,13,9,17,26,100,4.2,0.045,0.145,0.09,0.195,0.285,1.13,1.93,0.045,0,3,0.0,0,0,0.0,4,97,4.45,0,1,0.0
