,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Rouyn-Noranda Huskies,204,124,58.44,814,599,215,54.805,6502,5374,1128,12.162,0.894,101.555,56.15,239.092,185.668,53.425,11.042,0.896,100.62,23.91,0.336,-3.584,-0.055,198,167,31,53.793,678,597,81,53.415,28.358,0.721,205,145,60,58.795,876,666,210,56.25,23.13,0.792,411,287,124,60.982,4948,4111,837,54.762,7.962,0.936
1,Shawinigan Cataractes,204,117,56.86,790,613,177,52.022,6449,6050,399,11.785,0.902,101.942,54.245,242.395,204.48,37.915,11.355,0.896,101.002,8.854,0.127,10.229,0.156,225,175,50,56.455,798,635,163,55.235,28.242,0.73,181,133,48,57.485,836,711,125,54.68,21.415,0.806,384,305,79,56.888,4815,4704,111,51.12,7.485,0.94
2,Saint John Sea Dogs,204,114,56.567,774,636,138,54.498,6823,6023,800,11.205,0.898,101.0,53.935,255.81,219.08,36.73,11.165,0.886,99.755,0.94,0.013,22.834,0.361,222,173,49,56.968,913,815,98,53.86,24.78,0.78,185,138,47,59.652,863,733,130,55.55,20.648,0.824,367,325,42,55.05,5047,4475,572,54.433,7.192,0.932
3,Charlottetown Islanders,204,109,53.642,749,683,66,51.565,6834,6640,194,10.888,0.9,100.885,51.632,249.473,233.46,16.013,10.762,0.892,100.03,4.025,0.037,15.96,0.221,208,218,-10,48.817,797,813,-16,49.055,25.373,0.74,191,147,44,58.595,993,861,132,54.725,19.312,0.835,350,318,32,53.742,5044,4966,78,51.388,6.962,0.938
4,Val-d'Or Foreurs,204,106,49.978,780,720,60,47.582,6213,6389,-176,11.922,0.891,101.005,49.525,220.16,223.932,-3.773,11.088,0.898,100.845,17.342,0.25,-14.069,-0.202,233,154,79,58.545,779,624,155,53.782,29.522,0.758,187,188,-1,48.672,789,831,-42,46.957,23.695,0.78,360,378,-18,45.858,4645,4934,-289,46.758,6.902,0.926
5,Cape Breton Screaming Eagles,204,104,53.56,810,707,103,51.69,6537,6081,456,11.888,0.89,100.848,53.655,273.648,235.908,37.742,12.6,0.884,100.97,-15.646,-0.214,12.155,0.178,221,194,27,54.655,891,779,112,53.817,24.502,0.766,189,186,3,50.755,876,820,56,51.61,21.562,0.776,400,327,73,54.548,4770,4482,288,51.295,7.752,0.931
6,Blainville-Boisbriand Armada,204,102,54.225,631,546,85,52.65,5718,5171,547,10.652,0.9,100.652,51.433,191.087,180.272,10.812,10.0,0.895,99.508,12.914,0.196,8.521,0.148,144,145,-1,52.342,587,554,33,51.825,24.245,0.756,124,135,-11,46.812,685,733,-48,47.862,17.288,0.815,363,266,97,58.082,4446,3884,562,53.552,7.88,0.936
7,Gatineau Olympiques,204,102,50.965,710,661,49,50.16,6147,5873,274,11.355,0.89,100.36,50.82,245.88,237.375,8.508,12.175,0.882,100.318,-17.382,-0.246,15.376,0.258,192,189,3,50.162,799,749,50,50.927,24.538,0.751,186,156,30,53.298,965,821,144,52.68,19.542,0.812,332,316,16,50.073,4383,4303,80,49.5,7.09,0.929
8,Rimouski Oceanic,204,101,50.83,707,651,56,51.848,6463,5905,558,10.58,0.889,99.462,50.008,216.695,216.408,0.29,10.132,0.891,99.228,10.054,0.136,-4.841,-0.065,158,206,-48,42.44,676,836,-160,44.872,22.538,0.752,168,145,23,52.998,790,675,115,53.325,21.625,0.782,381,300,81,54.245,4997,4394,603,52.742,7.205,0.931
9,Victoriaville Tigres,204,92,49.42,721,745,-24,48.455,5895,6416,-521,11.798,0.887,100.518,47.992,210.645,229.008,-18.36,10.71,0.891,99.795,21.108,0.325,-7.244,-0.108,159,218,-59,42.35,607,822,-215,43.342,24.942,0.737,181,174,7,50.573,753,799,-46,48.548,23.492,0.784,381,353,28,52.442,4535,4795,-260,49.215,8.13,0.931
