,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Nathan Robinson,C,BELV,19.707,65,46,41,21,87,108,0.71,0.63,0.32,1.34,1.66
1,Kris Newbury,C,SAR,19.571,66,42,49,13,91,104,0.64,0.74,0.2,1.38,1.58
2,Mike Renzi,C,BELV,20.162,66,42,38,24,80,104,0.64,0.58,0.36,1.21,1.58
3,Jason Spezza,C,BELV/WSR,18.259,51,41,40,21,81,102,0.8,0.78,0.41,1.59,2.0
4,Cory Pecker,RW,ER,20.49,56,53,32,14,85,99,0.95,0.57,0.25,1.52,1.77
5,Darryl Bootland,RW,TOR,19.869,61,41,40,16,81,97,0.67,0.66,0.26,1.33,1.59
6,Dusty Jamieson,LW,SAR,20.307,68,44,35,18,79,97,0.65,0.51,0.26,1.16,1.43
7,Patrick O'Sullivan,C,MISS,16.619,68,34,32,26,66,92,0.5,0.47,0.38,0.97,1.35
8,Miguel Delisle,RW,OTT,19.445,65,54,18,20,72,92,0.83,0.28,0.31,1.11,1.42
9,Mike Stathopoulos,C,LDN,19.179,68,28,37,25,65,90,0.41,0.54,0.37,0.96,1.32
10,Derek Roy,C,KIT,18.369,62,43,27,19,70,89,0.69,0.44,0.31,1.13,1.44
11,Matt Ellis,LW,TOR,20.041,66,38,39,12,77,89,0.58,0.59,0.18,1.17,1.35
12,Steve Ott,C,WSR,19.075,53,43,22,23,65,88,0.81,0.42,0.43,1.23,1.66
13,Greg Chambers,RW,PBO,18.837,65,39,29,19,68,87,0.6,0.45,0.29,1.05,1.34
14,Kevin Dallman,D,GUE,20.551,67,23,44,19,67,86,0.34,0.66,0.28,1.0,1.28
15,Zenon Konopka,C,OTT,20.701,60,18,45,23,63,86,0.3,0.75,0.38,1.05,1.43
16,Martin St. Pierre,C,GUE,18.098,66,32,29,24,61,85,0.48,0.44,0.36,0.92,1.29
17,Eric Himelfarb,C,SAR,18.705,67,35,31,17,66,83,0.52,0.46,0.25,0.99,1.24
18,Matthew Stajan,LW,BELV,17.742,66,33,31,18,64,82,0.5,0.47,0.27,0.97,1.24
19,Jamie Johnson,C,OSH,19.644,66,17,41,20,58,78,0.26,0.62,0.3,0.88,1.18
20,Brad Boyes,C,ER,19.414,47,36,28,13,64,77,0.77,0.6,0.28,1.36,1.64
21,Greg Jacina,C,OS/MISS,19.319,61,29,32,14,61,75,0.48,0.52,0.23,1.0,1.23
22,Kyle Wellwood,C,BELV/WSR,18.336,54,30,27,18,57,75,0.56,0.5,0.33,1.06,1.39
23,Dustin Brown,RW,GUE,16.863,63,41,19,13,60,73,0.65,0.3,0.21,0.95,1.16
24,Rick Nash,LW,LDN,17.249,54,32,20,20,52,72,0.59,0.37,0.37,0.96,1.33
25,Brent Kelly,C,SSM,19.79,67,38,22,10,60,70,0.57,0.33,0.15,0.9,1.04
26,Chris Minard,C,OSH,19.825,65,36,21,13,57,70,0.55,0.32,0.2,0.88,1.08
27,Stephen Weiss,C,PLY,18.453,46,25,25,20,50,70,0.54,0.54,0.43,1.09,1.52
28,Brad Self,C,PBO,20.548,66,24,24,22,48,70,0.36,0.36,0.33,0.73,1.06
29,Dennis Wideman,D,LDN,18.492,65,27,21,21,48,69,0.42,0.32,0.32,0.74,1.06
30,Nathan Horton,C,OSH,16.373,62,31,17,18,48,66,0.5,0.27,0.29,0.77,1.06
31,Frank Lukes,RW,TOR,18.974,63,27,21,16,48,64,0.43,0.33,0.25,0.76,1.02
32,Igor Radulov,RW,MISS,19.064,62,33,17,13,50,63,0.53,0.27,0.21,0.81,1.02
33,Adam Henrich,LW,BRA,17.657,66,33,24,6,57,63,0.5,0.36,0.09,0.86,0.95
34,Scott Dobben,LW,ER,18.434,68,31,19,13,50,63,0.46,0.28,0.19,0.74,0.93
35,Petr Taticek,C,SSM,17.983,60,21,29,13,50,63,0.35,0.48,0.22,0.83,1.05
36,Jeff Richards,LW,SSM,19.995,59,32,19,12,51,63,0.54,0.32,0.2,0.86,1.07
37,Adam Paiement,RW,BELV,19.461,60,29,23,11,52,63,0.48,0.38,0.18,0.87,1.05
38,Blaine Down,LW,BAR,19.168,63,25,18,18,43,61,0.4,0.29,0.29,0.68,0.97
39,Petr Kanko,RW,KIT,17.605,61,28,22,10,50,60,0.46,0.36,0.16,0.82,0.98
40,Matt Passfield,RW,OS/MISS,19.357,63,28,20,12,48,60,0.44,0.32,0.19,0.76,0.95
41,Eric Staal,C,PBO,16.879,55,22,20,18,42,60,0.4,0.36,0.33,0.76,1.09
42,Corey Perry,RW,LDN,16.334,60,28,17,14,45,59,0.47,0.28,0.23,0.75,0.98
43,Daniel Sisca,C,OS/MISS,18.251,53,25,19,15,44,59,0.47,0.36,0.28,0.83,1.11
44,Tim Gleason,D,WSR,18.629,67,17,27,15,44,59,0.25,0.4,0.22,0.66,0.88
45,Tim Brent,C,TOR,17.517,61,19,20,20,39,59,0.31,0.33,0.33,0.64,0.97
46,Fedor Tyutin,D,GUE,18.161,53,19,23,17,42,59,0.36,0.43,0.32,0.79,1.11
47,Charlie Stephens,C,GUE/LDN,20.447,60,24,22,13,46,59,0.4,0.37,0.22,0.77,0.98
48,Chad LaRose,RW,PLY,19.472,53,32,18,9,50,59,0.6,0.34,0.17,0.94,1.11
49,Shawn Snider,C,OS/SBY,20.619,57,19,29,11,48,59,0.33,0.51,0.19,0.84,1.04
50,Steve Eminger,D,KIT,17.876,64,19,19,20,38,58,0.3,0.3,0.31,0.59,0.91
