,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Darren Haydar,RW,MIL/CHI,27.15,204,95,103,74,198,272,593,16.24,0.435,0.465,0.372,0.902,1.275,2.688
1,Martin St. Pierre,C,NOR/RFD,23.347,211,71,120,69,191,260,478,15.485,0.33,0.595,0.328,0.93,1.258,2.162
2,Keith Aucoin,C,LOW/ALB,28.108,175,64,99,66,163,229,511,10.852,0.31,0.545,0.41,0.857,1.265,2.815
3,Pierre-Alexandre Parenteau,RW,POR/NOR/HFD,23.73,199,86,73,50,159,209,703,12.352,0.432,0.385,0.23,0.818,1.05,3.525
4,Alexandre Giroux,LW,HFD/HER/CHI,25.499,208,111,53,41,164,205,719,16.05,0.525,0.262,0.2,0.788,0.99,3.288
5,Eric Healey,LW,PRO/SPR/LE,31.903,220,78,65,61,143,204,434,18.188,0.345,0.29,0.265,0.63,0.895,1.892
6,Joe Motzko,RW,SYR/POR/CHI/HER,26.755,200,82,70,44,152,196,568,14.59,0.405,0.342,0.228,0.75,0.978,2.768
7,Jason Krog,C,CHI,31.435,124,65,77,50,142,192,357,18.165,0.54,0.635,0.43,1.18,1.61,2.975
8,Jeff Tambellini,C,MCH/BRI,22.674,163,93,57,41,150,191,626,15.12,0.598,0.363,0.252,0.958,1.21,3.918
9,Corey Locke,C,HAM,22.605,235,69,69,48,138,186,534,13.315,0.315,0.288,0.223,0.602,0.825,2.365
10,Trent Whitfield,C,PEO,29.496,200,74,60,49,134,183,624,11.492,0.36,0.292,0.248,0.648,0.895,3.072
11,Geoff Platt,C,SYR/POR,21.434,194,90,44,45,134,179,726,12.308,0.46,0.222,0.23,0.68,0.91,3.725
12,Jason Jaffray,LW,MTB,25.46,193,68,67,41,135,176,476,14.88,0.397,0.355,0.23,0.755,0.982,2.58
13,Steve Martins,C,BNG/CHI,34.674,200,52,79,45,131,176,331,16.17,0.25,0.368,0.225,0.617,0.84,1.572
14,Mark Hartigan,C,SYR/POR/GR,29.168,156,85,51,38,136,174,571,14.72,0.53,0.322,0.205,0.855,1.065,3.585
15,Ben Walter,C,PRO/BRI,22.596,203,60,69,44,129,173,484,12.062,0.292,0.36,0.225,0.652,0.878,2.45
16,Jon DiSalvatore,RW,PEO/SA,25.712,214,65,71,37,136,173,649,10.905,0.312,0.305,0.165,0.615,0.78,2.915
17,Jesse Schultz,RW,MTB/CHI,24.215,227,81,63,28,144,172,423,19.148,0.348,0.285,0.138,0.633,0.765,1.8
18,Carl Corazzini,RW,NOR/GR,27.654,223,78,53,41,131,172,649,11.578,0.34,0.24,0.188,0.582,0.768,3.025
19,Mike Iggulden,RW,CLE/WOR,24.1,228,81,47,43,128,171,544,14.878,0.36,0.213,0.2,0.572,0.775,2.408
20,Josh Hennessy,C,CLE/BNG,21.851,232,73,50,48,123,171,553,12.745,0.31,0.205,0.205,0.515,0.72,2.438
21,Pascal Pelletier,C,PRO,23.5,206,71,53,46,124,170,590,12.715,0.392,0.27,0.222,0.665,0.885,3.032
22,Rich Peverley,C,MIL,24.44,176,56,75,37,131,168,460,11.718,0.312,0.498,0.22,0.815,1.035,2.63
23,Brett Sterling,LW,CHI,22.893,147,93,44,31,137,168,483,19.275,0.625,0.295,0.21,0.925,1.135,3.265
24,Mark Cullen,C,NOR/PHI/GR,28.133,169,61,72,34,133,167,480,11.97,0.342,0.4,0.2,0.742,0.948,2.805
25,Joey Tenute,C,HER/SA,23.706,207,69,61,36,130,166,526,12.602,0.32,0.29,0.155,0.61,0.768,2.565
26,Carsen Germyn,RW,OMA/QC,24.812,231,71,46,46,117,163,702,9.685,0.292,0.2,0.192,0.493,0.682,3.018
27,Mike Glumac,RW,PEO,26.696,196,73,52,38,125,163,635,11.14,0.363,0.267,0.185,0.63,0.812,3.192
28,Nigel Dawes,LW,HFD,21.846,162,76,53,32,129,161,642,14.92,0.568,0.468,0.265,1.032,1.297,3.865
29,Graham Mink,RW,HER/WOR,27.572,175,76,39,43,115,158,515,14.28,0.42,0.228,0.232,0.645,0.875,2.902
30,Clarke MacArthur,LW,RCH,21.694,163,56,56,46,112,158,373,14.062,0.342,0.37,0.28,0.71,0.992,2.518
31,Chris Bourque,LW,HER,20.877,201,61,58,38,119,157,617,9.728,0.31,0.288,0.198,0.602,0.792,3.142
32,Mark Mancari,RW,RCH,21.43,215,62,55,39,117,156,557,10.858,0.282,0.248,0.195,0.53,0.725,2.642
33,Erik Westrum,C,HOU/TOR,26.642,141,57,50,49,107,156,481,11.99,0.405,0.355,0.345,0.755,1.105,3.415
34,Norm Milley,RW,SPR/NOR,26.835,182,63,47,44,110,154,438,14.182,0.34,0.248,0.258,0.59,0.842,2.405
35,Zenon Konopka,C,POR/SYR,25.95,158,62,52,40,114,154,446,15.085,0.408,0.318,0.262,0.72,0.99,2.732
36,Colby Genoway,RW,HFD/MTB/POR,23.01,217,50,60,41,110,151,505,10.162,0.225,0.285,0.19,0.515,0.702,2.222
37,Joakim Lindstrom,LW,SYR,23.03,163,61,49,41,110,151,415,15.245,0.42,0.34,0.262,0.76,1.018,2.69
38,Donald MacLean,C,GR/SA,29.168,142,89,29,31,118,149,460,19.06,0.62,0.205,0.215,0.82,1.04,3.215
39,Brad Moran,C,MTB,27.991,143,47,64,38,111,149,358,13.17,0.33,0.45,0.27,0.775,1.04,2.505
40,Charles Linglet,LW,PEO,24.484,191,69,51,27,120,147,485,14.158,0.348,0.268,0.143,0.615,0.752,2.582
41,Junior Lessard,RW,IOW/NOR,26.556,186,69,38,39,107,146,651,10.732,0.348,0.202,0.192,0.552,0.745,3.262
42,Denis Hamel,LW,BNG,29.35,144,88,37,21,125,146,645,13.4,0.605,0.255,0.14,0.86,1.0,4.45
43,Cal O'Reilly,C,MIL,20.21,160,34,67,43,101,144,196,13.5,0.158,0.328,0.212,0.49,0.702,1.008
44,Jeff Heerema,RW,BNG,26.162,155,63,46,32,109,141,613,10.245,0.405,0.295,0.205,0.705,0.91,3.955
45,Kris Newbury,C,TOR,24.82,165,50,56,33,106,139,469,10.965,0.305,0.325,0.215,0.633,0.845,2.86
46,Andrew Ebbett,C,BNG/POR,24.202,145,44,58,35,102,137,382,11.89,0.305,0.4,0.24,0.7,0.945,2.625
47,Lawrence Nycholat,D,HER/BNG,27.61,179,28,45,61,73,134,399,6.882,0.15,0.265,0.34,0.415,0.758,2.152
48,Troy Brouwer,RW,NOR/RFD,21.578,141,76,28,29,104,133,398,19.275,0.545,0.205,0.21,0.75,0.96,2.825
49,Noah Clarke,LW,MCH/LOW,27.514,179,52,46,34,98,132,486,10.972,0.295,0.242,0.178,0.538,0.715,2.685
50,Toby Petersen,C,IOW,28.136,149,49,49,34,98,132,454,10.415,0.32,0.335,0.27,0.652,0.92,3.088
51,Patrick O'Sullivan,LW,HOU/MCH,21.119,119,65,34,33,99,132,470,13.36,0.52,0.285,0.265,0.805,1.07,3.875
52,Duncan Milroy,RW,HAM,23.85,220,56,40,36,96,132,444,11.89,0.245,0.178,0.16,0.422,0.585,2.01
53,Kip Miller,C,CHI/GR,36.764,145,44,51,36,95,131,256,17.27,0.3,0.355,0.245,0.655,0.9,1.755
54,Rob Schremp,LW,WBS/SPR,20.708,147,40,43,46,83,129,365,10.92,0.27,0.29,0.31,0.565,0.87,2.475
55,Colin Murphy,LW,TOR,26.679,194,47,47,34,94,128,441,9.95,0.222,0.238,0.172,0.46,0.633,2.255
56,Petr Vrana,C,ALB/LOW,21.716,215,45,44,39,89,128,442,10.598,0.218,0.225,0.185,0.442,0.628,2.07
57,Jared Ross,C,CHI/PHI,24.242,191,44,51,33,95,128,378,11.77,0.255,0.282,0.19,0.538,0.732,2.165
58,Steve Regier,LW,BRI,22.29,215,54,38,36,92,128,411,13.63,0.262,0.192,0.162,0.452,0.62,1.98
59,Grant Stevenson,C,CLE/WOR/QC,25.168,156,52,48,28,100,128,426,12.622,0.368,0.318,0.175,0.68,0.855,2.86
60,Clay Wilson,D,GR/POR/SYR,23.697,210,33,44,50,77,127,449,7.745,0.17,0.218,0.238,0.38,0.62,2.18
61,Kris Versteeg,RW,PRO/NOR/RFD,20.592,139,46,47,34,93,127,355,11.812,0.29,0.31,0.208,0.6,0.812,2.448
62,Boyd Kane,LW,HER/PHI,28.661,188,48,46,31,94,125,359,14.715,0.272,0.238,0.185,0.505,0.69,1.848
63,Stefan Ruzicka,RW,PHI,21.824,164,51,42,32,93,125,520,10.242,0.34,0.252,0.202,0.597,0.8,3.348
