,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Francois Bouchard,RW,BAC,17.888,137,78,82,67,160,227,486,15.98,0.57,0.6,0.49,1.17,1.66,3.55
1,David Desharnais,C,CHI,19.504,124,71,88,67,159,226,349,20.355,0.57,0.71,0.54,1.28,1.82,2.82
2,Brent Aubin,RW,QUE/ROU,19.745,140,108,65,49,173,222,640,16.87,0.77,0.465,0.35,1.235,1.58,4.575
3,Claude Giroux,RW,GAT,18.176,132,87,64,64,151,215,383,22.845,0.665,0.485,0.485,1.15,1.635,2.9
4,Thomas Beauregard,RW,BAT,20.097,138,117,51,44,168,212,655,17.72,0.85,0.37,0.32,1.22,1.54,4.75
5,Viatcheslav Trukhno,LW,PEI/GAT,19.062,120,53,83,62,136,198,405,13.085,0.445,0.695,0.52,1.13,1.65,3.375
6,Alexandre Picard-Hooper,C,BAC,18.81,137,89,73,31,162,193,507,17.205,0.645,0.535,0.225,1.18,1.41,3.69
7,Mathieu Roy,LW,BAT/VDO,19.336,128,92,67,32,159,191,641,14.35,0.72,0.52,0.25,1.24,1.49,5.0
8,James Sheppard,C,CAP,17.891,122,63,76,41,139,180,381,16.69,0.52,0.635,0.335,1.16,1.49,3.125
9,Angelo Esposito,C,QUE,17.066,117,66,70,41,136,177,379,17.29,0.565,0.595,0.35,1.165,1.52,3.245
10,Mathieu Perreault,C,BAT,18.194,129,59,77,35,136,171,411,13.82,0.45,0.59,0.27,1.04,1.31,3.16
11,Benoit Doucet,LW,VIC,19.969,130,80,52,36,132,168,455,17.67,0.615,0.4,0.28,1.015,1.295,3.51
12,Brett Morrison,C,GAT/PEI,18.644,128,68,57,37,125,162,331,20.6,0.535,0.445,0.29,0.975,1.265,2.59
13,Alexander Radulov,RW,QUE,19.198,62,61,72,19,133,152,332,18.37,0.98,1.16,0.31,2.15,2.45,5.35
14,Jerome Samson,RW,MON/VDO,18.532,133,64,60,27,124,151,500,12.665,0.47,0.445,0.2,0.915,1.115,3.69
15,Jonathan Duchesneau,C,BAT/BAC/DRU,19.216,136,51,54,44,105,149,459,11.115,0.375,0.395,0.325,0.77,1.095,3.375
16,Danick Bouchard,RW,SHA,20.117,134,83,27,39,110,149,530,15.57,0.615,0.2,0.29,0.815,1.105,3.94
17,Benjamin Breault,C,BAC,18.066,133,70,46,32,116,148,505,13.92,0.53,0.345,0.245,0.87,1.115,3.795
18,Cam Fergus,C,CAP/GAT,19.462,113,85,32,30,117,147,429,19.775,0.74,0.275,0.255,1.015,1.27,3.74
19,Francis Pare,C,SHA,18.712,123,55,42,50,97,147,410,13.41,0.45,0.345,0.415,0.795,1.21,3.355
20,Brad Marchand,RW,MON/VDO,17.847,125,62,54,30,116,146,336,18.445,0.505,0.445,0.245,0.95,1.185,2.72
21,Alexandre Imbeault,C,VIC/CHI,19.726,116,63,38,44,101,145,493,12.965,0.57,0.325,0.375,0.895,1.27,4.335
22,Justin Munden,RW,ROU,19.348,139,57,49,37,106,143,412,13.79,0.41,0.355,0.265,0.765,1.03,2.965
