,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Kyle Connor,F,YNG,17.016,174,82,65,48,147,195,634,12.872,0.51,0.398,0.3,0.91,1.21,3.908
1,Andrew Miller,F,CHI/DM,19.806,222,75,71,31,146,177,512,14.14,0.326,0.239,0.115,0.565,0.682,2.188
2,Matt White,F,OMA/DM,18.856,258,68,62,42,130,172,598,11.849,0.396,0.341,0.222,0.738,0.958,3.114
3,Mike Seidel,F,CR,19.698,172,60,70,33,130,163,504,12.148,0.382,0.41,0.222,0.798,1.02,3.088
4,Daniil Tarasov,F,WAT/IND,19.49,119,84,39,40,123,163,503,12.598,0.552,0.26,0.252,0.812,1.065,3.802
5,Taylor Cammarata,F,WAT,16.844,119,65,62,35,127,162,312,20.85,0.545,0.52,0.295,1.07,1.365,2.625
6,Matt Leitner,F,OH/FGO,18.051,167,51,74,33,125,158,364,14.745,0.345,0.458,0.213,0.802,1.018,2.305
7,Shane Sooth,F,SC/DBQ,19.536,189,35,68,46,103,149,376,11.395,0.206,0.378,0.229,0.586,0.815,1.918
8,Denis Smirnov,F,IND/FGO,17.342,160,62,49,31,111,142,503,12.448,0.405,0.312,0.2,0.718,0.915,3.32
9,Brock Montpetit,F,WAT,18.702,169,53,51,38,104,142,383,13.908,0.365,0.355,0.227,0.718,0.945,2.535
10,Dominik Shine,F,LIN,18.536,188,64,45,25,109,134,482,14.214,0.409,0.259,0.167,0.668,0.835,2.824
11,John Kemp,F,IND,20.112,106,29,61,43,90,133,213,13.815,0.275,0.57,0.405,0.855,1.255,2.01
12,Seamus Malone,F,DBQ,17.611,163,55,51,25,106,131,444,11.808,0.36,0.328,0.158,0.688,0.845,2.912
13,Jake Randolph,F,OMA,19.024,124,39,51,40,90,130,230,16.71,0.315,0.415,0.325,0.735,1.06,1.86
14,Dennis Kravchenko,F,CR/SF,18.714,135,43,48,39,91,130,353,11.865,0.302,0.332,0.312,0.635,0.945,2.555
15,Kyle Novak,F,GB,19.173,126,44,66,18,110,128,269,12.45,0.282,0.42,0.115,0.702,0.815,1.777
16,Vince Hinostroza,F,WAT,17.702,151,53,46,27,99,126,414,13.035,0.4,0.338,0.222,0.742,0.96,2.945
17,Seth Ambroz,F,OMA,16.708,172,60,37,29,97,126,536,11.098,0.37,0.213,0.178,0.58,0.76,3.338
18,Joe Snively,F,SC,17.956,159,50,46,29,96,125,284,18.63,0.355,0.32,0.188,0.68,0.862,1.875
19,Austin Cangelosi,F,YNG,17.553,109,50,47,26,97,123,243,21.495,0.465,0.43,0.24,0.895,1.125,2.22
20,Mike Cichy,F,TC/IND,17.69,115,50,47,24,97,121,387,12.495,0.44,0.41,0.21,0.85,1.06,3.385
21,Blake Coleman,F,IND/TC,18.298,117,44,38,38,82,120,339,11.95,0.375,0.325,0.32,0.695,1.02,2.89
22,Adam Johnson,F,IND/SC,19.484,121,46,41,32,87,119,352,10.005,0.332,0.342,0.218,0.67,0.888,2.682
23,Matej Paulovic,C,MUS,19.922,129,43,42,34,85,119,345,12.51,0.34,0.322,0.262,0.665,0.923,2.69
24,Nick Schmaltz,F,GB,16.811,130,37,43,39,80,119,271,13.6,0.258,0.332,0.28,0.585,0.867,1.928
25,Liam Pecararo,F,WAT,18.193,135,42,45,31,87,118,345,12.0,0.302,0.342,0.212,0.653,0.862,2.572
26,David Goodwin,F,GB/SC/CR,19.8,179,43,39,36,82,118,411,9.832,0.23,0.225,0.205,0.455,0.66,2.335
27,Craig Smith,F,WAT,18.277,157,49,38,30,87,117,432,11.615,0.36,0.31,0.235,0.67,0.905,2.972
28,Patrick Divjak,F,SF/WAT,19.79,171,47,38,31,85,116,400,11.778,0.298,0.222,0.19,0.522,0.712,2.53
29,Nick Swaney,F,WAT,18.142,120,66,29,20,95,115,349,19.315,0.522,0.244,0.149,0.762,0.918,2.728
30,Hank Crone,LW,OMA/FGO,17.82,172,43,38,33,81,114,359,10.855,0.292,0.255,0.222,0.55,0.77,2.472
31,Andrew Oglevie,F,CR,18.704,211,48,35,31,83,114,384,13.95,0.304,0.25,0.19,0.555,0.745,2.09
32,J.T. Brown,F,WAT,18.706,96,48,36,29,84,113,305,17.125,0.48,0.37,0.29,0.85,1.14,2.935
33,Matthew Weis,F,GB,17.566,141,42,39,31,81,112,244,17.198,0.322,0.302,0.21,0.628,0.84,1.82
34,Collin Adams,LW,MUS/USA,17.645,120,51,40,21,91,112,343,11.662,0.325,0.242,0.138,0.565,0.702,2.295
35,Blake Lizotte,C,FGO,18.256,110,31,45,35,76,111,227,13.495,0.28,0.41,0.315,0.69,1.005,2.06
36,Tanner Karty,F,DM,19.186,200,55,32,24,87,111,448,13.315,0.315,0.18,0.114,0.494,0.607,2.343
37,C.J. Franklin,F,SF,19.0,115,54,38,19,92,111,370,14.495,0.47,0.335,0.165,0.8,0.965,3.225
38,Reed Seckel,F,GB,19.55,114,35,44,31,79,110,239,14.135,0.31,0.385,0.27,0.695,0.97,2.12
39,Luke Johnson,F/LD,LIN/SC,18.09,168,40,33,36,73,109,413,6.45,0.182,0.16,0.18,0.342,0.522,2.102
40,Tanner Laczynski,F,CHI/LIN,17.54,111,42,42,25,84,109,335,9.938,0.31,0.31,0.19,0.618,0.808,2.45
41,J.T. Stenglein,F,YNG/WAT/SC,18.431,151,56,32,21,88,109,441,10.795,0.368,0.255,0.14,0.625,0.765,3.075
42,Ryan Walters,F,DM,17.38,135,39,43,26,82,108,389,8.218,0.255,0.29,0.205,0.545,0.745,2.73
43,Dylan Gambrell,F,DBQ,17.304,172,39,35,34,74,108,320,12.352,0.248,0.208,0.195,0.452,0.648,1.955
