,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Texas Stars,76,46,58.87,272,190,82,55.64,2773,2211,562,9.42,0.917,101.07
1,Manchester Monarchs,76,43,56.77,239,182,57,52.08,2337,2150,187,9.72,0.917,101.47
2,St. John's IceCaps,76,42,55.7,254,202,52,50.72,2421,2352,69,10.34,0.917,102.03
3,Grand Rapids Griffins,76,41,56.14,233,182,51,52.38,2439,2217,222,9.18,0.92,101.18
4,Binghamton Senators,76,41,54.6,273,227,46,49.75,2424,2448,-24,10.78,0.909,101.7
5,Toronto Marlies,76,40,52.4,218,198,20,48.83,2225,2332,-107,9.19,0.916,100.81
6,Abbotsford Heat,76,38,52.25,232,212,20,48.33,2267,2424,-157,9.76,0.915,101.24
7,Wilkes-Barre/Scranton Penguins,76,38,52.88,202,180,22,52.04,2025,1866,159,9.66,0.905,100.16
8,Chicago Wolves,76,37,55.4,231,186,45,51.86,2346,2178,168,9.62,0.919,101.5
9,Springfield Falcons,76,37,53.38,237,207,30,50.05,2140,2136,4,10.7,0.906,101.31
10,Milwaukee Admirals,76,34,52.24,210,192,18,49.69,2234,2262,-28,9.12,0.919,100.99
11,Rochester Americans,76,34,50.12,213,212,1,47.81,2133,2328,-195,9.52,0.912,100.69
12,Albany Devils,76,33,53.52,213,185,28,52.55,2131,1924,207,9.61,0.906,100.23
13,Charlotte Checkers,76,33,48.38,224,239,-15,49.51,2434,2482,-48,9.02,0.907,99.68
14,Hershey Bears,76,32,50.71,214,208,6,48.14,2196,2366,-170,9.46,0.915,100.97
15,Oklahoma City Barons,76,32,48.76,235,247,-12,48.78,2432,2554,-122,9.33,0.905,99.87
16,Hartford Wolf Pack,76,31,47.8,196,214,-18,48.63,2097,2215,-118,9.0,0.906,99.58
17,Rockford IceHogs,76,31,47.13,230,258,-28,50.06,2423,2417,6,9.08,0.898,98.89
18,Norfolk Admirals,76,30,50.8,191,185,6,47.19,2073,2320,-247,8.91,0.923,101.17
19,Providence Bruins,76,29,52.48,222,201,21,52.13,2443,2243,200,8.9,0.913,100.22
20,Syracuse Crunch,76,28,46.65,195,223,-28,50.67,2184,2126,58,8.85,0.899,98.74
21,Utica Comets,76,28,45.92,180,212,-32,49.19,2221,2294,-73,7.94,0.91,98.9
22,Hamilton Bulldogs,76,28,44.92,177,217,-40,50.02,2309,2307,2,7.43,0.912,98.65
23,Worcester Sharks,76,26,44.42,179,224,-45,53.77,2467,2121,346,6.95,0.898,96.73
24,Adirondack Phantoms,76,26,44.84,178,219,-41,49.14,2237,2315,-78,7.75,0.909,98.64
25,Bridgeport Sound Tigers,76,24,43.41,178,232,-54,47.95,2077,2255,-178,8.48,0.902,98.63
26,Lake Erie Monsters,76,24,45.99,189,222,-33,49.24,2236,2305,-69,8.29,0.907,99.01
27,Portland Pirates,76,19,44.29,217,273,-56,46.96,2245,2536,-291,9.3,0.895,98.82
28,Iowa Wild,76,19,41.28,161,229,-68,46.07,2141,2506,-365,7.43,0.911,98.55
29,San Antonio Rampage,76,18,45.86,194,229,-35,50.82,2466,2386,80,7.72,0.909,98.58
