,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
0,Anthony Mantha,RW,VDO,18.248,187,129,85,46,214,260,741,18.005,0.775,0.548,0.268,1.322,1.59,4.232,140,343,39.9
1,Jonathan Drouin,C,HAL,17.72,128,77,94,71,171,242,468,14.855,0.578,0.77,0.58,1.35,1.93,3.83,512,1000,43.55
2,Peter Trainor,LW,RIM,19.54,201,103,56,59,159,218,573,17.068,0.493,0.268,0.292,0.755,1.047,2.94,14,35,38.707
3,Anthony Duclair,LW,QUE,17.306,177,101,78,36,179,215,454,22.338,0.638,0.478,0.212,1.112,1.33,2.81,42,105,29.84
4,Charles Hudon,LW,CHI/BAC,18.481,172,81,78,54,159,213,757,10.428,0.47,0.462,0.335,0.932,1.263,4.578,67,152,39.9
5,Darcy Ashley,RW,HAL,19.82,176,79,79,55,158,213,482,17.428,0.5,0.512,0.34,1.012,1.352,2.85,637,1245,49.992
6,Emile Poirier,LW,GAT,18.004,195,90,64,43,154,197,507,17.945,0.518,0.363,0.225,0.882,1.11,2.795,58,143,38.58
7,Christopher Clapperton,LW,BLB,18.812,176,78,62,54,140,194,441,17.612,0.452,0.352,0.312,0.805,1.118,2.56,71,158,41.125
8,Zach O'Brien,C,BAT,19.713,129,97,69,27,166,193,568,17.245,0.75,0.535,0.21,1.29,1.495,4.4,758,1461,51.89
9,Jean-Sebastien Dea,C,ROU,18.85,183,111,50,31,161,192,476,23.03,0.625,0.268,0.155,0.893,1.047,2.842,2139,3939,54.152
10,Ben Duffy,C,PEI,20.036,136,73,82,37,155,192,414,17.615,0.535,0.605,0.27,1.14,1.415,3.045,776,1523,51.06
11,Marcus Power,RW,ROU,19.422,194,57,80,55,137,192,455,12.458,0.332,0.485,0.315,0.818,1.135,2.593,588,1350,41.945
12,Adam Erne,LW,QUE,17.657,180,77,70,42,147,189,624,11.94,0.432,0.442,0.25,0.875,1.125,3.645,610,1105,52.185
13,Angelo Miceli,C,VIC,18.793,186,80,56,46,136,182,532,15.122,0.432,0.315,0.235,0.752,0.982,2.852,1228,2483,49.545
14,Mikhail Grigorenko,C,QUE,18.585,115,85,52,41,137,178,398,21.5,0.722,0.512,0.38,1.232,1.62,3.35,1185,2243,55.525
15,William Carrier,LW,CAP/DRU,17.988,166,65,64,48,129,177,588,10.68,0.385,0.392,0.288,0.782,1.065,3.673,21,48,37.66
16,Matthew Boudreau,C,HAL/VIC/SHA/BAT,19.77,192,77,59,40,136,176,484,14.397,0.363,0.328,0.19,0.69,0.88,2.542,786,1763,45.282
17,Louick Marcotte,LW,PEI/VDO,18.938,194,81,49,46,130,176,496,16.19,0.47,0.3,0.28,0.765,1.045,2.785,301,706,42.495
18,Sven Andrighetto,RW,ROU,18.987,115,67,65,40,132,172,459,14.575,0.58,0.58,0.36,1.16,1.52,4.0,162,327,49.31
19,Guillaume Gelinas,D,VDO/SHA/BLB,19.536,204,39,67,65,106,171,623,3.786,0.141,0.246,0.203,0.386,0.589,2.036,0,0,0.0
20,Anton Zlobin,LW,SHA/VDO,19.061,127,69,56,42,125,167,370,18.54,0.545,0.45,0.335,0.985,1.32,2.91,2,6,16.665
21,Jerome Verrier,RW,DRU,18.602,201,84,49,33,133,166,614,13.42,0.45,0.25,0.175,0.705,0.878,3.228,654,1290,53.68
22,Alex Saulnier,C,MON,19.54,126,59,54,52,113,165,323,18.62,0.47,0.435,0.415,0.905,1.32,2.56,1770,3170,55.585
23,Brandon Hynes,RW,VIC/BAT/VDO,19.502,124,78,49,35,127,162,561,13.89,0.63,0.395,0.28,1.025,1.31,4.53,7,15,46.43
24,Allain Saulnier,RW,MON,19.54,132,57,70,35,127,162,408,14.02,0.43,0.53,0.265,0.96,1.23,3.09,266,607,43.6
25,Christophe Lalancette,C,BAT/DRU,18.612,193,50,60,51,110,161,407,11.91,0.255,0.318,0.268,0.575,0.845,2.172,1793,3671,49.32
26,Marc-Olivier Brouillard,RW,DRU/BAT/GAT,19.834,145,56,66,38,122,160,459,14.022,0.372,0.41,0.32,0.782,1.102,2.735,55,103,25.608
27,Philippe Maillet,C,VIC,19.354,127,58,65,36,123,159,503,11.74,0.455,0.51,0.285,0.97,1.255,3.955,951,2006,47.405
