,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Erie Otters,272,188,62.194,1215,744,471,57.408,9431,7252,2179,12.416,0.898,102.199
1,London Knights,272,179,60.268,1206,827,379,51.619,9529,8816,713,12.468,0.912,103.628
2,Sault Ste. Marie Greyhounds,272,166,56.789,1126,826,300,52.65,9529,8553,976,11.336,0.904,101.7
3,Oshawa Generals,272,146,52.18,935,778,157,51.135,9236,8249,987,9.544,0.908,100.258
4,Owen Sound Attack,272,137,56.068,941,830,111,54.834,9294,8563,731,10.049,0.905,100.505
5,Kingston Frontenacs,272,135,50.926,913,829,84,52.838,9571,8421,1150,8.802,0.906,99.375
6,Windsor Spitfires,272,133,53.574,948,919,29,51.421,8944,8624,320,10.584,0.904,100.979
7,Barrie Colts,272,126,48.194,1019,935,84,49.029,8978,8938,40,10.324,0.893,99.595
8,Peterborough Petes,272,122,49.278,904,998,-94,48.004,8899,9624,-725,9.956,0.904,100.33
9,Kitchener Rangers,272,122,50.198,904,935,-31,49.787,9071,8642,429,10.799,0.898,100.579
10,North Bay Battalion,272,122,47.611,877,859,18,51.116,8852,7864,988,9.446,0.892,98.626
11,Guelph Storm,272,115,43.099,926,1014,-88,46.489,8965,9785,-820,9.234,0.893,98.538
12,Ottawa 67's,272,112,47.02,905,1012,-107,47.254,8035,9097,-1062,10.975,0.891,100.059
13,Niagara IceDogs,272,109,46.824,907,978,-71,48.119,9096,9277,-181,9.384,0.901,99.489
14,Sarnia Sting,272,108,48.742,943,1062,-119,47.904,8433,9324,-891,11.365,0.892,100.569
15,Mississauga Steelheads,272,104,48.335,788,964,-176,48.976,8344,9368,-1024,9.634,0.902,99.776
16,Saginaw Spirit,272,102,44.889,868,1042,-174,49.369,8928,9277,-349,9.13,0.889,97.961
17,Sudbury Wolves,272,79,40.829,750,1134,-384,45.259,8598,10166,-1568,8.907,0.893,98.204
18,Hamilton Bulldogs,136,54,47.27,431,481,-50,49.025,4145,4314,-169,10.1,0.892,99.22
19,Flint Firebirds,136,48,44.285,409,514,-105,49.26,4307,4433,-126,9.15,0.888,97.875
20,Plymouth Whalers,136,42,43.535,373,484,-111,44.225,4148,5231,-1083,8.81,0.912,99.98
21,Belleville Bulls,136,41,43.42,400,523,-123,47.31,4576,5091,-515,8.54,0.9,98.51
