,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Kris Newbury,C,SAR,20.07,130,76,90,30,166,196,0.585,0.69,0.235,1.275,1.51
1,Corey Locke,C,OTT,17.856,117,76,59,51,135,186,0.625,0.48,0.42,1.105,1.52
2,Jamie Johnson,C,OSH,20.144,134,41,96,41,137,178,0.305,0.715,0.305,1.02,1.325
3,Kyle Wellwood,C/D,BELV/WSR/TOR,19.002,129,71,71,34,142,176,0.427,0.437,0.203,0.863,1.067
4,Chad LaRose,RW,PLY,19.972,120,93,52,31,145,176,0.755,0.425,0.25,1.18,1.43
5,Patrick O'Sullivan,C,MISS,17.118,124,74,52,47,126,173,0.605,0.415,0.38,1.02,1.4
6,Matthew Stajan,LW,BELV,18.242,121,66,67,39,133,172,0.55,0.56,0.325,1.11,1.44
7,Miguel Delisle,RW,OTT/OS/KGN,19.944,130,89,40,42,129,171,0.685,0.31,0.325,0.995,1.32
8,Greg Chambers,RW,PBO,19.336,132,79,54,38,133,171,0.6,0.41,0.285,1.01,1.295
9,Derek Roy,C,KIT,18.868,111,71,61,35,132,167,0.63,0.565,0.32,1.2,1.515
10,Joey Tenute,C,BAR/SAR,18.956,134,60,58,44,118,162,0.445,0.43,0.33,0.875,1.205
11,Mike Stathopoulos,C,LDN,19.678,122,50,61,50,111,161,0.41,0.49,0.415,0.905,1.315
12,Eric Staal,C,PBO,17.379,121,61,61,36,122,158,0.495,0.49,0.3,0.985,1.285
13,Eric Himelfarb,C,SAR/BAR,19.205,134,66,62,30,128,158,0.49,0.46,0.22,0.96,1.18
14,Dustin Brown,RW,GUE,17.362,121,75,47,27,122,149,0.62,0.39,0.225,1.01,1.235
15,Michael Richards,C,KIT,17.091,132,57,55,33,112,145,0.43,0.415,0.25,0.845,1.095
16,Brandon Nolan,C,OSH,18.663,123,65,43,37,108,145,0.53,0.335,0.3,0.865,1.165
17,Martin St. Pierre,C,GUE,18.598,121,43,59,39,102,141,0.34,0.495,0.315,0.835,1.155
18,Greg Jacina,C,OS/MISS,19.818,117,48,66,27,114,141,0.41,0.565,0.23,0.975,1.205
19,Frank Lukes,RW,TOR,19.474,125,54,53,30,107,137,0.435,0.425,0.24,0.855,1.1
20,Corey Perry,RW,LDN,16.834,127,53,51,33,104,137,0.42,0.395,0.255,0.815,1.07
21,Ryan Ramsay,C,KIT/PLY,18.83,113,57,42,37,99,136,0.5,0.365,0.325,0.865,1.19
22,Nathan Horton,C,OSH,16.873,116,64,37,33,101,134,0.555,0.32,0.285,0.875,1.16
23,Daniel Sisca,C,OS/MISS,18.75,112,59,39,34,98,132,0.525,0.35,0.3,0.875,1.175
24,Chris Thorburn,C,NB/PLY/SAG,18.789,131,45,52,32,97,129,0.345,0.4,0.245,0.74,0.99
25,Karl Stewart,C,PLY,18.712,133,55,46,27,101,128,0.41,0.345,0.2,0.755,0.955
26,Petr Kanko,RW,KIT,18.104,121,61,48,18,109,127,0.505,0.395,0.145,0.9,1.05
27,Adam Henrich,LW,BRA,18.156,129,64,47,16,111,127,0.495,0.365,0.125,0.86,0.985
28,Rob Hisey,C,SSM/ER,17.474,141,48,53,26,101,127,0.335,0.375,0.185,0.71,0.895
29,Adam Paiement,RW,BELV,19.96,109,58,41,28,99,127,0.535,0.375,0.265,0.915,1.18
30,Matt Passfield,RW,OS/MISS,19.856,127,64,36,26,100,126,0.5,0.285,0.205,0.785,0.99
31,Matt Foy,RW,OTT,19.33,66,59,49,18,108,126,0.89,0.74,0.27,1.64,1.91
32,Tim Brent,C,TOR,18.016,121,43,46,36,89,125,0.355,0.38,0.3,0.735,1.035
33,Luc Chiasson,LW,GUE/OSH/BAR,19.438,130,60,32,32,92,124,0.465,0.245,0.24,0.71,0.96
34,Rob Hennigar,C,WSR,18.95,135,44,44,34,88,122,0.325,0.325,0.25,0.65,0.9
35,Petr Taticek,C,SSM,18.482,114,33,59,28,92,120,0.285,0.52,0.25,0.805,1.055
