,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Rouyn-Noranda Huskies,70,43,55.03,290,237,53,53.92,2201,1881,320,12.82,0.875,100.31
1,Baie-Comeau Drakkar,70,41,54.32,245,206,39,51.55,2157,2027,130,10.99,0.901,101.09
2,Halifax Mooseheads,70,38,53.73,274,236,38,54.92,2438,2001,437,10.91,0.884,99.29
3,Gatineau Olympiques,70,36,56.14,265,207,58,49.87,1965,1975,-10,13.35,0.898,103.19
4,Acadie-Bathurst Titan,70,36,54.3,284,239,45,52.34,2361,2150,211,11.84,0.891,100.97
5,Saint John Sea Dogs,70,36,52.53,260,235,25,50.21,2219,2200,19,11.44,0.894,100.84
6,Chicoutimi Sagueneens,70,35,54.19,233,197,36,52.58,2076,1872,204,10.79,0.897,100.51
7,Quebec Remparts,70,35,53.26,253,222,31,49.15,2158,2233,-75,11.31,0.902,101.49
8,Cape Breton Screaming Eagles,70,34,50.97,236,227,9,54.78,2367,1954,413,9.67,0.887,98.32
9,Shawinigan Cataractes,70,32,48.7,225,237,-12,51.58,2106,1977,129,10.34,0.885,98.8
10,Lewiston MAINEiacs,70,32,50.82,217,210,7,49.16,2021,2090,-69,10.47,0.902,100.64
11,St. John's Fog Devils,70,31,49.77,216,218,-2,48.04,2119,2292,-173,9.9,0.907,100.62
12,Rimouski Oceanic,70,28,48.58,222,235,-13,51.61,2031,1904,127,10.75,0.879,98.69
13,PEI Rocket,70,28,45.82,241,285,-44,46.18,2147,2502,-355,10.81,0.889,99.74
14,Val-d'Or Foreurs,70,26,43.91,202,258,-56,45.36,2051,2471,-420,9.58,0.899,99.47
15,Victoriaville Tigres,70,24,44.42,219,274,-55,49.67,2268,2298,-30,9.42,0.886,97.99
16,Moncton Wildcats,70,18,44.76,188,232,-44,45.86,1996,2356,-360,9.37,0.906,99.95
17,Drummondville Voltigeurs,70,12,37.63,175,290,-115,44.4,1974,2472,-498,8.77,0.886,97.4
