,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Rouyn-Noranda Huskies,263,179,64.378,1079,651,428,56.854,9068,7217,1851,11.122,0.918,102.941,61.005,227.165,150.096,77.069,9.954,0.916,101.523,27.586,0.351,6.098,0.074,301,196,105,64.362,1033,800,233,58.755,28.171,0.779,297,158,139,67.532,1231,814,417,63.57,24.116,0.798,481,297,184,61.148,6804,5603,1201,55.42,5.832,0.953
1,Charlottetown Islanders,263,137,51.53,932,850,82,53.156,9038,8224,814,9.602,0.898,99.44,52.411,219.459,199.781,19.678,9.988,0.897,99.712,-8.71,-0.117,3.783,0.035,292,285,7,50.9,1224,1097,127,54.284,22.815,0.738,227,174,53,54.05,1312,1081,231,55.004,15.441,0.841,413,391,22,50.88,6502,6046,456,52.554,5.562,0.942
2,Drummondville Voltigeurs,263,137,58.798,981,869,112,57.278,8519,7308,1211,11.954,0.89,100.885,56.388,209.059,166.268,42.79,9.556,0.9,99.639,54.442,0.72,-17.981,-0.347,263,238,25,57.734,1023,924,99,54.955,26.45,0.764,257,208,49,59.068,1182,1044,138,57.075,22.172,0.798,461,423,38,59.436,6314,5340,974,57.715,7.445,0.932
3,Cape Breton Screaming Eagles,263,135,53.13,1007,899,108,54.202,8594,7580,1014,11.052,0.888,99.771,54.451,222.559,189.056,33.506,10.612,0.895,100.108,7.314,0.131,-10.944,-0.231,270,265,5,49.932,1218,1073,145,52.384,21.068,0.77,228,226,2,52.52,1140,1010,130,54.355,20.049,0.785,509,408,101,55.207,6236,5497,739,54.565,7.446,0.931
4,Rimouski Oceanic,264,135,57.501,903,775,128,54.145,8352,7480,872,10.918,0.904,101.231,52.338,188.928,174.548,14.378,9.219,0.901,99.309,33.198,0.51,4.422,0.066,217,222,-5,54.341,945,1015,-70,51.902,23.721,0.788,214,172,42,60.219,1043,895,148,55.044,20.514,0.83,472,381,91,57.735,6364,5570,794,54.334,7.008,0.936
5,Blainville-Boisbriand Armada,264,131,48.28,833,794,39,49.68,7597,7307,290,10.154,0.893,99.416,48.809,174.842,180.96,-6.118,9.326,0.904,99.69,16.157,0.247,-22.664,-0.328,213,224,-11,48.172,878,815,63,51.559,23.902,0.724,159,200,-41,41.094,918,1083,-165,44.639,15.58,0.814,461,370,91,51.158,5801,5409,392,50.31,6.892,0.936
6,Halifax Mooseheads,263,130,57.691,954,891,63,52.2,8313,8259,54,11.808,0.905,102.338,53.572,222.782,197.655,25.126,10.708,0.899,100.583,21.718,0.331,12.277,0.196,297,252,45,58.196,1223,1075,148,55.046,23.916,0.786,229,220,9,57.614,1099,1133,-34,53.249,21.556,0.824,428,419,9,57.269,5991,6051,-60,51.455,7.351,0.942
7,Victoriaville Tigres,264,127,49.262,899,863,36,47.055,7617,8160,-543,10.958,0.902,101.122,45.744,165.826,187.709,-21.882,8.964,0.907,99.63,34.174,0.597,-9.542,-0.151,204,247,-43,43.672,779,989,-210,42.258,24.526,0.768,212,193,19,50.63,944,1014,-70,46.576,21.268,0.82,483,423,60,51.401,5894,6157,-263,47.912,7.509,0.938
8,Gatineau Olympiques,261,125,49.179,863,834,29,46.802,7509,7859,-350,11.005,0.9,100.939,47.586,178.492,192.659,-14.163,10.134,0.902,100.27,11.633,0.26,-4.217,-0.06,238,266,-28,46.748,889,1020,-131,43.744,29.2,0.747,202,181,21,51.55,1069,1075,-6,47.226,19.792,0.824,423,387,36,49.845,5551,5764,-213,47.099,6.648,0.941
9,Sherbrooke Phoenix,263,116,49.561,873,946,-73,52.66,8629,8266,363,9.884,0.887,98.526,50.478,201.395,198.304,3.092,9.406,0.898,99.16,9.106,0.143,-19.698,-0.333,255,248,7,49.474,992,990,2,50.09,25.296,0.744,162,192,-30,50.558,1158,1252,-94,50.045,13.234,0.866,456,506,-50,49.67,6479,6024,455,53.688,6.82,0.917
